Gaia20cpt
#Date,JD(TCB),averagemag
2014-08-24 04:04:02,2456893.66947,14.44
2014-08-24 05:50:36,2456893.74347,14.42
2014-10-05 07:00:56,2456935.79231,untrusted
2014-10-05 08:47:30,2456935.86632,untrusted
2014-11-08 00:29:28,2456969.52046,14.33
2014-11-08 02:16:02,2456969.59447,14.33
2014-12-05 12:14:29,2456997.01006,untrusted
2015-01-08 23:32:38,2457031.48100,14.45
2015-02-02 23:21:19,2457056.47314,null
2015-02-03 01:07:43,2457056.54703,14.39
2015-03-10 10:35:27,2457091.94128,14.30
2015-03-10 12:22:02,2457092.01530,14.28
2015-04-05 06:11:22,2457117.75789,14.19
2015-05-11 03:46:07,2457153.65703,untrusted
2015-06-09 03:32:53,2457182.64784,15.16
2015-06-09 05:19:27,2457182.72184,15.14
2015-07-14 09:04:28,2457217.87810,15.84
2015-08-14 20:48:18,2457249.36688,null
2015-09-17 20:22:22,2457283.34887,16.23
2015-09-17 22:08:56,2457283.42287,16.22
2015-10-18 02:05:23,2457313.58707,16.49
2015-11-20 21:18:20,2457347.38773,15.79
2016-01-21 08:20:37,2457408.84765,14.73
2016-02-15 06:23:10,2457433.76609,14.45
2016-02-15 08:09:44,2457433.84009,14.45
2016-03-21 19:24:30,2457469.30868,14.51
2016-03-21 23:38:10,2457469.48484,14.54
2016-04-17 05:27:11,2457495.72721,14.47
2016-04-17 07:13:45,2457495.80122,14.48
2016-05-23 00:37:03,2457531.52573,14.38
2016-06-21 16:36:37,2457561.19209,14.39
2016-06-21 18:23:11,2457561.26610,14.39
2016-07-26 16:09:37,2457596.17334,14.38
2016-07-26 17:56:11,2457596.24735,14.33
2016-08-27 03:52:52,2457627.66171,14.46
2016-08-27 05:39:26,2457627.73572,14.45
2016-09-30 03:26:20,2457661.64329,14.51
2016-09-30 05:12:54,2457661.71729,14.50
2016-10-29 15:09:32,2457691.13162,14.36
2016-10-29 16:56:06,2457691.20563,untrusted
2016-12-02 14:33:52,2457725.10685,14.58
2016-12-02 16:20:26,2457725.18086,14.56
2016-12-28 20:20:24,2457751.34750,14.61
2016-12-28 22:06:58,2457751.42150,14.60
2017-02-01 15:22:09,2457786.14038,14.63
2017-02-26 14:47:34,2457811.11637,14.40
2017-02-26 16:34:08,2457811.19037,14.40
2017-04-03 08:03:30,2457846.83576,14.37
2017-04-03 09:50:05,2457846.90978,14.35
2017-04-30 07:52:12,2457873.82792,14.42
2017-04-30 09:38:47,2457873.90193,14.38
2017-06-05 01:17:50,2457909.55405,14.26
2017-07-05 07:03:10,2457939.79387,14.26
2017-07-05 08:49:45,2457939.86788,14.26
2017-08-09 00:37:11,2457974.52582,14.52
2017-08-09 02:23:46,2457974.59984,14.51
2017-09-09 12:20:15,2458006.01406,14.30
2017-09-09 14:06:49,2458006.08807,14.32
2017-10-13 07:38:52,2458039.81866,14.11
2017-11-11 05:36:08,2458068.73343,14.36
2017-12-15 04:58:08,2458102.70704,14.36
2017-12-15 06:44:42,2458102.78104,14.35
2018-01-09 22:45:26,2458128.44822,14.26
2018-01-10 00:32:00,2458128.52222,14.26
2018-02-13 23:46:24,2458163.49056,14.28
2018-03-11 03:49:46,2458188.65956,null
2018-03-11 05:36:05,2458188.73339,14.16
2018-04-15 22:53:24,2458224.45375,14.44
2018-05-13 14:55:03,2458252.12156,14.59
2018-05-13 16:41:38,2458252.19558,14.61
2018-06-18 02:22:45,2458287.59913,14.43
2018-06-18 04:09:19,2458287.67314,14.42
