JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456150.1021,13.4,,,Vis.,PEX,B,137,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456157.1181,14.1,,,Vis.,PEX,B,140,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456166.0917,13.8,,,Vis.,PEX,B,136,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456169.0618,14.2,,,Vis.,PEX,B,140,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456170.0590,<13.7,,,Vis.,PEX,B,137,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456177.0507,14.3,,,Vis.,PEX,B,140,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456181.0611,14.5,,,Vis.,PEX,B,140,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456183.0646,14.4,,,Vis.,PEX,B,140,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456186.0688,14.4,,,Vis.,PEX,B,140,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456187.0528,14.5,,,Vis.,PEX,B,140,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456191.0583,14.8,,,Vis.,PEX,,140,,NA,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456194.0264,<14.2,,,Vis.,PEX,,140,,8356AQV,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456357.3340,12.5,,,Vis.,PEX,,125,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456358.3667,12.8,,,Vis.,PEX,,130,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456364.3403,12.8,,,Vis.,PEX,,130,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456381.2965,12.5,,,Vis.,PEX,B,114,130,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456384.3194,12.7,,,Vis.,PEX,,130,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456393.3306,12.8,,,Vis.,PEX,,114,130,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456433.3528,12.1,,,Vis.,PEX,,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456436.3326,12.6,,,Vis.,PEX,B,121,134,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456456.1625,13.0,,,Vis.,PEX,,121,134,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456459.2972,12.2,,,Vis.,PEX,,117,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456470.764,12.24,0.05,,V,OCN,,121,139,12116AQN,,0,,Z,12.087,13.923,,ASAS J181204-2808.6,AAVSO,STD,,,,
2456479.1174,12.6,,,Vis.,PEX,,117,130,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456753.2938,13.6,,,Vis.,PEX,,139,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456814.3090,13.8,,,Vis.,PEX,,134,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456834.0806,13.5,,,Vis.,PEX,,138,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456872.1188,12.1,,,Vis.,PEX,,118,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456874.1167,12.4,,,Vis.,PEX,B,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456896.0764,12.4,,,Vis.,PEX,,121,134,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2456918.0431,11.8,,,Vis.,PEX,,117,,9218T,,,,Z,,,,ASAS J181204-2808.6,RASNZ-VSS,STD,,,,
2457076.3625,12.0,,,Vis.,PEX,,117,,9218T,,,,Z,,,,ASAS J181204-2808.6,VSS,STD,,,,
2457086.3313,12.0,,,Vis.,PEX,,114,121,9218T,,,,Z,,,,ASAS J181204-2808.6,VSS,STD,,,,
2457105.3042,11.7,,,Vis.,PEX,,117,,9218T,,,,Z,,,,ASAS J181204-2808.6,VSS,STD,,,,
2457110.3451,12.0,,,Vis.,PEX,,114,130,9218T,,,,Z,,,,ASAS J181204-2808.6,VSS,STD,,,,
2457113.3153,12.1,,,Vis.,PEX,,114,130,9218T,,,,Z,,,,ASAS J181204-2808.6,VSS,STD,,,,
2457115.3438,12.2,,,Vis.,PEX,B,121,126,9218T,,,,Z,,,,ASAS J181204-2808.6,VSS,STD,,,,
2457127.3514,12.5,,,Vis.,PEX,,114,130,9218T,,,,Z,,,,ASAS J181204-2808.6,VSS,STD,,,,
2457130.3250,12.4,,,Vis.,PEX,,114,130,9218T,,,,Z,,,,ASAS J181204-2808.6,VSS,STD,,,,
2457133.3090,12.5,,,Vis.,PEX,,114,130,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457136.3007,11.9,,,Vis.,PEX,,117,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457151.3410,11.9,,,Vis.,PEX,B,117,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457154.3222,12.2,,,Vis.,PEX,,114,130,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457155.3215,11.6,,,Vis.,PEX,,114,117,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457157.3083,12.0,,,Vis.,PEX,U,120,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457162.3264,12.0,,,Vis.,PEX,,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457164.3465,11.8,,,Vis.,PEX,,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457168.3174,12.0,,,Vis.,PEX,,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457172.2931,11.9,,,Vis.,PEX,,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457173.3354,12.0,,,Vis.,PEX,,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457184.2688,11.9,,,Vis.,PEX,,114,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457188.2882,12.0,,,Vis.,PEX,,117,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457198.1083,11.8,,,Vis.,PEX,,114,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457200.2444,12.0,,,Vis.,PEX,,114,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457219.0646,12.2,,,Vis.,PEX,,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457253.0736,12.2,,,Vis.,PEX,U,121,126,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457262.0729,12.1,,,Vis.,PEX,B,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457269.0604,12.2,,,Vis.,PEX,,121,126,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457288.0167,12.0,,,Vis.,PEX,B,114,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457312.9826,12.0,,,Vis.,PEX,,114,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457433.3611,12.9,,,Vis.,PEX,W,NA,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457451.3569,12.8,,,Vis.,PEX,,114,130,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457454.3597,12.8,,,Vis.,PEX,,130,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457458.3368,12.7,,,Vis.,PEX,,130,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457460.3438,12.7,,,Vis.,PEX,,130,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457465.2965,12.9,,,Vis.,PEX,,130,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457468.3451,12.8,,,Vis.,PEX,,130,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457481.3000,13.0,,,Vis.,PEX,,121,134,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457485.3306,13.2,,,Vis.,PEX,U,134,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457499.3958,13.0,,,Vis.,PEX,,134,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457520.2778,13.0,,,Vis.,PEX,,130,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457539.1347,13.3,,,Vis.,PEX,,134,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457540.3438,13.1,,,Vis.,PEX,,130,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457542.3410,13.0,,,Vis.,PEX,,121,134,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457555.1132,12.8,,,Vis.,PEX,B,130,,9218T,U,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457572.0875,13.0,,,Vis.,PEX,,121,134,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457573.1313,12.8,,,Vis.,PEX,,121,134,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457632.0333,12.6,,,Vis.,PEX,,126,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457810.3618,11.9,,,Vis.,PEX,,114,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457818.3465,11.9,,,Vis.,PEX,,117,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457820.3542,12.0,,,Vis.,PEX,,117,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457841.3257,12.1,,,Vis.,PEX,,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457843.3306,12.0,,,Vis.,PEX,,117,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457872.3208,12.1,,,Vis.,PEX,,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457873.348,12.1,,,Vis.,PEX,,121,,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
2457875.3313,12.0,,,Vis.,PEX,,114,121,9218T,,,,Z,,,,ASAS J181204-2808.6,AAVSO,STD,,,,
