JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456150.0806,12.3,,,Vis.,PEX,B,121,,NA,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456155.0743,12.1,,,Vis.,PEX,B,121,,NA,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456339.3264,13.9,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456341.3368,13.9,,,Vis.,PEX,,137,141,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456355.3118,14.2,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456357.2896,14.7,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456358.3465,14.7,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456364.3118,14.8,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456375.2951,<14.8,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456381.2701,<14.2,,,Vis.,PEX,B,137,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456384.2958,<14.5,,,Vis.,PEX,,140,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456393.3000,<15.0,,,Vis.,PEX,,140,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456433.3243,<15.0,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456436.3056,<14.5,,,Vis.,PEX,B,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456456.1472,<15.2,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456458.1146,<15.5,,,Vis.,PEX,,149,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456479.0931,15.0,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456535.06597,12.9,,,Vis.,HSP,,126,133,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456567.00000,12.7,,,Vis.,HSP,,126,133,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456567.95833,12.8,,,Vis.,HSP,,126,133,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456572.99097,12.7,,,Vis.,HSP,,123,133,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456599.91389,12.2,,,Vis.,HSP,,116,126,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456699.3563,<14.2,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456753.2500,13.9,,,Vis.,PEX,,137,140,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456761.3299,14.0,,,Vis.,PEX,B,142,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456824.0590,12.9,,,Vis.,PEX,B,126,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456834.0556,13.0,,,Vis.,PEX,,126,133,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456872.0882,12.2,,,Vis.,PEX,,122,,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456874.0868,12.0,,,Vis.,PEX,B,116,122,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2456896.0424,12.1,,,Vis.,PEX,,116,122,8356ATQ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2457071.3465,13.3,,,Vis.,PEX,,126,137,8356ATQ,,,,Z,,,,NSV 8092,VSS,STD,,,,
2457076.3451,13.0,,,Vis.,PEX,,126,133,8356ATQ,,,,Z,,,,NSV 8092,VSS,STD,,,,
2457086.3007,14.0,,,Vis.,PEX,B,142,,8356ATQ,,,,Z,,,,NSV 8092,VSS,STD,,,,
2457101.3528,<14.8,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,VSS,STD,,,,
2457105.2715,<15.0,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,VSS,STD,,,,
2457110.3229,<15.2,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,VSS,STD,,,,
2457113.2715,<15.2,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,VSS,STD,,,,
2457115.3111,<15.0,,,Vis.,PEX,B,142,,8356ATQ,,,,Z,,,,NSV 8092,VSS,STD,,,,
2457127.3340,<15.0,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,VSS,STD,,,,
2457130.2993,<15.0,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,VSS,STD,,,,
2457133.2861,<15.3,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457136.2757,<15.2,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457151.3181,<15.0,,,Vis.,PEX,B,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457154.2965,<15.0,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457155.2792,<15.0,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457157.2951,<15.2,,,Vis.,PEX,U,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457162.2944,<15.2,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457168.2993,<15.2,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457172.2646,<15.0,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457184.2063,<15.2,,,Vis.,PEX,,140,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457197.0549,<15.0,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457198.0868,<15.2,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457219.0444,<15.2,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457253.0590,<15.0,,,Vis.,PEX,U,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457262.0486,<14.5,,,Vis.,PEX,B,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457269.0333,<15.0,,,Vis.,PEX,,142,,8356ATQ,,,,Z,,,,NSV 8092,AAVSO,STD,,,,
2457300.96319,<13.7,,,Vis.,HSP,,137,,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2457306.93333,<14.2,,,Vis.,HSP,,142,,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2457309.91250,<14.2,,,Vis.,HSP,,142,,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2457310.90972,<14.2,,,Vis.,HSP,,142,,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2457311.89931,<14.2,,,Vis.,HSP,,142,,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2457328.90000,<14.2,,,Vis.,HSP,,142,,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2457335.89653,<13.7,,,Vis.,HSP,L,137,,12435OZ,,,,Z,,,,NSV 8092,RASNZ-VSS,STD,,,,
2457425.3569,13.5,,,Vis.,PEX,,126,137,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457433.3410,13.1,,,Vis.,PEX,W,126,132,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457438.3299,13.3,,,Vis.,PEX,W,126,137,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457439.3167,13.0,,,Vis.,PEX,,129,,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457449.2951,13.2,,,Vis.,PEX,B,126,137,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457451.3194,13.2,,,Vis.,PEX,,126,137,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457454.3479,13.2,,,Vis.,PEX,,126,137,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457458.3181,12.7,,,Vis.,PEX,,126,,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457460.3063,12.7,,,Vis.,PEX,,126,129,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457465.2736,12.8,,,Vis.,PEX,,126,129,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457468.3264,12.9,,,Vis.,PEX,,126,137,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457478.2792,12.5,,,Vis.,PEX,B,116,126,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457481.2611,12.4,,,Vis.,PEX,,116,126,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457485.3118,12.4,,,Vis.,PEX,U,126,,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457493.2854,12.5,,,Vis.,PEX,,126,,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457517.2993,12.6,,,Vis.,PEX,,122,129,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457520.2493,12.7,,,Vis.,PEX,,122,128,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457539.1097,12.3,,,Vis.,PEX,,122,126,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457542.0646,12.4,,,Vis.,PEX,,122,126,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457555.0938,12.5,,,Vis.,PEX,B,122,126,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457572.0583,12.2,,,Vis.,PEX,,122,,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457573.1097,12.2,,,Vis.,PEX,,122,,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457632.0097,11.6,,,Vis.,PEX,,116,,8356ATQ,,,,Z,,,,V0943 Ara,AAVSO,STD,,,,
2457663.95833,11.4,,,Vis.,HSP,,109,116,8841AVR;,,,,Z,,,,V943 ARA,RASNZ-VSS,STD,,,,
2457674.88611,11.4,,,Vis.,HSP,B,109,116,8841AVR;,,,,Z,,,,V943 ARA,RASNZ-VSS,STD,,,,
2457679.87750,11.4,,,Vis.,HSP,,109,116,8841AVR;,,,,Z,,,,V943 ARA,RASNZ-VSS,STD,,,,
2457682.87708,11.4,,,Vis.,HSP,,109,116,8841AVR;,,,,Z,,,,V943 ARA,RASNZ-VSS,STD,,,,
