JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457460.3014,<15.0,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457481.2556,<15.0,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457517.2924,<15.2,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457539.0951,<14.0,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457542.0597,<14.0,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457573.1028,<15.0,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457810.3326,<15.3,,,Vis.,PEX,,153,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457820.3000,<15.0,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457841.2840,<15.2,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457843.2806,<15.2,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457872.3000,<15.5,,,Vis.,PEX,,153,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457873.282,<15.3,,,Vis.,PEX,,153,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457875.2854,<15.3,,,Vis.,PEX,,153,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457880.2743,<15.3,,,Vis.,PEX,,153,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457902.2285,<15.2,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457905.2153,<15.2,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457932.0472,<15.2,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2457957.9076,14.20,0.05,,V,OCN,,157,144,X19869BHM,iT30,0,1.07,Z,15.745,14.372,,2MASS J16472973-1525229,AAVSO,STD,,,,
2458141.0414,14.83,0.05,,V,OCN,,000-BLG-748,000-BLG-752,X22637XZ,iT21,0,2.14,Z,13.982,15.338,,2MASS J16472973-1525229,AAVSO,STD,,,,
2458205.3028,14.2,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2458234.3208,14.7,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2458257.2681,14.8,,,Vis.,PEX,,140,150,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2458258.2875,14.8,,,Vis.,PEX,,140,150,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2458262.2611,14.6,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2458283.87292,14.2,,,Vis.,HSP,,137,144,13238CEX,,,,Z,,,,2MASS J16472973-1525229,RASNZ-VSS,STD,,,,
2458558.2986,<15.0,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2458560.3028,<15.0,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2458581.2688,<15.3,,,Vis.,PEX,,153,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2458660.87708,<15.7,,,Vis.,HSP,,157,,13238CEX,,,,Z,,,,2MASS J16472973-1525229,RASNZ-VSS,STD,,,,
2458723.87569,<15.7,,,Vis.,HSP,,157,,13238CEX,,,,Z,,,,2MASS J16472973-1525229,RASNZ-VSS,STD,,,,
2458941.14931,15.5,,,Vis.,HSP,U,153,157,13238CEX,,,,Z,,,,2MASS J16472973-1525229,RASNZ-VSS,STD,,,,
2459042.0132,14.4,,,Vis.,PEX,,140,,X15646AVN,,,,Z,,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2459679.04924,13.8,,,Vis.,HSP,,135,140,X25624SN,,,,Z,,,,2MASS J16472973-1525229,RASNZ-VSS,STD,,,,
2459767.01160,14.797,0.091,,B,PEX,,129,,X28067HT,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-4.796|CREFERR=0.030|CREFMAG=13.900|VMAGINS=-3.900,0,1.153,Z,-4.796,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2459767.01326,13.222,0.025,,V,PEX,,129,,X28067HT,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-5.976|CREFERR=0.013|CREFMAG=12.916|VMAGINS=-5.670,0,1.147,Z,-5.976,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2459767.01457,11.841,0.026,,R,PEX,,129,,X28067HT,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-6.120|CREFERR=0.061|CREFMAG=12.260|VMAGINS=-6.539,0,1.142,Z,-6.120,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2459767.01554,10.748,0.052,,I,PEX,,129,,X28067HT,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-5.028|CREFERR=0.086|CREFMAG=11.650|VMAGINS=-5.930,0,1.140,Z,-5.028,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2459778.99450,15.200,0.151,,B,PEX,,129,,X28067HT,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-6.317|CREFERR=0.030|CREFMAG=13.900|VMAGINS=-5.017,0,1.110,Z,-6.317,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2459778.99623,13.651,0.032,,V,PEX,,129,,X28067HT,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-7.564|CREFERR=0.013|CREFMAG=12.916|VMAGINS=-6.828,0,1.106,Z,-7.564,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2459778.99759,12.229,0.017,,R,PEX,,129,,X28067HT,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-7.793|CREFERR=0.061|CREFMAG=12.260|VMAGINS=-7.824,0,1.102,Z,-7.793,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2459778.99860,10.966,0.039,,I,PEX,,129,,X28067HT,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-6.602|CREFERR=0.086|CREFMAG=11.650|VMAGINS=-7.286,0,1.100,Z,-6.602,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2459779.00012,16.166,0.323,,B,PEX,,129,,X28067HT,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-6.352|CREFERR=0.030|CREFMAG=13.900|VMAGINS=-4.086,0,1.098,Z,-6.352,,,2MASS J16472973-1525229,AAVSO,STD,,,,
2459779.00174,13.609,0.031,,V,PEX,,129,,X28067HT,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-7.608|CREFERR=0.013|CREFMAG=12.916|VMAGINS=-6.915,0,1.094,Z,-7.608,,,2MASS J16472973-1525229,AAVSO,STD,,,,
