JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457460.3292,<15.2,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457481.2875,<15.0,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457517.3250,<15.0,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457539.1250,<15.0,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457542.0799,<14.8,,,Vis.,PEX,,148,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457573.1201,<15.2,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457632.0222,<15.0,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457820.3465,<15.3,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457841.3049,<15.3,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457843.3007,<15.2,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457872.3139,<15.2,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457873.331,<15.0,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457875.3153,<15.2,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457880.3382,<15.2,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457902.2556,<14.5,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457905.2417,<15.2,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457909.2896,<15.2,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457932.0799,<15.0,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458205.3424,14.0,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458234.3576,<15.3,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458257.2889,<15.3,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458258.3292,<15.3,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458262.2924,<15.3,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458371.0229,<15.2,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458581.2938,<15.3,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458726.87847,<15.6,,,Vis.,HSP,,156,,X24313WR,,,,Z,,,,EROS2-CG RCB-11,RASNZ-VSS,STD,,,,
2459042.0361,<15.0,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
