JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457460.3403,<15.2,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457481.2972,14.8,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457539.1333,<15.0,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457540.3410,<15.0,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457573.1299,<15.0,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457632.0292,<15.0,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457820.3528,<15.2,,,Vis.,PEX,,139,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457841.3222,<15.2,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457843.3174,<15.2,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457872.3194,<15.3,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457873.344,<15.2,,,Vis.,PEX,,136,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457875.3285,<15.3,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457880.3472,<15.2,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457905.2583,<15.2,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457909.3014,<15.0,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457932.0972,<15.0,,,Vis.,PEX,,136,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457989.0757,<15.0,,,Vis.,PEX,,130,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2457994.0792,<15.0,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2458189.3410,<15.0,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2458234.3688,15.0,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2458257.3146,<15.2,,,Vis.,PEX,,148,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2458258.3465,14.9,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2458262.3007,15.0,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2458371.0514,14.4,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2458560.3375,<15.0,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2458581.3042,<15.2,,,Vis.,PEX,,148,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2459042.0451,<15.3,,,Vis.,PEX,,143,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
2459109.0465,<15.3,,,Vis.,PEX,,148,,X15646AWD,,,,Z,,,,EROS2-CG RCB-13,AAVSO,STD,,,,
