JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2454674.91003,12.818,0.02,,V,NMR,,,,1009fzq,"""12.56, 11.76 MaximDL 12.027,12.390,12.393""",0,,Z,12.05,,,V532 OPH,,STD,,,,
2454674.91263,12.406,0.02,,R,NMR,,,,1009fzq,"""12.56, 11.76 MaximDL 12.126,12.194,12.101""",0,,Z,12.10,,,V532 OPH,,STD,,,,
2454674.91387,11.933,0.02,,I,NMR,,,,1009fzq,"""10.84, 10.77 MaximDL 12.041,11.739,11.652""",0,,Z,13.82,,,V532 OPH,,STD,,,,
2454674.91516,13.932,0.02,,B,NMR,,,,1009fzq,"""13.25, 13.35 MaximDL 12.606,13.384,13.450""",0,,Z,12.84,,,V532 OPH,,STD,,,,
2454677.91095,12.750,0.02,,V,NMR,,,,1009ftz,"""12.56, 12.20 MaximDL 12.023,12.405,12.382""",0,,Z,12.05,,,V532 OPH,,STD,,,,
2454677.91220,12.376,0.02,,R,NMR,,,,1009fzq,"""12.56, 11.76 MaximDL 12.121,12.192,12.107""",0,,Z,12.10,,,V532 OPH,,STD,,,,
2454677.91345,11.918,0.02,,I,NMR,,,,1009fzq,"""10.842, 10.77 MaximDL 12.023,11.745,11.664""",0,,Z,13.82,,,V532 OPH,,STD,,,,
2454677.91475,13.846,0.03,,B,NMR,,,,1009fzq,"""13.25, 13.35 MaximDL 12.569,13.334,13.537""",0,,Z,12.84,,,V532 OPH,,STD,,,,
2454950.0528,11.7,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V532 OPH,VSS,STD,,,,
2454967.63300,12.14,,,V,PYG,,A2 0675 20097783,,1229k,BRT,0,,Z,9.7,,,V532 OPH,,STD,,,,
2454967.6333,12.1,,,Vis.,PYG,,,,1229k,comp. A2 0; 35cm SCT,,,Z,,,,V532 OPH,BAA-VSS,STD,,,,BAAVSS
2454986.61100,12.52,,,V,PYG,,A2 067520097783,,1229k,BRT,0,,Z,9.7,,,V532 OPH,,STD,,,,
2454986.6111,12.5,,,N/A,PYG,,,,1229k,comp. A2 0; Bradford Robotic Tel,,,Z,,,,V532 OPH,BAA-VSS,STD,,,,BAAVSS
2454989.62200,11.93,,,V,PYG,,A2 067520097783,,1229k,BRT,0,,Z,9.7,,,V532 OPH,,STD,,,,
2454989.6222,11.9,,,N/A,PYG,,,,1229k,comp. A2 0; Bradford Robotic Tel,,,Z,,,,V532 OPH,BAA-VSS,STD,,,,BAAVSS
2454992.6215,11.5,,,N/A,PYG,,,,1229k,comp. A2 0; Bradford Robotic Tel,,,Z,,,,V532 OPH,BAA-VSS,STD,,,,BAAVSS
