JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456222.75527,<16.510,0.203,,V,HGUA,,ENSEMBLE,139,9514U,,0,1.359,Z,,13.884,,2MASS J00482232+7417574,AAVSO,STD,,,,
2456252.472,<16.2,,,V,PYG,,162,,9497JE,BRT,0,,Z,16.2,,,2MASS J00482232+7417574,,STD,,,,
2456470.626,17.95,0.15,,V,OCN,,162,168,12132OR," 	Extremely close to the detection limit. First positive in the DB. ",0,,Z,16.200,16.783,,2MASS J00482232+7417574,AAVSO,STD,,,,
2456540.38266,13.688,0.053,,R,HGUA,,ENSEMBLE,129,12652BEH,,0,1.519,Z,,12.398,,2MASS J00482232+7417574,AAVSO,STD,,,,
2456546.36775,13.519,0.056,,R,HGUA,,ENSEMBLE,121,12658ZK,,0,1.515,Z,,11.724,,2MASS J00482232+7417574,AAVSO,STD,,,,
2456553.87703,13.445,0.093,,R,HGUA,,ENSEMBLE,135,12667CQD,,0,1.228,Z,,13.099,,2MASS J00482232+7417574,AAVSO,STD,,,,
2456564.63464,13.554,0.056,,R,HGUA,,ENSEMBLE,135,12695BZX,,0,,Z,,13.079,,2MASS J00482232+7417574,AAVSO,STD,,,,
2456564.63464,14.906,0.048,,V,HGUA,,ENSEMBLE,121,12695BZS,,0,,Z,,12.145,,2MASS J00482232+7417574,AAVSO,STD,,,,
2456564.63464,<16.220,0.150,,B,HGUA,,ENSEMBLE,129,12695BZO,,0,,Z,,13.595,,2MASS J00482232+7417574,AAVSO,STD,,,,
2456589.55204,15.952,0.088,,V,HGUA,,ENSEMBLE,132,12785AVU,,0,,Z,,13.124,,2MASS J00482232+7417574,AAVSO,STD,,,,
2456589.55204,<16.254,0.244,,B,HGUA,,ENSEMBLE,132,12785AVS,,0,,Z,,13.855,,2MASS J00482232+7417574,AAVSO,STD,,,,
2456589.55204,14.703,0.049,,R,HGUA,,ENSEMBLE,132,12785AVR,,0,,Z,,12.677,,2MASS J00482232+7417574,AAVSO,STD,,,,
