JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2429927.002,<14.6,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE B65996|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2429927.000,CI AQL,AAVSO,STD,,,,
2430115.997,13.80,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE B66484|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430116.000,CI AQL,AAVSO,STD,,,,
2430120.997,14.73,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE RB10599|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430121.000,CI AQL,AAVSO,STD,,,,
2430122.997,13.77,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE RB10604|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430123.000,CI AQL,AAVSO,STD,,,,
2430137.996,14.42,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE AM21662|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430138.000,CI AQL,AAVSO,STD,,,,
2430139.794,<13.85,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE AC36434|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430139.798,CI AQL,AAVSO,STD,,,,
2430139.996,14.50,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE B66597| SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430140.000,CI AQL,AAVSO,STD,,,,
2430142.996,13.60,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE RB10721|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430143.000,CI AQL,AAVSO,STD,,,,
2430143.996,<12.62,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE AM21686|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430144.000,CI AQL,AAVSO,STD,,,,
2430144.724,<13.85,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE AC36438|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430144.728,CI AQL,AAVSO,STD,,,,
2430162.676,<11.31,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE AC36456|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430162.681,CI AQL,AAVSO,STD,,,,
2430165.764,<13.85,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE AC36462|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430165.769,CI AQL,AAVSO,STD,,,,
2430167.781,<11.31,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE AC36468|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430167.786,CI AQL,AAVSO,STD,,,,
2430169.727,<13.85,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE AC36470|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430169.732,CI AQL,AAVSO,STD,,,,
2430173.651,<11.31,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE AC36478|SEE SCHAEFER (2001 IAUCIRC. 7750)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2430173.656,CI AQL,AAVSO,STD,,,,
