JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2401646.0,9.10,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2401647.0,9.60,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2401648.0,10.10,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2401650.0,10.50,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2401651.0,11.00,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2401652.0,11.50,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2401653.0,11.90,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2401654.0,12.40,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2401658.0,<12.70,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2401666.0,<13.30,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2401667.0,<13.30,,,Vis.,PNO,K,NA,,NA,1908MEMRAS-58-92.  MAG. NOT CORRECTED TO HARVARD.  SUBMITTED BY PKV.,,,Z,,,,U SCO,AAVSO,STD,,x_1908MmRASv58p92,PKV,
2417343.823,8.81,0.30,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE AM 18624|SEE SCHAEFER (2004 IAUCIRC. 8279)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2417343.829,U SCO,AAVSO,STD,,,,
2431582.6201,<16.5,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE MF33921|SEE SCHAEFER (2001 IAUCIRC. 7749)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2431582.6256,U SCO,AAVSO,STD,,,,
2431584.7285,<15.1,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE RH12985|SEE SCHAEFER (2001 IAUCIRC. 7749)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2431584.7340,U SCO,AAVSO,STD,,,,
2431593.3942,<12.7,0.15,,B,SCK,,NA,,,MAGNITUDE FROM MY DIRECT MEASURE FROM THE GLASS PLATE WITH COMPARISON STAR SEQUENCE OF THE HARVARD PLATE RB13614|SEE SCHAEFER (2001 IAUCIRC. 7749)|COMPARISON SEQUENCE IN SCHAEFER (2010 APJSUPP 187 275),0,,Z,,,2431593.4000,U SCO,AAVSO,STD,,,,
