JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2447010.9485,10.3,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447011.0,10.5,,,Vis.,PEX,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447012.0,10.6,,,Vis.,PEX,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447012.0142,10.3,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447012.9444,10.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V394 CRA,,STD,,,,RASNZ
2447013.1,10.7,,,Vis.,PEX,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447013.8222,11.2,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447013.9158,10.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447015.8132,11.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447016.9542,11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447017.8132,11.8,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447018.8132,12.1,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447019.0,12.3,,,Vis.,PEX,,122,,X28636ADL,,,,Z,,,,V394 CRA,AAVSO,STD,,,,
2447019.8833,12.4,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447020.8167,12.8,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447021.8229,12.6,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447022.8792,12.8,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447023.8639,13.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447025.9514,<13.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447026.9153,12.5,,,Vis.,JA,KZ,NA,,NA,CLASS 3,,,Z,,,,V394 CRA,,STD,,,,
2447033.9,<12.5,,,Vis.,KOA,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447052.88,<13.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447057.88,<12.4,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447062.96,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447063.92,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447066.92,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447074.92,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447078.92,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447079.89,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V394 CRA,,STD,,,,RASNZ
2447080.91,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447084.91,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V394 CRA,,STD,,,,RASNZ
2447084.95,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447085.92,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447100.93,<12.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447114.93,<12.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447248.17,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V394 CRA,,STD,,,,RASNZ
2447274.22,<13.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447318.96,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447331.96,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447335.2,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447335.89,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447338.92,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447347.89,<13.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,V394 CRA,,STD,,,,
2447351.93,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447354.98,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447357.0099,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447358.0,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447367.98,<12.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447373.99,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447374.96,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447384.0,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447387.92,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447389.99,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447392.44,<10.5,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447393.39,<10.5,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447394.39,<9.0,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447396.38,<8.5,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447398.37,<9.0,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447399.37,<9.0,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447402.98,<12.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447408.35,<9.5,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447409.37,<10.5,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447410.38,<9.0,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447410.91,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447413.0,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447415.37,<10.5,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447416.37,<10.5,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447419.37,<9.0,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447420.34,<10.0,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447423.36,<9.0,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447424.35,<8.5,,,Vis.,PAE,,,,,,,,V,,,,V394 CRA,,STD,,,,
2447429.93,<12.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447432.96,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447441.91,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447443.96,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447444.92,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447456.96,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447459.95,<12.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447469.92,<10.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447574.17,<10.2,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V394 CRA,,STD,,,,RASNZ
2447646.0099,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447657.0099,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447657.2,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V394 CRA,,STD,,,,RASNZ
2447671.0299,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447677.0099,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447677.96,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447683.97,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
2447684.93,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V394 CRA,VSS,STD,,,,
