JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2454765.66793981,13.427,,,V,TRE,,,,1071aguz,"""c=104, k=94""",0,,Z,10.353,,,V1082 CYG,,STD,,,,
2454765.66949074,11.799,,,I,TRE,,,,1071aguz,"""c=104, k=94""",0,,Z,9.887,,,V1082 CYG,,STD,,,,
2454765.66991898,12.687,,,R,TRE,,,,1071aguz,"""c=109, k=94""",0,,Z,10.591,,,V1082 CYG,,STD,,,,
2454765.67033565,13.759,,,V,TRE,,,,1071aguz,"""c=104, k=94""",0,,Z,10.353,,,V1082 CYG,,STD,,,,
2454765.67188657,12.039,,,I,TRE,,,,1071aguz,"""c=104, k=94""",0,,Z,9.887,,,V1082 CYG,,STD,,,,
2454765.67231481,12.660,,,R,TRE,,,,1071aguz,"""c=109, k=94""",0,,Z,10.591,,,V1082 CYG,,STD,,,,
2454765.67273148,13.240,,,V,TRE,,,,1071aguz,"""c=104, k=94""",0,,Z,10.353,,,V1082 CYG,,STD,,,,
2454765.67428241,11.991,,,I,TRE,,,,1071aguz,"""c=104, k=94""",0,,Z,9.887,,,V1082 CYG,,STD,,,,
2454765.67471065,12.810,,,R,TRE,,,,1071aguz,"""c=109, k=94""",0,,Z,10.591,,,V1082 CYG,,STD,,,,
2454765.67512731,12.751,,,V,TRE,,,,1071aguz,"""c=104, k=94""",0,,Z,10.353,,,V1082 CYG,,STD,,,,
2454768.54167824,12.014,,,V,TRE,,,,1071aguz,"""c=98, k=109""",0,,Z,9.794,,,V1082 CYG,,STD,,,,
2454768.54267361,11.411,,,B,TRE,,,,1071aguz,"""c=98, k=109""",0,,Z,10.162,,,V1082 CYG,,STD,,,,
2454768.54369213,12.132,,,I,TRE,,,,1071aguz,"""c=98, k=109""",0,,Z,9.423,,,V1082 CYG,,STD,,,,
2454768.54416667,12.139,,,R,TRE,,,,1071aguz,"""c=98, k=109""",0,,Z,9.601,,,V1082 CYG,,STD,,,,
2454768.5446412,11.884,,,V,TRE,,,,1071aguz,"""c=98, k=109""",0,,Z,9.794,,,V1082 CYG,,STD,,,,
2454768.54665509,12.100,,,I,TRE,,,,1071aguz,"""c=98, k=109""",0,,Z,9.423,,,V1082 CYG,,STD,,,,
2454768.54712963,12.151,,,R,TRE,,,,1071aguz,"""c=98, k=109""",0,,Z,9.601,,,V1082 CYG,,STD,,,,
2454768.54858796,11.699,,,B,TRE,,,,1071aguz,"""c=98, k=109""",0,,Z,10.162,,,V1082 CYG,,STD,,,,
2454768.54960648,12.056,,,I,TRE,,,,1071aguz,"""c=98, k=109""",0,,Z,9.423,,,V1082 CYG,,STD,,,,
2456062.80819,13.096,0.054,,V,HGUA,,ENSEMBLE,119,7477PH,,0,2.442,Z,,11.945,,V1082 CYG,AAVSO,STD,,,,
2456062.96558,13.236,0.065,,V,HGUA,,ENSEMBLE,98,7477XR,,0,1.110,Z,,9.841,,V1082 CYG,AAVSO,STD,,,,
2456897.74279,13.215,0.098,,V,DSI,,ENSEMBLE,,13604BMR,,0,1.033,Z,,,,V1082 CYG,AAVSO,STD,,,,
