JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2440055.7,13.2,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440058.7,13.0,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440087.7,12.4,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440115.6,13.0,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440119.6,12.9,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440127.6,13.2,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440184.6,12.6,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440221.5,12.3,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440241.5,12.8,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440242.6,12.8,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440244.5,12.8,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440249.5,12.4,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440258.5,12.4,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440260.5,12.7,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440269.5,13.3,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440274.5,13.1,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440382.8,12.7,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440383.8,12.9,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440385.8,13.2,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440389.7,14.1,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440390.8,14.1,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440404.8,13.0,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440405.7,13.3,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440410.7,14.1,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440411.7,13.6,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440412.7,13.1,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440416.8,13.3,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440417.7,13.1,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440454.7,12.8,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440480.6,13.1,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440505.6,12.6,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440539.6,12.7,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440543.5,13.3,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440597.5,12.7,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440598.5,12.7,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2440625.5,12.6,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2441270.5,12.8,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2441273.5,12.8,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2441279.5,12.0,,,Vis.,WLT,,,,,,,,Z,,,,BM AND,,STD,,,,
2452907.3521,12.6,,,Vis.,POX,G,129,,E2003,,,,Z,,,,BM AND,,STD,,,,
2452911.3333,12.6,,,Vis.,POX,,129,,E2003,,,,Z,,,,BM AND,,STD,,,,
2453264.3333,12.5,,,Vis.,POX,,129,,E2003,,,,Z,,,,BM AND,,STD,,,,
2453591.4319,12.4,,,Vis.,POX,,125,,E2003,,,,Z,,,,BM AND,,STD,,,,
2454035.2736,13.7,,,Vis.,POX,J,141,,2005,,,,Z,,,,BM AND,,STD,,,,
2454062.6722,12.9,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454089.5229,12.5,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454111.4792,12.9,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454222.8653,<12.4,,,Vis.,KMA,,124,,G,,0,,Z,,,,BM AND,,STD,,,,
2454260.8090,12.9,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454265.8208,12.9,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454269.7806,12.8,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454276.8299,12.9,,,Vis.,KMA,,130,,G,,0,,Z,,,,BM AND,,STD,,,,
2454293.7292,13.0,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454302.7778,12.5,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454303.7625,12.4,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454304.7347,12.3,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454309.6875,12.4,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454316.6479,12.2,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454323.6521,12.6,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454329.6979,12.3,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454339.7215,12.6,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454346.5708,12.9,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454351.3931,11.4,,,Vis.,POX,,110,,2005,,0,,Z,,,,BM AND,,STD,,,,
2454353.7646,12.0,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454355.6153,12.1,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454360.7903,12.4,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454367.7646,12.8,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454378.5778,12.0,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454392.6701,12.6,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454395.59308,12.553,0.018,,V,AAM,,TYC3642-229-1,GSC 3641-0067,TYCHO-2,,0,,Z,-5.963,-3.621,,BM AND,,STD,0,,,
2454406.6639,12.7,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454423.6021,12.8,,,Vis.,KMA,,123,130,G,,0,,Z,,,,BM AND,,STD,,,,
2454445.5750,12.0,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454468.4688,12.1,,,Vis.,KMA,,115,125,G,,0,,Z,,,,BM AND,,STD,,,,
2454470.5333,12.0,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454475.4764,12.1,,,Vis.,KMA,,115,123,G,,0,,Z,,,,BM AND,,STD,,,,
2454501.26824,12.564,0.035,,V,AAM,,TYC3642-229-1,GSC 3641-0067,TYCHO-2,,0,,Z,-5.171,-2.730,,BM AND,,STD,0,,,
2454506.25419,12.855,0.057,,V,AAM,,TYC3642-229-1,GSC 3641-0067,TYCHO-2,,0,,Z,-4.956,-2.288,,BM AND,,STD,0,,,
2454522.21064,12.427,0.033,,V,AAM,,TYC3642-229-1,GSC 3641-0067,TYCHO-2,,0,,Z,-5.225,-2.917,,BM AND,,STD,0,,,
2454599.8736,12.2,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2454623.8361,12.8,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2454661.7965,12.7,,,Vis.,KMA,,125,130,K,,,,Z,,,,BM AND,,STD,,,,
2454679.7500,12.6,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2454688.6701,12.0,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2454694.6479,12.4,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2454710.6486,12.8,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2454719.6319,13.1,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2454732.7931,12.5,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2454744.7181,12.0,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2454748.58339,12.953,0.118,,V,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.105,Z,13.137,12.420,,BM AND,,STD,,,,
2454748.58416,14.345,0.379,,B,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.103,Z,14.280,13.230,,BM AND,,STD,,,,
2454748.58488,11.371,0.068,,I,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.102,Z,13.398,12.934,,BM AND,,STD,,,,
2454748.58529,12.178,0.066,,R,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.101,Z,12.596,11.997,,BM AND,,STD,,,,
2454748.58576,12.841,0.116,,V,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.100,Z,13.241,12.429,,BM AND,,STD,,,,
2454748.58653,13.813,0.216,,B,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.098,Z,14.286,13.231,,BM AND,,STD,,,,
2454748.58725,11.395,0.071,,I,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.097,Z,13.403,12.980,,BM AND,,STD,,,,
2454748.58766,12.224,0.070,,R,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.096,Z,12.629,12.011,,BM AND,,STD,,,,
2454748.58814,12.876,0.115,,V,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.095,Z,13.194,12.401,,BM AND,,STD,,,,
2454748.7590,12.6,,,Vis.,KMA,,"""115,123,130""",,K,,,,Z,,,,BM AND,,STD,,,,
2454758.57711,12.025,0.082,,V,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.065,Z,13.238,12.494,,BM AND,,STD,,,,
2454758.57788,13.343,0.133,,B,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.064,Z,14.280,13.320,,BM AND,,STD,,,,
2454758.57867,10.758,0.067,,I,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.063,Z,13.475,13.012,,BM AND,,STD,,,,
2454758.57909,11.468,0.050,,R,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.062,Z,12.672,12.030,,BM AND,,STD,,,,
2454758.57951,12.053,0.090,,V,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.061,Z,13.274,12.480,,BM AND,,STD,,,,
2454758.58028,13.406,0.150,,B,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.060,Z,14.331,13.305,,BM AND,,STD,,,,
2454758.58106,10.816,0.066,,I,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.059,Z,13.435,13.005,,BM AND,,STD,,,,
2454758.58149,11.525,0.053,,R,TRE,,000-BCR-679,000-BCR-686,1249RT,,0,1.058,Z,12.668,12.026,,BM AND,,STD,,,,
2454763.59196,12.272,0.022,,V,AAM,,TYC3642-229-1,GSC 3641-0067,TYCHO-2,,0,,Z,-5.630,-3.387,,BM AND,,STD,0,,,
2454771.6750,12.7,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2454831.34861,13.135,0.070,,V,AAM,,TYC3642-229-1,GSC 3641-0067,TYCHO-2,,0,,Z,-5.442,-3.109,,BM AND,,STD,0,,,
2454857.27133,13.164,0.039,,V,AAM,,TYC3642-229-1,GSC 3641-0067,TYCHO-2,,0,,Z,-5.714,-3.287,,BM AND,,STD,0,,,
2454876.22044,12.462,0.028,,V,AAM,,TYC3642-229-1,GSC 3641-0067,TYCHO-2,,0,,Z,-5.821,-3.432,,BM AND,,STD,0,,,
2455009.7521,12.5,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2455026.7438,12.65,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2455032.7521,12.2,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2455044.7549,12.65,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2455057.6972,12.5,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2455072.3965,12.7,,,Vis.,POX,,129,,2005,,,,Z,,,,BM AND,,STD,,,,
2455074.8451,12.0,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2455083.7903,12.0,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2455089.6056,12.9,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2455090.8389,13.2,,,Vis.,KMA,,130,,K,,,,Z,,,,BM AND,,STD,,,,
2455091.7493,13.1,,,Vis.,KMA,,131,,K,,,,Z,,,,BM AND,,STD,,,,
2455093.4118,14.1,,,Vis.,POX,,143,,1311JBQ,,,,Z,,,,BM AND,,STD,,,,
2455094.7611,13.2,,,Vis.,KMA,,130,,K,,,,Z,,,,BM AND,,STD,,,,
2455122.5285,12.7,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2455133.5299,12.9,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2455143.6410,12.8,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2455147.6118,12.4,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2455150.7097,12.5,,,Vis.,KMA,,123,130,K,,,,Z,,,,BM AND,,STD,,,,
2455152.6563,<12.3,,,Vis.,KMA,,123,,K,,,,Z,,,,BM AND,,STD,,,,
2455158.6243,12.5,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2455167.5451,12.4,,,Vis.,KMA,,115,123,K,,,,Z,,,,BM AND,,STD,,,,
2455194.31772,12.770,0.028,,V,AAM,,TYC3642-229-1,GSC 3641-0067,TYCHO-2,,0,,Z,-5.788,-3.391,,BM AND,,STD,0,,,
2455199.30352,12.249,0.023,,V,AAM,,TYC3642-229-1,GSC 3641-0067,TYCHO-2,,0,,Z,-5.750,-3.303,,BM AND,,STD,0,,,
2455372.76788,12.251,0.025,,V,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.558,Z,9.531,9.637,,BM AND,,STD,,,,
2455372.77015,13.012,0.031,,B,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.541,Z,10.640,10.898,,BM AND,,STD,,,,
2455372.77231,10.871,0.019,,I,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.526,Z,9.825,9.877,,BM AND,,STD,,,,
2455372.77406,12.322,0.020,,V,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.514,Z,9.463,9.580,,BM AND,,STD,,,,
2455372.77652,13.081,0.031,,B,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.498,Z,10.613,10.831,,BM AND,,STD,,,,
2455372.77885,10.879,0.013,,I,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.483,Z,9.768,9.821,,BM AND,,STD,,,,
2455372.78003,12.294,0.019,,V,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.475,Z,9.403,9.528,,BM AND,,STD,,,,
2455372.78250,13.125,0.030,,B,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.460,Z,10.525,10.739,,BM AND,,STD,,,,
2455372.78483,10.907,0.013,,I,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.446,Z,9.732,9.797,,BM AND,,STD,,,,
2455372.78602,12.327,0.018,,V,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.439,Z,9.347,9.487,,BM AND,,STD,,,,
2455372.78847,13.026,0.027,,B,TRE,,000-BCR-728,SAO53205,1799BBM,,0,1.424,Z,10.531,10.729,,BM AND,,STD,,,,
