JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458328.42182,13.230,0.006,,V,VMT,,UCAC4 687-107727,UCAC4 687-107789,X23168ANP,STANDARD MAG: C = 12.860  K = 13.148,0,1.34,Z,16.970,17.224,,NSV 13953,VVS,STD,,,,
2458328.42691,13.880,0.010,,B,VMT,,UCAC4 687-107727,UCAC4 687-107789,X23168ANP,STANDARD MAG: C = 13.564  K = 13.866,0,1.32,Z,17.859,18.072,,NSV 13953,VVS,STD,,,,
2458328.43214,12.263,0.007,,I,VMT,,UCAC4 687-107727,UCAC4 687-107789,X23168ANP,STANDARD MAG: C = 12.027  K = 12.317,0,1.29,Z,17.145,17.412,,NSV 13953,VVS,STD,,,,
2458333.37775,13.235,0.014,,V,VMT,,UCAC4 687-107727,UCAC4 687-107789,X23168ANP,STANDARD MAG: C = 12.860  K = 13.148,0,1.53,Z,18.050,18.340,,NSV 13953,VVS,STD,,,,
2458333.38694,12.128,0.015,,I,VMT,,UCAC4 687-107727,UCAC4 687-107789,X23168ANP,STANDARD MAG: C = 12.027  K = 12.317,0,1.46,Z,18.679,18.934,,NSV 13953,VVS,STD,,,,
2458337.37582,13.219,0.011,,V,VMT,,UCAC4 687-107727,UCAC4 687-107789,X23168ANP,STANDARD MAG: C = 12.860  K = 13.148,0,1.46,Z,17.847,18.111,,NSV 13953,VVS,STD,,,,
2458337.38038,14.021,0.014,,B,VMT,,UCAC4 687-107727,UCAC4 687-107789,X23168ANP,STANDARD MAG: C = 13.564  K = 13.866,0,1.44,Z,18.881,19.260,,NSV 13953,VVS,STD,,,,
2458337.38564,12.286,0.011,,I,VMT,,UCAC4 687-107727,UCAC4 687-107789,X23168ANP,STANDARD MAG: C = 12.027  K = 12.317,0,1.40,Z,17.816,18.127,,NSV 13953,VVS,STD,,,,
2458345.65957,13.186,0.004,,V,VMT,,UCAC4 687-107727,UCAC4 687-107789,X23168ANP,STANDARD MAG: C = 12.860  K = 13.148,0,1.21,Z,16.280,16.519,,NSV 13953,VVS,STD,,,,
2458345.66251,12.189,0.005,,I,VMT,,UCAC4 687-107727,UCAC4 687-107789,X23168ANP,STANDARD MAG: C = 12.027  K = 12.317,0,1.22,Z,16.591,16.802,,NSV 13953,VVS,STD,,,,
