JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2453651.3919,10.06,,,V,CXR,K,,,,,,,Z,,,,V1578 CYG,,STD,,,,
2453651.3924,10.07,,,V,CUA,K,,,,,,,Z,,,,V1578 CYG,,STD,,,,
2454590.5259,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454607.5784,10.1,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454607.5816,10.1,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454634.5302,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454643.5232,10.1,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454648.5205,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454661.5322,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454667.5367,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454671.5261,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454677.5388,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454702.4777,10.05,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454709.4444,10.03,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454722.4441,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454724.4379,10.1,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454724.4411,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454728.4434,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454729.4232,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454736.4117,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454748.431,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454749.3949,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454751.4914,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454758.4549,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454759.3619,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454762.3765,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454764.494,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2454768.4595,10.0,,,TG,MEV,,,,,,0,,Z,,,,V1578 CYG,,STD,,,,
2456408.87615,10.070,0.057,,V,HGUA,,ENSEMBLE,117,11562ADD,,0,2.178,Z,,11.653,,V1578 CYG,AAVSO,STD,,,,
2456420.92481,10.090,0.056,,V,HGUA,,ENSEMBLE,112_1,11785CCH,,0,1.381,Z,,11.263,,V1578 CYG,AAVSO,STD,,,,
2460494.78492,10.521,0.002,,B,DCMA,,103A,112A,X36950OY,|OBSERVAT=MPO|PROJNAME=AAVSO_P508_DCMA_AUTO|CDEC=47.25896|CMAGINS=-9.881|CRA=328.55286|CREFERR=0.119|CREFMAG=10.955|KDEC=47.12013|KMAGINS=-9.048|KMAGSTD=11.787|KRA=328.4664|KREFERR=0.113|KREFMAG=11.790|VMAGINS=-10.315,0,1.261,Z,-9.881,-9.048,,V1578 CYG,AAVSO,STD,,,,
2460494.79138,10.102,0.002,,V,DCMA,,103A,112A,X36950OY,|OBSERVAT=MPO|PROJNAME=AAVSO_P508_DCMA_AUTO|CDEC=47.25896|CMAGINS=-10.877|CRA=328.55286|CREFERR=0.039|CREFMAG=10.283|KDEC=47.12013|KMAGINS=-9.967|KMAGSTD=11.194|KRA=328.4664|KREFERR=0.044|KREFMAG=11.184|VMAGINS=-11.058,0,1.236,Z,-10.877,-9.967,,V1578 CYG,AAVSO,STD,,,,
