JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2454348.6411,13.55,0.023,,V,AAM,,123N,,VSP71020,Comp:GSC-3179-0198 Err:0.023,0,,Z,,,,NSV 25379,,STD,,,,
2454349.6492,13.60,0.024,,V,AAM,,123N,,VSP71020,Comp:GSC-3179-0198 Err:0.024,0,,Z,,,,NSV 25379,,STD,,,,
2454363.6308,13.54,0.025,,V,AAM,,123N,,VSP71020,Comp:GSC-3179-0198 Err:0.025,0,,Z,,,,NSV 25379,,STD,,,,
2454367.5903,13.63,0.027,,V,AAM,,123N,,VSP71020,Comp:GSC-3179-0198 Err:0.027,0,,Z,,,,NSV 25379,,STD,,,,
2454377.5983,13.49,0.025,,V,AAM,,123N,,VSP71020,Comp:GSC-3179-0198 Err:0.025,0,,Z,,,,NSV 25379,,STD,,,,
2454395.5435,13.44,0.022,,V,AAM,,123N,,VSP71020,Comp:GSC-3179-0198 Err:0.022,0,,Z,,,,NSV 25379,,STD,,,,
2454411.4575,13.49,0.024,,V,AAM,,123N,,VSP71020,Comp:GSC-3179-0198 Err:0.024,0,,Z,,,,NSV 25379,,STD,,,,
2456168.71584,13.549,0.071,,V,MZK,,ENSEMBLE,119,8606ADZ,,0,1.079,Z,,11.803,,NSV 25379,AAVSO,STD,,,,
2456566.63112,13.543,0.032,,V,MZK,,ENSEMBLE,119,8606ADZ,,0,1.089,Z,,11.783,,NSV 25379,AAVSO,STD,,,,
2457159.80704,12.696,0.002,,R,MGW,,120,144,14872NZU,T21 - ITELESCOPE - MAYHILL NM,0,1.830,Z,-8.215,-5.972,,NSV 25379,AAVSO,STD,,,,
2457159.81093,11.817,0.003,,I,MGW,,120,144,14872NZU,T21 - ITELESCOPE - MAYHILL NM,0,1.784,Z,-7.371,-5.371,,NSV 25379,AAVSO,STD,,,,
2457160.94214,13.488,0.013,,V,MGW,,000-BJW-832,000-BJW-835,14872NZU,T21 - MAYHILL NM|VMAGINS=-6.255|VERR=0.003|CREFMAG=12.647|CREFERR=0.023|KREFMAG=14.388|KREFERR=0.037|VX=0.0000|CX=0.0000|KX=0.0000|TV_VI=0.0050|TV_VIERR=0.0120|TAVER=2.38,1,1.080,Z,-7.091,-5.350,,NSV 25379,AAVSO,STD,106,,,
2457160.94780,11.807,0.018,,I,MGW,,000-BJW-832,000-BJW-835,14872NZU,T21 - MAYHILL NM|VMAGINS=-6.736|VERR=0.004|CREFMAG=12.006|CREFERR=0.032|KREFMAG=13.106|KREFERR=0.043|VX=0.0000|CX=0.0000|KX=0.0000|TVI=0.9960|TVIERR=0.0110|TAVER=2.38,1,1.067,Z,-6.528,-5.397,,NSV 25379,AAVSO,STD,106,,,
