JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2416706.838,12.9,0.2,,B,OSW,,NA,,,SEE 2011JAVSO..39; EYE ESTIMATE FROM PLATES TRANSFORMED TO B MAG,1,,Z,,,,V517 CYG,AAVSO,STD,,,,
2424407.657,14.5,0.2,,B,OSW,,NA,,,SEE 2011JAVSO..39; EYE ESTIMATE FROM PLATES TRANSFORMED TO B MAG,1,,Z,,,,V517 CYG,AAVSO,STD,,,,
2424418.6,14.3,,,Vis.,OSW,K,NA,,NA,SEE 2011JAAVSO-V39-P186-APPENDIX,,,Z,,,,V517 CYG,AAVSO,STD,,,,
2453651.3644,13.52,,,V,CUA,K,,,,,,,Z,,,,V517 CYG,,STD,,,,
2453651.3649,13.52,,,V,CXR,K,,,,,,,Z,,,,V517 CYG,,STD,,,,
2454351.5146,11.7,,,Vis.,POX,T,113,118,2007,,0,,Z,,,,V517 CYG,,STD,,,,
2454638.4868,13.0,,,Vis.,POX,,128,,2007,,0,,Z,,,,V517 CYG,,STD,,,,
2454762.4632,12.7,,,Vis.,POX,,128,,1009NIF,,,,Z,,,,V517 CYG,,STD,,,,
2454764.4410,13.0,,,Vis.,POX,,128,,1009NIF,,,,Z,,,,V517 CYG,,STD,,,,
2455059.34,<13.0,,,Vis.,KTZ,,130,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455063.33,13.3,,,Vis.,KTZ,,130,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455064.32,13.3,,,Vis.,KTZ,,130,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455065.33,13.2,,,Vis.,KTZ,,130,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455067.32,13.2,,,Vis.,KTZ,,130,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455069.47,13.0,,,Vis.,KTZ,,130,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455072.37,13.2,,,Vis.,KTZ,,130,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455083.30,12.7,,,Vis.,KTZ,,130,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455093.4396,12.9,,,Vis.,POX,,128,,1009NIF,,,,Z,,,,V517 CYG,,STD,,,,
2455094.27,12.0,,,Vis.,KTZ,,121,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455099.27,12.0,,,Vis.,KTZ,,118,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455440.3750,12.8,,,Vis.,POX,,128,132,1009NIF,,,,Z,,,,V517 CYG,AAVSO,STD,,,,
2455445.35,12.4,,,Vis.,KTZ,,121,130,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455446.41,12.6,,,Vis.,KTZ,,125,130,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455447.42,12.8,,,Vis.,KTZ,,125,130,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455448.44,12.8,,,Vis.,KTZ,,125,130,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455451.39,12.8,,,Vis.,KTZ,,121,130,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455456.257,12.6,,,Vis.,KTZ,,125,130,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455458.28,12.8,,,Vis.,KTZ,,127,130,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455459.29,12.8,,,Vis.,KTZ,,109,130,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455461.26,12.7,,,Vis.,KTZ,B,109,130,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455463.2701,12.8,,,Vis.,KTZ,B,127,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455472.23,12.6,,,Vis.,KTZ,,125,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455473.23,12.6,,,Vis.,KTZ,,125,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455475.226,12.7,,,Vis.,KTZ,,125,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455478.222,12.5,,,Vis.,KTZ,,125,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455487.2118,<12.5,,,Vis.,KTZ,B,125,,HIP,,,,Z,,,,V517 CYG,,STD,,,,
2455773.4118,12.5,,,Vis.,POX,,128,,1009NIF,,,,Z,,,,V517 CYG,AAVSO,STD,,,,
2455775.82220,12.319,0.005,,V,MZK,,TYC78631,TYC4491,5167EIU,,0,1.165,Z,-8.122,-6.237,,V517 CYG,AAVSO,STD,,,,
2455775.82404,12.332,0.005,,V,MZK,,TYC78631,TYC4491,5167EIU,,0,1.171,Z,-8.103,-6.222,,V517 CYG,AAVSO,STD,,,,
2455785.68963,12.472,0.007,,V,ROE,,ENSEMBLE,128,110812,B,0,1.021,Z,,12.891,,V0517 CYG,AAVSO,STD,0,,,
