JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457957.53227,11.625,0.003,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.648,,V2483 CYG,BAA-VSS,STD,,,,
2457959.45301,11.618,0.014,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.641,,V2483 CYG,BAA-VSS,STD,,,,
2457960.66958,11.627,0.004,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.659,,V2483 CYG,BAA-VSS,STD,,,,
2457961.71656,11.650,0.003,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.670,,V2483 CYG,BAA-VSS,STD,,,,
2457965.60093,11.637,0.002,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.659,,V2483 CYG,BAA-VSS,STD,,,,
2457966.71361,11.609,0.002,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.659,,V2483 CYG,BAA-VSS,STD,,,,
2457968.48330,11.584,0.007,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.640,,V2483 CYG,BAA-VSS,STD,,,,
2457969.48255,11.569,0.008,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.640,,V2483 CYG,BAA-VSS,STD,,,,
2457970.67286,11.555,0.004,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.670,,V2483 CYG,BAA-VSS,STD,,,,
2457971.61477,11.543,0.003,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.669,,V2483 CYG,BAA-VSS,STD,,,,
2457976.53901,11.425,0.008,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.648,,V2483 CYG,BAA-VSS,STD,,,,
2457978.49486,11.384,0.003,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.649,,V2483 CYG,BAA-VSS,STD,,,,
2457980.47819,11.328,0.005,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.643,,V2483 CYG,BAA-VSS,STD,,,,
2457981.45919,11.300,0.009,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.651,,V2483 CYG,BAA-VSS,STD,,,,
2457982.57656,11.287,0.009,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.650,,V2483 CYG,BAA-VSS,STD,,,,
2457983.62467,11.273,0.004,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.657,,V2483 CYG,BAA-VSS,STD,,,,
2457984.60550,11.261,0.002,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.646,,V2483 CYG,BAA-VSS,STD,,,,
2457989.46570,11.241,0.005,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.640,,V2483 CYG,BAA-VSS,STD,,,,
2457994.68164,11.318,0.003,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.675,,V2483 CYG,BAA-VSS,STD,,,,
2457996.45960,11.352,0.003,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.644,,V2483 CYG,BAA-VSS,STD,,,,
2457997.52466,11.393,0.015,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.658,,V2483 CYG,BAA-VSS,STD,,,,
2457999.52011,11.467,0.013,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.643,,V2483 CYG,BAA-VSS,STD,,,,
2458000.50932,11.515,0.005,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.656,,V2483 CYG,BAA-VSS,STD,,,,
2458001.59028,11.556,0.004,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.669,,V2483 CYG,BAA-VSS,STD,,,,
2458002.59044,11.598,0.004,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.663,,V2483 CYG,BAA-VSS,STD,,,,
2458003.59866,11.657,0.004,,V,CDSA,,ENSEMBLE,UCAC4 634-107984,OWN CHART - APASS DR,,0,,Z,,11.666,,V2483 CYG,BAA-VSS,STD,,,,
