JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457246.564375,12.473,0.015,,V,LCLA,,ENSEMBLE,117,,USED COMPARSTARS = 22,0,1.000,Z,,11.694,,DI AND,AAVSO,STD,1393,,,
2460209.5917,11.798,0.007,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.297,Z,,12.099,,DI AND,RASC,STD,1,,,
2460209.5975,13.115,0.015,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.277,Z,,12.970,,DI AND,RASC,STD,1,,,
2460209.6015,12.159,0.009,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.264,Z,,12.274,,DI AND,RASC,STD,1,,,
2460209.6048,11.230,0.008,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|IC TRANSFORMED AS SI|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.251,Z,,11.910,,DI AND,RASC,STD,1,,,
2460209.6320,11.797,0.004,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.168,Z,,12.079,,DI AND,RASC,STD,2,,,
2460209.6331,13.123,0.009,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.166,Z,,12.959,,DI AND,RASC,STD,2,,,
2460209.6346,11.246,0.012,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|IC TRANSFORMED AS SI|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.162,Z,,11.904,,DI AND,RASC,STD,2,,,
2460209.6358,12.180,0.010,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.164,Z,,12.282,,DI AND,RASC,STD,2,,,
2460209.6524,11.808,0.005,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.119,Z,,12.080,,DI AND,RASC,STD,3,,,
2460209.6540,13.131,0.005,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.117,Z,,12.963,,DI AND,RASC,STD,3,,,
2460209.6555,11.268,0.014,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|IC TRANSFORMED AS SI|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.113,Z,,11.920,,DI AND,RASC,STD,3,,,
2460209.6571,12.198,0.009,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.115,Z,,12.275,,DI AND,RASC,STD,3,,,
2460210.6318,11.929,0.005,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.161,Z,1,12.088,,DI AND,RASC,STD,1,,,
2460210.6335,13.244,0.014,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.158,Z,1,12.953,,DI AND,RASC,STD,1,,,
2460210.6350,11.344,0.017,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|IC TRANSFORMED AS SI|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.154,Z,1,11.909,,DI AND,RASC,STD,1,,,
2460210.6361,12.301,0.015,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.156,Z,1,12.283,,DI AND,RASC,STD,1,,,
2460210.6509,11.923,0.007,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.117,Z,2,12.091,,DI AND,RASC,STD,2,,,
2460210.6520,13.234,0.006,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.115,Z,2,12.973,,DI AND,RASC,STD,2,,,
2460210.6535,11.346,0.024,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|IC TRANSFORMED AS SI|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.112,Z,2,11.908,,DI AND,RASC,STD,2,,,
2460210.6546,12.290,0.009,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.113,Z,2,12.278,,DI AND,RASC,STD,2,,,
2460227.6171,12.747,0.008,,SG,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.092,Z,,12.604,,DI AND,RASC,STD,1,,,
2460227.6211,11.928,0.009,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.086,Z,,12.092,,DI AND,RASC,STD,1,,,
2460227.6244,11.371,0.011,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.079,Z,,11.918,,DI AND,RASC,STD,1,,,
2460227.6295,13.245,0.009,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.070,Z,,12.964,,DI AND,RASC,STD,1,,,
2460227.6356,12.288,0.012,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.062,Z,,12.276,,DI AND,RASC,STD,1,,,
2460227.6506,12.790,0.008,,SG,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.042,Z,,12.591,,DI AND,RASC,STD,2,,,
2460227.6522,11.368,0.014,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.040,Z,,11.906,,DI AND,RASC,STD,2,,,
2460227.6533,13.255,0.006,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.038,Z,,12.947,,DI AND,RASC,STD,2,,,
2460227.6537,11.930,0.008,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.041,Z,,12.062,,DI AND,RASC,STD,2,,,
2460227.6568,12.292,0.014,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.037,Z,,12.268,,DI AND,RASC,STD,2,,,
2460227.6797,12.756,0.003,,SG,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.015,Z,,12.595,,DI AND,RASC,STD,3,,,
2460227.6812,11.354,0.016,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.014,Z,,11.905,,DI AND,RASC,STD,3,,,
2460227.6823,13.240,0.006,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.013,Z,,12.951,,DI AND,RASC,STD,3,,,
2460227.6828,11.925,0.015,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.015,Z,,12.085,,DI AND,RASC,STD,3,,,
2460227.6858,12.284,0.016,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.013,Z,,12.273,,DI AND,RASC,STD,3,,,
2460228.5962,13.138,0.011,,SG,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.130,Z,,12.581,,DI AND,RASC,STD,1,,,
2460228.5981,11.507,0.007,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.125,Z,,11.889,,DI AND,RASC,STD,1,,,
2460228.5995,13.629,0.009,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.122,Z,,12.954,,DI AND,RASC,STD,1,,,
2460228.5996,12.210,0.010,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.128,Z,,12.072,,DI AND,RASC,STD,1,,,
2460228.6033,12.619,0.026,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.120,Z,,12.256,,DI AND,RASC,STD,1,,,
2460228.6225,13.132,0.010,,SG,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.078,Z,,12.588,,DI AND,RASC,STD,2,,,
2460228.6244,11.523,0.013,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.074,Z,,11.899,,DI AND,RASC,STD,2,,,
2460228.6259,13.644,0.011,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.072,Z,,12.956,,DI AND,RASC,STD,2,,,
2460228.6259,12.222,0.011,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.077,Z,,12.078,,DI AND,RASC,STD,2,,,
2460228.6297,12.635,0.014,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.071,Z,,12.272,,DI AND,RASC,STD,2,,,
2460228.6489,13.134,0.011,,SG,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.041,Z,,12.592,,DI AND,RASC,STD,3,,,
2460228.6508,11.520,0.009,,SI,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.038,Z,,11.896,,DI AND,RASC,STD,3,,,
2460228.6523,13.658,0.003,,B,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.037,Z,,12.950,,DI AND,RASC,STD,3,,,
2460228.6523,12.237,0.009,,SR,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.040,Z,,12.079,,DI AND,RASC,STD,3,,,
2460228.6560,12.632,0.009,,V,DJX,,ENSEMBLE,GSC 03645-01772,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.036,Z,,12.275,,DI AND,RASC,STD,3,,,
2460229.6372,12.617,0.008,,SG,DJX,,ENSEMBLE,GSC 03645-01772 - K,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.052,Z,,12.584,,DI AND,RASC,STD,1,,,
2460229.6391,11.238,0.007,,SI,DJX,,ENSEMBLE,GSC 03645-01772 - K,APASS-DR-10,AVERAGE AND STDEV OF 5 IMAGES|ENSEMBLE: (GSC 03645-02062|GSC 03645-02118|GSC 03645-00882|GSC 03645-02208|GSC 03645-01880|GSC 03645-02196|GSC 03645-01320|GSC 03645-02172|GSC 03645-00990|GSC 03645-01958),1,1.049,Z,,11.898,,DI AND,RASC,STD,1,,,
