JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2436784.936,11.18,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3130,1964BOTT....3..153M,WEL,
2436784.936,11.75,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3130,1964BOTT....3..153M,WEL,
2436784.936,12.29,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3130,1964BOTT....3..153M,WEL,
2436786.979,11.44,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3131,1964BOTT....3..153M,WEL,
2436786.979,12.19,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3131,1964BOTT....3..153M,WEL,
2436786.979,12.58,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3131,1964BOTT....3..153M,WEL,
2436787.969,11.66,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3132,1964BOTT....3..153M,WEL,
2436787.969,12.53,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3132,1964BOTT....3..153M,WEL,
2436791.974,11.44,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3133,1964BOTT....3..153M,WEL,
2436791.974,11.99,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3133,1964BOTT....3..153M,WEL,
2436791.974,12.32,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3133,1964BOTT....3..153M,WEL,
2436792.906,11.26,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3134,1964BOTT....3..153M,WEL,
2436792.906,11.83,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3134,1964BOTT....3..153M,WEL,
2436792.906,12.18,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3134,1964BOTT....3..153M,WEL,
2436793.937,11.27,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3135,1964BOTT....3..153M,WEL,
2436793.937,11.85,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3135,1964BOTT....3..153M,WEL,
2436793.937,12.20,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3135,1964BOTT....3..153M,WEL,
2436806.892,11.68,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3135,1964BOTT....3..153M,WEL,
2436806.892,12.57,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3135,1964BOTT....3..153M,WEL,
2436806.892,13.08,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3135,1964BOTT....3..153M,WEL,
2436807.883,11.68,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3136,1964BOTT....3..153M,WEL,
2436807.883,12.49,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3136,1964BOTT....3..153M,WEL,
2436807.883,13.12,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3136,1964BOTT....3..153M,WEL,
2436809.880,11.51,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3137,1964BOTT....3..153M,WEL,
2436809.880,12.07,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3137,1964BOTT....3..153M,WEL,
2436809.880,12.54,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3137,1964BOTT....3..153M,WEL,
2436810.911,11.30,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3138,1964BOTT....3..153M,WEL,
2436810.911,11.88,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3138,1964BOTT....3..153M,WEL,
2436810.911,12.22,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3138,1964BOTT....3..153M,WEL,
2436811.890,11.25,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3139,1964BOTT....3..153M,WEL,
2436811.890,11.78,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3139,1964BOTT....3..153M,WEL,
2436811.890,12.22,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3139,1964BOTT....3..153M,WEL,
2436812.877,11.34,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3140,1964BOTT....3..153M,WEL,
2436812.877,11.99,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3140,1964BOTT....3..153M,WEL,
2436812.877,12.46,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3140,1964BOTT....3..153M,WEL,
2436813.870,11.45,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3141,1964BOTT....3..153M,WEL,
2436813.870,12.14,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3141,1964BOTT....3..153M,WEL,
2436813.870,12.64,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3141,1964BOTT....3..153M,WEL,
2436816.835,11.74,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3142,1964BOTT....3..153M,WEL,
2436816.835,12.57,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3142,1964BOTT....3..153M,WEL,
2436816.835,13.07,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3142,1964BOTT....3..153M,WEL,
2436830.872,11.18,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3143,1964BOTT....3..153M,WEL,
2436830.872,11.73,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3143,1964BOTT....3..153M,WEL,
2436832.854,11.48,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3144,1964BOTT....3..153M,WEL,
2436832.854,12.20,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3144,1964BOTT....3..153M,WEL,
2436833.809,11.60,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3145,1964BOTT....3..153M,WEL,
2436833.809,12.37,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3145,1964BOTT....3..153M,WEL,
2436837.682,11.39,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3146,1964BOTT....3..153M,WEL,
2436837.682,11.96,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3146,1964BOTT....3..153M,WEL,
2436843.753,11.66,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3147,1964BOTT....3..153M,WEL,
2436843.753,12.47,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3147,1964BOTT....3..153M,WEL,
2436847.723,11.22,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3148,1964BOTT....3..153M,WEL,
2436847.723,11.74,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3148,1964BOTT....3..153M,WEL,
2436849.778,11.38,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3149,1964BOTT....3..153M,WEL,
2436849.778,12.00,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3149,1964BOTT....3..153M,WEL,
2436849.778,12.38,,,U,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3149,1964BOTT....3..153M,WEL,
2436866.725,11.27,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3150,1964BOTT....3..153M,WEL,
2436866.725,11.83,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3150,1964BOTT....3..153M,WEL,
2436867.935,11.35,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3151,1964BOTT....3..153M,WEL,
2436867.935,12.00,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3151,1964BOTT....3..153M,WEL,
2436869.744,11.58,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3152,1964BOTT....3..153M,WEL,
2436869.744,12.36,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3152,1964BOTT....3..153M,WEL,
2436876.776,11.29,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3153,1964BOTT....3..153M,WEL,
2436876.776,11.88,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3153,1964BOTT....3..153M,WEL,
2436879.708,11.66,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3154,1964BOTT....3..153M,WEL,
2436879.708,12.50,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3154,1964BOTT....3..153M,WEL,
2436941.603,11.32,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3155,1964BOTT....3..153M,WEL,
2436941.603,11.96,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3155,1964BOTT....3..153M,WEL,
2436948.597,11.22,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3156,1964BOTT....3..153M,WEL,
2436948.597,11.78,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3156,1964BOTT....3..153M,WEL,
2436951.627,11.45,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3157,1964BOTT....3..153M,WEL,
2436951.627,12.16,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3157,1964BOTT....3..153M,WEL,
2436953.616,11.71,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3158,1964BOTT....3..153M,WEL,
2436953.616,12.47,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3158,1964BOTT....3..153M,WEL,
2436954.619,11.72,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3159,1964BOTT....3..153M,WEL,
2436954.619,12.41,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3159,1964BOTT....3..153M,WEL,
2436955.615,11.58,,,V,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3160,1964BOTT....3..153M,WEL,
2436955.615,12.21,,,B,MUP,,NA,,,,1,,Z,,,,IX CAS,AAVSO,STD,3160,1964BOTT....3..153M,WEL,
