JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2436830.851,11.79,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2840,1964BOTT....3..153M,WEL,
2436830.851,12.57,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2840,1964BOTT....3..153M,WEL,
2436837.671,12.77,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2841,1964BOTT....3..153M,WEL,
2436837.671,13.98,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2841,1964BOTT....3..153M,WEL,
2436843.729,11.45,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2842,1964BOTT....3..153M,WEL,
2436843.729,12.02,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2842,1964BOTT....3..153M,WEL,
2436847.705,11.77,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2843,1964BOTT....3..153M,WEL,
2436847.705,12.67,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2843,1964BOTT....3..153M,WEL,
2436848.694,11.82,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2844,1964BOTT....3..153M,WEL,
2436848.694,12.77,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2844,1964BOTT....3..153M,WEL,
2436866.681,12.67,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2845,1964BOTT....3..153M,WEL,
2436866.681,13.86,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2845,1964BOTT....3..153M,WEL,
2436869.676,12.60,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2846,1964BOTT....3..153M,WEL,
2436869.676,13.49,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2846,1964BOTT....3..153M,WEL,
2436876.745,11.78,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2847,1964BOTT....3..153M,WEL,
2436876.745,12.68,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2847,1964BOTT....3..153M,WEL,
2436879.664,12.08,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2848,1964BOTT....3..153M,WEL,
2436879.664,13.12,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2848,1964BOTT....3..153M,WEL,
2436880.670,12.41,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2849,1964BOTT....3..153M,WEL,
2436880.670,13.54,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2849,1964BOTT....3..153M,WEL,
2436941.589,12.90,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2850,1964BOTT....3..153M,WEL,
2436941.589,14.02,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2850,1964BOTT....3..153M,WEL,
2436942.603,12.75,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2851,1964BOTT....3..153M,WEL,
2436942.603,13.72,,,B,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2851,1964BOTT....3..153M,WEL,
2436948.584,11.78,,,V,MUP,,NA,,,,1,,Z,,,,CS CAS,AAVSO,STD,2852,1964BOTT....3..153M,WEL,
