JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2417812.5590,9.58,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 88.  HARVARD PHOTOMETRY.,,,Z,,,,VX CYG,AAVSO,STD,,1925JO......8...84V,PKV,
2417815.5000,9.78,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 88.  HARVARD PHOTOMETRY.,,,Z,,,,VX CYG,AAVSO,STD,,1925JO......8...84V,PKV,
2417816.5330,9.96,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 88.  HARVARD PHOTOMETRY.,,,Z,,,,VX CYG,AAVSO,STD,,1925JO......8...84V,PKV,
2417823.5120,10.64,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 88.  HARVARD PHOTOMETRY.,,,Z,,,,VX CYG,AAVSO,STD,,1925JO......8...84V,PKV,
2417828.5440,10.72,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 88.  HARVARD PHOTOMETRY.,,,Z,,,,VX CYG,AAVSO,STD,,1925JO......8...84V,PKV,
2417830.4460,10.77,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 88.  HARVARD PHOTOMETRY.,,,Z,,,,VX CYG,AAVSO,STD,,1925JO......8...84V,PKV,
2417831.5010,10.64,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 88.  HARVARD PHOTOMETRY.,,,Z,,,,VX CYG,AAVSO,STD,,1925JO......8...84V,PKV,
2417837.4870,10.34,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 88.  HARVARD PHOTOMETRY.,,,Z,,,,VX CYG,AAVSO,STD,,1925JO......8...84V,PKV,
2417838.4740,10.54,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 88.  HARVARD PHOTOMETRY.,,,Z,,,,VX CYG,AAVSO,STD,,1925JO......8...84V,PKV,
2417839.5280,10.34,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 88.  HARVARD PHOTOMETRY.,,,Z,,,,VX CYG,AAVSO,STD,,1925JO......8...84V,PKV,
