JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2436735.910,9.29,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4496,1964BOTT....3..153M,WEL,
2436735.910,10.33,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4496,1964BOTT....3..153M,WEL,
2436736.892,9.44,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4497,1964BOTT....3..153M,WEL,
2436736.892,10.50,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4497,1964BOTT....3..153M,WEL,
2436742.773,9.88,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4498,1964BOTT....3..153M,WEL,
2436742.773,11.23,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4498,1964BOTT....3..153M,WEL,
2436744.905,9.36,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4499,1964BOTT....3..153M,WEL,
2436744.905,10.53,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4499,1964BOTT....3..153M,WEL,
2436745.866,9.37,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4500,1964BOTT....3..153M,WEL,
2436745.866,10.58,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4500,1964BOTT....3..153M,WEL,
2436746.819,9.57,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4501,1964BOTT....3..153M,WEL,
2436746.819,10.87,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4501,1964BOTT....3..153M,WEL,
2436748.864,9.91,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4502,1964BOTT....3..153M,WEL,
2436748.864,11.39,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4502,1964BOTT....3..153M,WEL,
2436749.874,9.99,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4503,1964BOTT....3..153M,WEL,
2436749.874,11.44,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4503,1964BOTT....3..153M,WEL,
2436753.939,9.35,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4504,1964BOTT....3..153M,WEL,
2436753.939,10.59,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4504,1964BOTT....3..153M,WEL,
2436767.835,9.21,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4505,1964BOTT....3..153M,WEL,
2436767.835,10.30,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4505,1964BOTT....3..153M,WEL,
2436771.755,9.91,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4506,1964BOTT....3..153M,WEL,
2436771.755,11.30,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4506,1964BOTT....3..153M,WEL,
2436772.868,9.98,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4507,1964BOTT....3..153M,WEL,
2436772.868,11.48,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4507,1964BOTT....3..153M,WEL,
2436773.858,9.90,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4508,1964BOTT....3..153M,WEL,
2436773.858,11.30,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4508,1964BOTT....3..153M,WEL,
2436774.819,9.43,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4509,1964BOTT....3..153M,WEL,
2436774.819,10.59,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4509,1964BOTT....3..153M,WEL,
2436774.819,11.35,,,U,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4509,1964BOTT....3..153M,WEL,
2436777.888,9.42,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4510,1964BOTT....3..153M,WEL,
2436777.888,10.64,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4510,1964BOTT....3..153M,WEL,
2436777.888,11.46,,,U,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4510,1964BOTT....3..153M,WEL,
2436784.675,9.40,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4511,1964BOTT....3..153M,WEL,
2436784.675,10.62,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4511,1964BOTT....3..153M,WEL,
2436784.675,11.46,,,U,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4511,1964BOTT....3..153M,WEL,
2436785.841,9.44,,,V,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4512,1964BOTT....3..153M,WEL,
2436785.841,10.70,,,B,MUP,,NA,,,,1,,Z,,,,VY CYG,AAVSO,STD,4512,1964BOTT....3..153M,WEL,
