JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2436735.928,9.32,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4864,1964BOTT....3..153M,WEL,
2436735.928,10.74,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4864,1964BOTT....3..153M,WEL,
2436736.905,9.51,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4865,1964BOTT....3..153M,WEL,
2436736.905,11.01,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4865,1964BOTT....3..153M,WEL,
2436741.764,9.36,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4866,1964BOTT....3..153M,WEL,
2436741.764,10.80,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4866,1964BOTT....3..153M,WEL,
2436742.784,9.60,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4867,1964BOTT....3..153M,WEL,
2436742.784,11.22,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4867,1964BOTT....3..153M,WEL,
2436744.915,9.97,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4868,1964BOTT....3..153M,WEL,
2436744.915,11.71,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4868,1964BOTT....3..153M,WEL,
2436745.871,9.72,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4869,1964BOTT....3..153M,WEL,
2436745.871,11.33,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4869,1964BOTT....3..153M,WEL,
2436746.824,9.28,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4870,1964BOTT....3..153M,WEL,
2436746.824,10.70,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4870,1964BOTT....3..153M,WEL,
2436747.878,9.73,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4871,1964BOTT....3..153M,WEL,
2436747.878,11.42,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4871,1964BOTT....3..153M,WEL,
2436749.892,9.90,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4872,1964BOTT....3..153M,WEL,
2436749.892,11.63,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4872,1964BOTT....3..153M,WEL,
2436755.935,9.95,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4873,1964BOTT....3..153M,WEL,
2436755.935,11.64,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4873,1964BOTT....3..153M,WEL,
2436757.819,9.46,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4874,1964BOTT....3..153M,WEL,
2436757.819,10.95,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4874,1964BOTT....3..153M,WEL,
2436759.846,9.83,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4875,1964BOTT....3..153M,WEL,
2436759.846,11.52,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4875,1964BOTT....3..153M,WEL,
2436760.805,9.97,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4875,1964BOTT....3..153M,WEL,
2436760.805,11.70,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4875,1964BOTT....3..153M,WEL,
2436767.797,9.30,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4876,1964BOTT....3..153M,WEL,
2436767.797,10.71,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4876,1964BOTT....3..153M,WEL,
2436774.865,9.67,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4877,1964BOTT....3..153M,WEL,
2436774.865,11.35,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4877,1964BOTT....3..153M,WEL,
2436777.906,9.35,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4878,1964BOTT....3..153M,WEL,
2436777.906,10.75,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4878,1964BOTT....3..153M,WEL,
2436784.832,9.56,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4879,1964BOTT....3..153M,WEL,
2436784.832,11.14,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4879,1964BOTT....3..153M,WEL,
2436784.832,12.28,,,U,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4879,1964BOTT....3..153M,WEL,
2436785.911,9.78,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4880,1964BOTT....3..153M,WEL,
2436785.911,11.46,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4880,1964BOTT....3..153M,WEL,
2436785.911,12.75,,,U,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4880,1964BOTT....3..153M,WEL,
2436786.820,9.94,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4881,1964BOTT....3..153M,WEL,
2436786.820,11.63,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4881,1964BOTT....3..153M,WEL,
2436786.820,12.80,,,U,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4881,1964BOTT....3..153M,WEL,
2436787.801,9.80,,,V,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4882,1964BOTT....3..153M,WEL,
2436787.801,11.39,,,B,MUP,,NA,,,,1,,Z,,,,V386 CYG,AAVSO,STD,4882,1964BOTT....3..153M,WEL,
