JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2436751.882,8.97,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4942,1964BOTT....3..153M,WEL,
2436751.882,9.93,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4942,1964BOTT....3..153M,WEL,
2436751.882,10.68,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4942,1964BOTT....3..153M,WEL,
2436766.742,9.22,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4943,1964BOTT....3..153M,WEL,
2436766.742,10.37,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4943,1964BOTT....3..153M,WEL,
2436766.742,11.16,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4943,1964BOTT....3..153M,WEL,
2436768.743,8.95,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4944,1964BOTT....3..153M,WEL,
2436768.743,9.97,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4944,1964BOTT....3..153M,WEL,
2436769.883,9.15,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4945,1964BOTT....3..153M,WEL,
2436769.883,10.28,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4945,1964BOTT....3..153M,WEL,
2436772.879,9.17,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4946,1964BOTT....3..153M,WEL,
2436772.879,10.22,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4946,1964BOTT....3..153M,WEL,
2436772.879,10.95,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4946,1964BOTT....3..153M,WEL,
2436773.869,9.22,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4947,1964BOTT....3..153M,WEL,
2436773.869,10.35,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4947,1964BOTT....3..153M,WEL,
2436773.869,11.14,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4947,1964BOTT....3..153M,WEL,
2436777.917,9.00,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4948,1964BOTT....3..153M,WEL,
2436777.917,10.06,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4948,1964BOTT....3..153M,WEL,
2436777.917,10.80,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4948,1964BOTT....3..153M,WEL,
2436785.919,9.15,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4949,1964BOTT....3..153M,WEL,
2436785.919,10.29,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4949,1964BOTT....3..153M,WEL,
2436785.919,11.06,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4949,1964BOTT....3..153M,WEL,
2436786.829,9.26,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4950,1964BOTT....3..153M,WEL,
2436786.829,10.40,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4950,1964BOTT....3..153M,WEL,
2436786.829,11.17,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4950,1964BOTT....3..153M,WEL,
2436787.808,9.01,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4951,1964BOTT....3..153M,WEL,
2436787.808,10.04,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4951,1964BOTT....3..153M,WEL,
2436787.808,10.74,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4951,1964BOTT....3..153M,WEL,
2436791.719,8.97,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4952,1964BOTT....3..153M,WEL,
2436791.719,9.99,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4952,1964BOTT....3..153M,WEL,
2436791.719,10.72,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4952,1964BOTT....3..153M,WEL,
2436793.790,9.17,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4953,1964BOTT....3..153M,WEL,
2436793.790,10.29,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4953,1964BOTT....3..153M,WEL,
2436793.790,11.04,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4953,1964BOTT....3..153M,WEL,
2436806.745,9.22,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4954,1964BOTT....3..153M,WEL,
2436806.745,10.36,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4954,1964BOTT....3..153M,WEL,
2436806.745,11.11,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4954,1964BOTT....3..153M,WEL,
2436807.739,8.94,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4955,1964BOTT....3..153M,WEL,
2436807.739,9.95,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4955,1964BOTT....3..153M,WEL,
2436807.739,10.65,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4955,1964BOTT....3..153M,WEL,
2436811.741,9.00,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4956,1964BOTT....3..153M,WEL,
2436811.741,10.05,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4956,1964BOTT....3..153M,WEL,
2436811.741,10.78,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4956,1964BOTT....3..153M,WEL,
2436812.767,9.24,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4956,1964BOTT....3..153M,WEL,
2436812.767,10.41,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4956,1964BOTT....3..153M,WEL,
2436812.767,11.18,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4956,1964BOTT....3..153M,WEL,
2436813.739,9.12,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4957,1964BOTT....3..153M,WEL,
2436813.739,10.20,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4957,1964BOTT....3..153M,WEL,
2436813.739,10.91,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4957,1964BOTT....3..153M,WEL,
2436814.759,8.96,,,V,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4958,1964BOTT....3..153M,WEL,
2436814.759,9.98,,,B,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4958,1964BOTT....3..153M,WEL,
2436814.759,10.80,,,U,MUP,,NA,,,,1,,Z,,,,V532 CYG,AAVSO,STD,4958,1964BOTT....3..153M,WEL,
