JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2418447.816,13.0,0.2,,B,OSW,,NA,,,SEE 2012JAAVSO-V40-P929; EYE ESTIMATE FROM PLATE TRANSFORMED TO B MAG,1,,Z,,,,GR CYG,AAVSO,STD,,,,
2424460.540,15.7,0.2,,B,OSW,,NA,,,UNCERTAIN; SEE 2012JAAVSO-V40-P929; EYE ESTIMATE FROM PLATE TRANSFORMED TO B MAG,1,,Z,,,,GR CYG,AAVSO,STD,,,,
2449573.51,10.8,,,Vis.,CMJ,,,,GSPC-I,Camera48135noneZenit-E + Kodak TechPan 2415 hypered,,,Z,,,,GR CYG,AAVSO,STD,,,,BAAVSS
2450010.3,11.2,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450016.4,11.2,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450030.3,11.8,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450199.6,11.8,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450252.5,12.3,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450280.5,11.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450283.4,13.2,,,Vis.,SCZ,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450300.4,12.5,,,Vis.,SCZ,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450314.5,12.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450315.4,11.8,,,Vis.,SCZ,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450335.4,12.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450396.4,12.0,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450520.6,11.2,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450543.6,11.2,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450637.5,12.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450659.5,12.0,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450674.5,12.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450685.4,12.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450696.5,13.0,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450717.3,12.3,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450717.4,12.7,,,Vis.,SCZ,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450729.4,12.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450748.5,<14.0,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450752.3,12.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450767.3,12.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450811.2,12.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2450985.5,11.0,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2451361.5,12.5,,,Vis.,GUN,,,,,,,,V,,,,GR CYG,AFOEV,STD,,,,
2451847.46,12.5,,,Vis.,MPR,GK,118/125,,M,,,,V,,,,GR CYG,,STD,,,,
2451867.46,12.1,,,Vis.,MPR,GK,118/125,,M,,,,V,,,,GR CYG,,STD,,,,
2451902.33,12.5,,,Vis.,MPR,GK,118/125,,M,,,,V,,,,GR CYG,,STD,,,,
2452022.5764,12.8,,,Vis.,MPR,,125,134,MAURER,,,,V,,,,GR CYG,,STD,,,,
2452041.5000,12.3,,,Vis.,MPR,,118,125,MAURER,,,,V,,,,GR CYG,,STD,,,,
2452059.8063,12.5,,,Vis.,HUZ,I,111,,PB96,,,,V,,,,GR CYG,,STD,,,,
2452125.7,<13.2,,,Vis.,KRS,,,,,,,,V,,,,GR CYG,,STD,,,,
2452162.7146,12.4,,,Vis.,HUZ,,111,127,SB86,,,,V,,,,GR CYG,,STD,,,,
2452182.7,<13.4,,,Vis.,KRS,,,,,,,,V,,,,GR CYG,,STD,,,,
2452519.4,12.0,,,Vis.,MOI,,,,,,,,Z,,,,GR CYG,AFOEV,STD,,,,
2452552.4,12.0,,,Vis.,MOI,,,,,,,,Z,,,,GR CYG,AFOEV,STD,,,,
2452570.8181,<13.0,,,Vis.,HUZ,,134,,PB1996,,,,Z,,,,GR CYG,,STD,,,,
2452646.3,12.2,,,Vis.,MOI,,,,,,,,Z,,,,GR CYG,AFOEV,STD,,,,
2452853.5,12.2,,,Vis.,MOI,,,,,,,,Z,,,,GR CYG,AFOEV,STD,,,,
2452877.4,12.5,,,Vis.,MOI,,,,,,,,Z,,,,GR CYG,AFOEV,STD,,,,
2452885.4,12.1,,,Vis.,MOI,,,,,,,,Z,,,,GR CYG,AFOEV,STD,,,,
2452940.0,12.5,,,Vis.,MOI,,,,,,,,Z,,,,GR CYG,AFOEV,STD,,,,
2452945.0,12.5,,,Vis.,MOI,,,,,,,,Z,,,,GR CYG,AFOEV,STD,,,,
2453029.3,12.8,,,Vis.,MOI,,,,,,,,Z,,,,GR CYG,AFOEV,STD,,,,
2453194.4,12.1,,,Vis.,MOI,,,,,,,,Z,,,,GR CYG,AFOEV,STD,,,,
2455858.233,13.51,,,V,SMRC,,NA,,,,0,,Z,,,,GR CYG,AFOEV,STD,,,,
2456408.87733,11.379,0.249,,V,HGUA,,ENSEMBLE,143,11604LR,,0,1.830,Z,,14.306,,GR CYG,AAVSO,STD,,,,
2456411.87550,11.221,0.042,,V,HGUA,,ENSEMBLE,131,11627BOQ,,0,1.750,Z,,13.111,,GR CYG,AAVSO,STD,,,,
2456416.89550,11.174,0.028,,V,HGUA,,ENSEMBLE,131,11692TP,,0,1.437,Z,,13.020,,GR CYG,AAVSO,STD,,,,
2456420.92591,11.403,0.032,,V,HGUA,,ENSEMBLE,136,11777RM,,0,1.210,Z,,13.735,,GR CYG,AAVSO,STD,,,,
2457624.50385,15.139,0.027,,V,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,14.585,,GR CYG,SAAF,STD,,,,
2457624.50620,12.481,0.038,,R,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,13.587,,GR CYG,SAAF,STD,,,,
2457628.48358,15.114,0.023,,V,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,14.544,,GR CYG,SAAF,STD,,,,
2457628.48542,12.453,0.043,,R,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,13.626,,GR CYG,SAAF,STD,,,,
2457641.33389,15.048,0.028,,V,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,14.520,,GR CYG,SAAF,STD,,,,
2457641.33581,12.308,0.035,,R,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,13.613,,GR CYG,SAAF,STD,,,,
2457657.48633,14.850,0.037,,V,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,14.561,,GR CYG,SAAF,STD,,,,
2457657.48822,12.173,0.056,,R,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,13.626,,GR CYG,SAAF,STD,,,,
2457690.34682,14.687,0.021,,V,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,14.534,,GR CYG,SAAF,STD,,,,
2457690.34847,12.091,0.031,,R,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,13.605,,GR CYG,SAAF,STD,,,,
2457717.30979,14.578,0.021,,V,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,14.536,,GR CYG,SAAF,STD,,,,
2457717.31157,11.991,0.024,,R,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,13.598,,GR CYG,SAAF,STD,,,,
2457728.32317,14.574,0.025,,V,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,14.517,,GR CYG,SAAF,STD,,,,
2457728.32484,11.951,0.033,,R,WTHB,,ENSEMBLE,145,X16418DU,TEC140/QSI683,1,,Z,,13.583,,GR CYG,SAAF,STD,,,,
2457746.26889,14.058,0.031,,V,WTHB,,ENSEMBLE,129,X16418DU,TEC140/QSI683,1,,Z,,12.862,,GR CYG,SAAF,STD,,,,
