JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2448418.52,10.1,,,Vis.,CMJ,,,,TA - NSV 13806,Camera48135noneZenit-E + Kodak TechPan 2415 unhypered,,,Z,,,,V479 CYG,AAVSO,STD,,,,BAAVSS
2449907.5,12.3,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2449918.5,12.3,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2449948.4,12.5,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2449989.4,10.8,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450001.3,11.5,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450007.4,11.0,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450016.4,12.0,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450028.3,12.3,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450062.3,12.6,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450101.2,12.7,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450113.23,<12.9,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450252.5,12.5,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450281.4,12.6,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450283.4,12.8,,,Vis.,SCZ,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450300.4,12.3,,,Vis.,SCZ,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450304.5,<13.2,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450312.4,<13.2,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450314.5,12.3,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450315.4,12.5,,,Vis.,SCZ,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450315.4,<13.2,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450328.3,12.8,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450338.35,<13.9,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450342.338,13.6,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450347.435,13.7,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450390.215,13.0,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450395.254,13.0,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450396.4,12.3,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450437.23,<13.2,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450453.28,<13.2,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450520.6,12.6,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450543.6,12.3,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450637.5,12.4,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450660.4,12.3,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450673.5,12.5,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450676.5,<13.2,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450685.4,12.6,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450689.43,<13.2,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450696.5,12.4,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450702.4,<13.2,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450715.39,<13.1,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450717.3,12.6,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450717.4,12.6,,,Vis.,SCZ,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450720.305,14.0,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450729.4,12.7,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450742.334,12.9,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450746.358,12.7,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450748.294,12.6,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450748.5,12.3,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450751.378,12.7,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450752.3,12.5,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450756.4,12.4,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450767.3,12.0,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450780.269,12.5,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450789.407,12.9,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450811.2,12.5,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
2450841.37,<12.9,,,Vis.,WDM,,,,,,,,Z,,,,V479 CYG,SAAF,STD,,,,BAAVSS
2450845.26,13.5,,,Vis.,MPR,GV,,,,,,,V,,,,V479 CYG,,STD,,,,
2450985.5,12.5,,,Vis.,GUN,,,,,,,,V,,,,V479 CYG,AFOEV,STD,,,,
