JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455504.651706,6.364,0.031,,V,PSEB,,ENSEMBLE,000-BBD-231,3325UIU,B-V=-0.021 (MER/HD9996) / MEAN 36 MEASURES,1,1.095,Z,,6.640,,GY AND,,STD,,,,
2455512.604969,6.324,0.024,,V,PSEB,,ENSEMBLE,000-BBD-231,3325UIU,B-V=-0.021 (MER/HD9996) / MEAN 36 MEASURES,1,1.156,Z,,6.636,,GY AND,,STD,,,,
2455566.487729,6.409,0.019,,V,PSEB,,ENSEMBLE,000-BBD-231,3325UIU,B-V=-0.021 (MER/HD9996) / MEAN 36 MEASURES,1,1.085,Z,,6.687,,GY AND,,STD,,,,
2458453.332494,5.909,,,TR,MJOE,,000-BBD-231,,X23894O,,0,1.017,Z,6.118,,,GY AND,,STD,,,,
2458453.332494,6.189,,,TB,MJOE,,000-BBD-231,,X23894O,,0,1.017,Z,6.696,,,GY AND,,STD,,,,
2458453.332494,6.347,,,TG,MJOE,,000-BBD-231,,X23894O,,0,1.017,Z,6.655,,,GY AND,,STD,,,,
2458481.258997,5.924,0.168,,TR,MJOE,,000-BBD-231,,X23894O,,0,1.015,Z,6.118,,,GY AND,,STD,,,,
2458481.258997,6.125,0.127,,TB,MJOE,,000-BBD-231,,X23894O,,0,1.015,Z,6.696,,,GY AND,,STD,,,,
2458481.258997,6.329,0.093,,TG,MJOE,,000-BBD-231,,X23894O,,0,1.015,Z,6.655,,,GY AND,,STD,,,,
2458810.21437,6.578,,,V,KMAJ,B,67,75,X24880BMP,,0,,Z,6.638,7.380,,GY AND,,STD,,,,
2459209.352122,6.277,0.133,,TG,MJOE,,000-BBB-923,000-BBB-998,X23888TG,EOS 1100D MORE COMP STARS: 000-BBD-610 (6.060) 000-BBB-490 (6.499),0,1.024,Z,3.27,4.940,,GY AND,,STD,,,,
