JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2454330.42917,6.4,,,Vis.,RJG,U,62,65,P1992,,0,,Z,,,,V365 LAC,,STD,,,,
2454330.43333,6.4,,,Vis.,CAI,U,62,66,P1992,,0,,Z,,,,V365 LAC,,STD,,,,
2454452.35903,6.2,,,Vis.,RJG,M,62,66,P1992,,0,,Z,,,,V365 LAC,,STD,,,,
2454452.35972,6.2,,,Vis.,CAI,M,62,66,P1992,,0,,Z,,,,V365 LAC,,STD,,,,
2455072.39931,6.2,,,Vis.,RJG,,62,66,P1992,,,,Z,,,,V365 LAC,,STD,,,,
2455072.40278,6.2,,,Vis.,CAI,,62,66,P1992,,,,Z,,,,V365 LAC,,STD,,,,
2455497.526772,6.250,0.013,,V,PSEB,,ENSEMBLE,000-BCP-662,3325FNT,B-V=-0.071 (MER/HD209961) / MEAN 46 MEASURES,1,1.084,Z,,6.446,,V0365 LAC,,STD,,,,
2455503.493787,6.297,0.018,,V,PSEB,,ENSEMBLE,000-BCP-662,3325OHI,B-V=-0.071 (MER/HD209961) / MEAN 36 MEASURES,1,1.118,Z,,6.433,,V0365 LAC,,STD,,,,
2455856.361065,8.887,0.019,,R,CLZ,,92,,5671EYG,,0,1.027,Z,14.234,,,V0365 LAC,AAVSO,STD,,,,
2455856.362315,8.914,0.019,,R,CLZ,,92,,5671EYG,,0,1.029,Z,14.263,,,V0365 LAC,AAVSO,STD,,,,
2455856.363634,8.921,0.019,,R,CLZ,,92,,5671EYG,,0,1.031,Z,14.265,,,V0365 LAC,AAVSO,STD,,,,
2455856.364954,8.904,0.019,,R,CLZ,,92,,5671EYG,,0,1.034,Z,14.259,,,V0365 LAC,AAVSO,STD,,,,
2455856.366296,8.920,0.019,,R,CLZ,,92,,5671EYG,,0,1.036,Z,14.255,,,V0365 LAC,AAVSO,STD,,,,
2455856.367616,8.900,0.019,,R,CLZ,,92,,5671EYG,,0,1.039,Z,14.255,,,V0365 LAC,AAVSO,STD,,,,
2455856.368935,8.922,0.019,,R,CLZ,,92,,5671EYG,,0,1.042,Z,14.246,,,V0365 LAC,AAVSO,STD,,,,
2455856.370208,8.916,0.019,,R,CLZ,,92,,5671EYG,,0,1.044,Z,14.260,,,V0365 LAC,AAVSO,STD,,,,
2455856.371447,8.911,0.019,,R,CLZ,,92,,5671EYG,,0,1.047,Z,14.249,,,V0365 LAC,AAVSO,STD,,,,
