JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2434951.35,6.0,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2434958.37,6.0,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2434959.36,6.2,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2434962.3,6.2,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2434967.3,6.0,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2434969.34,6.0,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435279.41,6.1,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435280.38,6.1,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435284.47,6.1,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435287.37,6.1,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435294.37,6.2,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435298.37,6.0,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435304.39,6.1,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435306.4,6.0,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435309.37,6.0,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435311.33,6.1,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435313.36,6.1,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435316.31,6.2,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435324.42,6.2,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435328.32,6.2,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435335.35,6.0,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435371.26,6.0,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2435575.4,6.1,,,Vis.,ELD,,,,,,,,V,,,,AR LAC,,STD,,,,
2442997.657,6.0,,,Vis.,SAH,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
2442997.667,6.1,,,Vis.,SAH,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
2442997.758,6.6,,,Vis.,SAH,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
2442997.774,6.7,,,Vis.,SAH,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
2442997.814,7.0,,,Vis.,SAH,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
2442997.835,6.9,,,Vis.,SAH,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
2442997.850,6.8,,,Vis.,SAH,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
2442997.883,6.6,,,Vis.,SAH,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
2442997.904,6.4,,,Vis.,SAH,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
2442997.914,6.3,,,Vis.,SAH,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
2443527.323,7.1,,,Vis.,TLA,,,,JEI710213,B15X70,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443527.333,7.1,,,Vis.,TLA,,,,JEI710213,B15X70,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443527.352,7.0,,,Vis.,TLA,,,,JEI710213,B15X70,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443527.391,6.6,,,Vis.,TLA,,,,JEI710213,B15X70,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443533.242,7.1,,,Vis.,TLA,,,,JEI710213,OG75,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443533.258,7.0,,,Vis.,TLA,,,,JEI710213,OG75,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443533.278,7.1,,,Vis.,TLA,,,,JEI710213,OG75,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443533.297,7.2,,,Vis.,TLA,,,,JEI710213,OG75,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443533.349,6.9,,,Vis.,TLA,B,,,JEI710213,OG75,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443533.378,6.4,,,Vis.,TLA,,,,JEI710213,OG75,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443533.421,6.2,,,Vis.,TLA,,,,JEI710213,OG75,,,Z,,,,AR LAC,BAA-VSS,STD,,,,BAAVSS
2443717.653,6.2,,,Vis.,BM,,NA,,NA,,,,Z,,,,AR LAC,,STD,,,,
