JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2417856.6,11.1,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417892.6,11.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417915.6,11.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417942.6,11.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417975.5,10.8,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417992.5,11.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418212.6,10.9,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418235.7,10.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418245.6,10.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418262.6,10.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418279.5,10.8,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418307.5,11.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418325.6,12.0,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418346.5,10.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418377.5,10.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418579.5,9.9,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418588.6,10.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418609.6,10.5,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418640.6,10.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418651.6,10.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418683.6,10.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418930.6,10.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418977.6,10.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2418983.6,10.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2419008.5,10.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-128.  SUBMITTED BY PKV.,,,Z,,,,Z AND,AAVSO,STD,,1912AnHar..63....1C,PKV,
2419804.6,<10.4,,,Vis.,WIM,,,,,,,,V,,,,Z AND,,STD,,,,
2419809.6,<10.9,,,Vis.,WIM,,,,,,,,V,,,,Z AND,,STD,,,,
2421445.6,9.4,,,Vis.,BUR,,,,,,,,V,,,,Z AND,,STD,,,,
