JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2450320.7139,<15.0,,,Vis.,SCE,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2450321.6771,14.7,,,Vis.,GRI,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2450329.7160,14.7,,,Vis.,GRI,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2450341.6354,14.7,,,Vis.,GRI,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2450635.7889,14.7,,,Vis.,GRI,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2451021.7521,14.7,,,Vis.,GRI,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2451420.8479,<15.9,,,Vis.,OCN,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2451421.8431,<16.4,,,V,OCN,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2451423.8236,<16.2,,,V,OCN,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2451425.8243,<16.0,,,V,OCN,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2451433.8257,<16.7,,,V,OCN,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2451439.7410,<14.4,,,Vis.,SXN,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2451459.7201,<14.4,,,Vis.,SXN,,,,,,,,V,,,,V1062 CYG,,STD,,,,
2451499.6424,<13.9,,,Vis.,SXN,V,,,,,,,V,,,,V1062 CYG,,STD,,,,
2451718.7826,<14.4,,,Vis.,SXN,,144,,PE96,,,,V,,,,V1062 CYG,,STD,,,,
2451721.8375,<13.9,,,Vis.,SXN,,139,,PE96,,,,V,,,,V1062 CYG,,STD,,,,
2451723.8333,14.6,,,Vis.,SXN,VY,144,139,PE96,,,,V,,,,V1062 CYG,,STD,,,,
2451725.7958,<13.9,,,Vis.,SXN,,139,,PE96,,,,V,,,,V1062 CYG,,STD,,,,
2451726.7806,<13.9,,,Vis.,SXN,,139,,PE96,,,,V,,,,V1062 CYG,,STD,,,,
2451732.7750,<14.4,,,Vis.,SXN,,144,,PE96,,,,V,,,,V1062 CYG,,STD,,,,
