JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2449473.553,<14.7,,,Vis.,PYG,,,,,R400,,,Z,,,,V1060 CYG,BAA-VSS,STD,,,,BAAVSS
2449503.552,<14.7,,,Vis.,PYG,,,,,R400,,,Z,,,,V1060 CYG,BAA-VSS,STD,,,,BAAVSS
2449504.5159,<14.7,,,Vis.,PYG,,,,,R400,,,Z,,,,V1060 CYG,BAA-VSS,STD,,,,BAAVSS
2449508.5152,<14.7,,,Vis.,PYG,,,,,R400,,,Z,,,,V1060 CYG,BAA-VSS,STD,,,,BAAVSS
2449514.5402,<14.7,,,Vis.,PYG,,,,,R400,,,Z,,,,V1060 CYG,BAA-VSS,STD,,,,BAAVSS
2449515.5409,<14.7,,,Vis.,PYG,,,,,R400,,,Z,,,,V1060 CYG,BAA-VSS,STD,,,,BAAVSS
2449518.4993,<14.7,,,Vis.,PYG,,,,,R400,,,Z,,,,V1060 CYG,BAA-VSS,STD,,,,BAAVSS
2449520.502,<14.7,,,Vis.,PYG,,,,,R400,,,Z,,,,V1060 CYG,BAA-VSS,STD,,,,BAAVSS
2449543.542,<14.7,,,Vis.,PYG,,,,,,,,V,,,,V1060 CYG,,STD,,,,
2449544.495,<14.7,,,Vis.,PYG,,,,,,,,V,,,,V1060 CYG,,STD,,,,
2449550.4819,<14.7,,,Vis.,PYG,,,,,R400,,,Z,,,,V1060 CYG,BAA-VSS,STD,,,,BAAVSS
2449551.477,<14.7,,,Vis.,PYG,,,,,,,,V,,,,V1060 CYG,,STD,,,,
2449553.478,<14.7,,,Vis.,PYG,,,,,,,,V,,,,V1060 CYG,,STD,,,,
2449563.472,<14.7,,,Vis.,PYG,,,,,,,,V,,,,V1060 CYG,,STD,,,,
2449573.450,<14.7,,,Vis.,PYG,,,,,,,,V,,,,V1060 CYG,,STD,,,,
2449578.431,<14.7,,,Vis.,PYG,,,,,,,,V,,,,V1060 CYG,,STD,,,,
2449579.455,<14.7,,,Vis.,PYG,,,,,,,,V,,,,V1060 CYG,,STD,,,,
