JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2449310.286,<13.9,,,Vis.,PTZ,K,,,,,,,V,,,,KV AND,AFOEV,STD,,,,
2449355.330,<14.5,,,Vis.,VCP,C,,,,,,,V,,,,KV AND,,STD,,,,
2449370.288,<14.1,,,Vis.,VCP,C,,,,,,,V,,,,KV AND,,STD,,,,
2449422.321,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449446.2,<15.4,,,Vis.,SNO,,,,,,,,V,,,,KV AND,MCSE,STD,,,,
2449447.2,<15.4,,,Vis.,SNO,,,,,,,,V,,,,KV AND,MCSE,STD,,,,
2449541.472,<14.1,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449544.559,<14.1,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449549.546,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449566.467,<14.1,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449566.576,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449573.488,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449575.499,13.7,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449577.519,14.2,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449578.474,13.8,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449579.451,14.4,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449579.511,14.3,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449579.517,<14.5,,,Vis.,BOS,,,,,,,,V,,,,KV AND,KNVWS,STD,,,,
2449581.510,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449582.495,14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449588.444,<14.1,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449593.415,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449593.523,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449594.380,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449594.509,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449595.5222,<14.1,,,Vis.,JLT,,,,,,,,V,,,,KV AND,AS,STD,,,,
2449597.401,<14.1,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449597.5319,<14.5,,,Vis.,PYG,,,,,R400,,,Z,,,,KV AND,BAA-VSS,STD,,,,BAAVSS
2449602.493,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449608.376,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449608.518,<14.5,,,Vis.,BOS,,,,,,,,V,,,,KV AND,KNVWS,STD,,,,
2449612.513,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449621.326,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449629.3854,<14.1,,,Vis.,JLT,,,,,,,,V,,,,KV AND,AS,STD,,,,
2449629.423,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449629.511,<13.5,,,Vis.,PTZ,,,,,,,,V,,,,KV AND,AFOEV,STD,,,,
2449629.599,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449630.415,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449630.543,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449631.351,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449633.4472,<14.5,,,Vis.,PYG,,,,,R400,,,Z,,,,KV AND,BAA-VSS,STD,,,,BAAVSS
2449633.557,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449635.334,<14.1,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449635.485,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449636.385,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449636.581,<14.5,,,Vis.,BOS,,,,,,,,V,,,,KV AND,KNVWS,STD,,,,
2449637.340,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449637.447,<13.9,,,Vis.,PTZ,,,,,,,,V,,,,KV AND,AFOEV,STD,,,,
2449637.458,<14.5,,,Vis.,BOS,,,,,,,,V,,,,KV AND,KNVWS,STD,,,,
2449639.406,<13.9,,,Vis.,PTZ,,,,,,,,V,,,,KV AND,AFOEV,STD,,,,
2449639.532,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449640.415,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449640.582,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449649.431,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449650.352,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
2449651.329,<14.5,,,Vis.,PYG,,,,,,,,V,,,,KV AND,,STD,,,,
2449651.371,<14.5,,,Vis.,VMT,C,,,,,,,V,,,,KV AND,,STD,,,,
