JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2453702.379144,16.939,0.027,,CV,PXR,,,,Own,LX200,,,Z,,,,V572 AND,BAA-VSS,STD,,,,BAAVSS
2453702.380694,16.612,0.029,,CV,PXR,,,,Own,LX200,,,Z,,,,V572 AND,BAA-VSS,STD,,,,BAAVSS
2453702.381505,16.999,0.041,,CV,PXR,,,,Own,LX200,,,Z,,,,V572 AND,BAA-VSS,STD,,,,BAAVSS
2453702.383958,17.287,0.043,,CV,PXR,,,,Own,LX200,,,Z,,,,V572 AND,BAA-VSS,STD,,,,BAAVSS
2453702.386227,17.26,0.045,,CV,PXR,,,,Own,LX200,,,Z,,,,V572 AND,BAA-VSS,STD,,,,BAAVSS
2453702.387778,17.316,0.05,,CV,PXR,,,,Own,LX200,,,Z,,,,V572 AND,BAA-VSS,STD,,,,BAAVSS
2453702.388588,17.393,0.056,,CV,PXR,,,,Own,LX200,,,Z,,,,V572 AND,BAA-VSS,STD,,,,BAAVSS
2453702.389468,17.023,0.036,,CV,PXR,,,,Own,LX200,,,Z,,,,V572 AND,BAA-VSS,STD,,,,BAAVSS
2453702.390347,16.995,0.027,,CV,PXR,,,,Own,LX200,,,Z,,,,V572 AND,BAA-VSS,STD,,,,BAAVSS
2455475.62083,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,TSS J022216.4+412260,VVS,STD,,,,
2455490.57222,<17.3,,,CV,MUY,K,173,,USNOA2.0,,0,,Z,17.3,,,TSS J022216.4+412260,VVS,STD,,,,
2455495.61389,<17.2,,,CV,MUY,K,172,,USNOA2.0,,0,,Z,17.2,,,TSS J022216.4+412260,VVS,STD,,,,
2455496.66736,<16.3,,,CV,MUY,K,163,,USNOA2.0,,0,,Z,16.3,,,TSS J022216.4+412260,VVS,STD,,,,
2455499.54236,<17.3,,,CV,MUY,K,173,,USNOA2.0,,0,,Z,17.3,,,TSS J022216.4+412260,VVS,STD,,,,
2455564.47708,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,TSS J022216.4+412260,VVS,STD,,,,
2455571.46667,<18.4,,,CV,MUY,K,18.4,,USNOA2.0,,0,,Z,18.4,,,TSS J022216.4+412260,VVS,STD,,,,
2455621.47639,<17.3,,,CV,MUY,K,173,,USNOA2.0,,0,,Z,17.3,,,V572 AND,VVS,STD,,,,
2455811.69097,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455813.68472,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455823.65417,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455829.64028,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455835.63194,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455843.60278,<17.8,,,CV,MUY,K,178,,USNOA2.0,,0,,Z,17.8,,,V572 AND,VVS,STD,,,,
2455855.59722,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455857.59167,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455860.60903,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455863.54653,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455873.56250,<17.3,,,CV,MUY,K,173,,USNOA2.0,,0,,Z,17.3,,,V572 AND,VVS,STD,,,,
2455883.59236,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455891.56806,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455894.57500,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455897.54028,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455900.50764,<18.0,,,CV,MUY,K,180,,USNOA2.0,,0,,Z,18.0,,,V572 AND,VVS,STD,,,,
2455910.48611,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
2455912.53889,<18.4,,,CV,MUY,K,184,,USNOA2.0,,0,,Z,18.4,,,V572 AND,VVS,STD,,,,
