JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456141.809,16.619,0.054,,V,UIS01,,ENSEMBLE,3851,120821,,0,,Z,,15.016,,AE And,,STD,,,,
2456142.81,16.619,0.042,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,0,1.142,Z,0.0,0.0,,AE AND,,STD,0,,,
2456248.621,16.76,0.057,,V,UIS01,,ENSEMBLE,3851,121122,,0,,Z,,15.033,,AE And,,STD,,,,
2456266.66,16.597,0.069,,R,UIS01,,ENSEMBLE,3851,121206,,0,,Z,,14.594,,AE And,,STD,,,,
2456267.66,16.498,0.054,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,0,1.090,Z,0.0,0.0,,AE AND,,STD,0,,,
2456490.85,16.785,0.049,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.164,Z,0.0,0.0,,AE AND,,STD,0,,,
2456490.85,17.014,0.047,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.164,Z,0.0,0.0,,AE AND,,STD,0,,,
2456536.72,16.938,0.081,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.176,Z,0.0,0.0,,AE AND,,STD,0,,,
2456536.72,16.825,0.046,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.176,Z,0.0,0.0,,AE AND,,STD,0,,,
2456923.61,17.139,0.026,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.408,Z,0.0,0.0,,AE AND,,STD,0,,,
2456923.61,17.277,0.027,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.408,Z,0.0,0.0,,AE AND,,STD,0,,,
2456923.61,17.001,0.036,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.408,Z,0.0,0.0,,AE AND,,STD,0,,,
2457227.86,17.389,0.027,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.090,Z,0.0,0.0,,AE AND,,STD,0,,,
2457227.86,17.536,0.025,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.090,Z,0.0,0.0,,AE AND,,STD,0,,,
2457314.62,17.438,0.032,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.092,Z,0.0,0.0,,AE AND,,STD,0,,,
2457314.62,17.233,0.055,,I,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.092,Z,0.0,0.0,,AE AND,,STD,0,,,
2457633.75,17.262,0.029,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.086,Z,0.0,0.0,,AE AND,,STD,0,,,
2457633.75,17.353,0.029,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.086,Z,0.0,0.0,,AE AND,,STD,0,,,
2457633.75,17.076,0.038,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.086,Z,0.0,0.0,,AE AND,,STD,0,,,
2457635.86,17.225,0.031,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.012,Z,0.0,0.0,,AE AND,,STD,0,,,
2457635.86,16.970,0.048,,I,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.012,Z,0.0,0.0,,AE AND,,STD,0,,,
2457958.85,17.388,0.075,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.110,Z,0.0,0.0,,AE AND,,STD,0,,,
2457958.85,17.172,0.046,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.110,Z,0.0,0.0,,AE AND,,STD,0,,,
2457958.85,17.103,0.051,,I,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.110,Z,0.0,0.0,,AE AND,,STD,0,,,
2457963.88,17.369,0.072,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.031,Z,0.0,0.0,,AE AND,,STD,0,,,
2457963.88,17.480,0.080,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.031,Z,0.0,0.0,,AE AND,,STD,0,,,
2458067.67,17.433,0.025,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.007,Z,0.0,0.0,,AE AND,,STD,0,,,
2458067.67,17.250,0.050,,I,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.007,Z,0.0,0.0,,AE AND,,STD,0,,,
2458312.85,17.348,0.030,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.204,Z,0.0,0.0,,AE AND,,STD,0,,,
2458312.85,17.445,0.032,,B,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.204,Z,0.0,0.0,,AE AND,,STD,0,,,
2458341.78,17.099,0.046,,R,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.170,Z,0.0,0.0,,AE AND,,STD,0,,,
2458341.78,17.047,0.045,,I,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.170,Z,0.0,0.0,,AE AND,,STD,0,,,
2458341.78,17.374,0.045,,V,UIS01,,ENSEMBLE,0.0,0,2017AJ....154...81M,1,1.170,Z,0.0,0.0,,AE AND,,STD,0,,,
