JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451814.5,11.8,,,Vis.,POX,,116,,MP99,,,,V,,,,BI CEP,,STD,,,,
2453519.4875,11.7,,,Vis.,POX,K,116,,MP1999,,,,Z,,,,BI CEP,,STD,,,,
2454061.5132,11.0,,,Vis.,POX,G,108,,1999,CHART BY ME.,,,Z,,,,BI CEP,,STD,,,,
2454111.4181,12.3,,,Vis.,POX,,121,,1999,,,,Z,,,,BI CEP,,STD,,,,
2454304.4028,11.5,,,Vis.,POX,,112,117,2007,,0,,Z,,,,BI CEP,,STD,,,,
2454350.44752,11.965,0.011,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.918,-4.133,,BI CEP,,STD,0,,,
2454351.3639,12.2,,,Vis.,POX,,124,,2007,,0,,Z,,,,BI CEP,,STD,,,,
2454362.41499,11.424,0.009,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.779,-3.928,,BI CEP,,STD,0,,,
2454365.41451,11.485,0.009,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.810,-4.035,,BI CEP,,STD,0,,,
2454379.39692,11.181,0.007,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.945,-4.119,,BI CEP,,STD,0,,,
2454382.43534,11.134,0.007,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.838,-3.982,,BI CEP,,STD,0,,,
2454388.52802,11.259,0.008,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.767,-3.922,,BI CEP,,STD,0,,,
2454389.36904,11.155,0.009,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.631,-3.754,,BI CEP,,STD,0,,,
2454392.49935,11.346,0.009,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.758,-3.886,,BI CEP,,STD,0,,,
2454393.45796,11.199,0.007,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.964,-4.197,,BI CEP,,STD,0,,,
2454396.35152,11.327,0.008,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.829,-4.083,,BI CEP,,STD,0,,,
2454396.43034,11.304,0.014,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.102,-3.290,,BI CEP,,STD,0,,,
2454402.29483,11.396,0.011,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.523,-3.709,,BI CEP,,STD,0,,,
2454407.28706,11.368,0.011,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.521,-3.746,,BI CEP,,STD,0,,,
2454415.30278,11.406,0.010,,V,AAM,,TYC4463-716-1,GSC 4463-0322,TYCHO-2,,0,,Z,-4.569,-3.684,,BI CEP,,STD,0,,,
