JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455140.973333,13.542,0.067,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,2.851,Z,,13.922,,CN LEO,,STD,,,,
2455140.974884,13.636,0.064,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,2.794,Z,,13.998,,CN LEO,,STD,,,,
2455144.997072,11.469,0.033,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.995,Z,,13.991,,CN LEO,,STD,,,,
2455144.998623,11.430,0.031,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.970,Z,,13.915,,CN LEO,,STD,,,,
2455148.975995,11.768,0.009,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,2.179,Z,,13.985,,CN LEO,,STD,,,,
2455149.972917,11.419,0.080,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,2.186,Z,,14.010,,CN LEO,,STD,,,,
2455151.975984,11.738,0.008,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,2.028,Z,,13.973,,CN LEO,,STD,,,,
2455151.977523,11.779,0.008,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,2.002,Z,,13.972,,CN LEO,,STD,,,,
2455153.021123,11.729,0.007,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.495,Z,,13.967,,CN LEO,,STD,,,,
2455155.016238,11.487,0.010,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.491,Z,,13.952,,CN LEO,,STD,,,,
2455155.017812,11.530,0.009,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.480,Z,,13.946,,CN LEO,,STD,,,,
2455161.998889,12.036,0.008,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.478,Z,,13.993,,CN LEO,,STD,,,,
2455170.006377,13.699,0.024,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.321,Z,,13.958,,CN LEO,,STD,,,,
2455170.007940,13.684,0.023,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.315,Z,,13.954,,CN LEO,,STD,,,,
2455170.009514,11.844,0.015,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.308,Z,,13.524,,CN LEO,,STD,,,,
2455170.011076,11.835,0.014,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.302,Z,,13.432,,CN LEO,,STD,,,,
2455172.006539,13.698,0.035,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.299,Z,,13.933,,CN LEO,,STD,,,,
2455172.008090,13.678,0.036,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.293,Z,,13.978,,CN LEO,,STD,,,,
2455172.009688,11.878,0.026,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.287,Z,,13.445,,CN LEO,,STD,,,,
2455172.011215,11.873,0.023,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.282,Z,,13.457,,CN LEO,,STD,,,,
2455265.80459,13.608,0.012,,V,EEY,,148,153,2084ayi,"""12\"" SCT, ST-7E, Schuler-V, 60sec X 5""",0,,Z,14.828,15.244,,CN LEO,,STD,,,,
2455270.83047,13.575,0.01,,V,EEY,,144,148,2084ayi,"""12\"" SCT, ST-7E, Schuler-V, 60sec X 6""",0,,Z,14.433,14.766,,CN LEO,,STD,,,,
2455272.78980,13.592,0.011,,V,EEY,,148,147,2084ayi,"""12\"" SCT, ST-7E, Schuler-V, 60sec X 5""",0,,Z,14.828,14.773,,CN LEO,,STD,,,,
2455279.79190,13.622,0.013,,V,EEY,,148,147,2084ayi,"""12\"" SCT, ST-7E, Schuler-V, 60sec X 5""",0,,Z,14.828,14.760,,CN LEO,,STD,,,,
2455284.77281,13.661,0.017,,V,EEY,B,148,153,2084ayi,"""12\"" SCT, ST-7E, Schuler-V, 60sec X 5""",0,,Z,14.828,15.340,,CN LEO,,STD,,,,
2455289.80058,13.645,0.013,,V,EEY,,148,147,2084ayi,"""12\""SCT, ST-7E, Schuler-V, 60sec X 5""",0,,Z,14.828,14.714,,CN LEO,,STD,,,,
2455293.654456,13.791,0.017,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.383,Z,,14.205,,CN LEO,,STD,,,,
2455293.656007,13.735,0.016,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.375,Z,,14.071,,CN LEO,,STD,,,,
2455293.657651,11.964,0.012,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.367,Z,,13.336,,CN LEO,,STD,,,,
2455293.659201,11.995,0.011,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.360,Z,,13.397,,CN LEO,,STD,,,,
2455294.677419,13.495,0.020,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.277,Z,,13.943,,CN LEO,,STD,,,,
2455294.679144,13.551,0.019,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.271,Z,,13.845,,CN LEO,,STD,,,,
2455295.669306,13.717,0.017,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.295,Z,,13.907,,CN LEO,,STD,,,,
2455295.670857,13.714,0.017,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.290,Z,,13.912,,CN LEO,,STD,,,,
2455295.672488,11.989,0.012,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.284,Z,,13.438,,CN LEO,,STD,,,,
2455295.674039,12.010,0.012,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.279,Z,,13.437,,CN LEO,,STD,,,,
2455305.669306,13.765,0.019,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.220,Z,,13.890,,CN LEO,,STD,,,,
2455305.670868,13.727,0.019,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.216,Z,,13.920,,CN LEO,,STD,,,,
2455305.672500,11.995,0.013,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.213,Z,,13.445,,CN LEO,,STD,,,,
2455305.674039,11.978,0.013,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.211,Z,,13.448,,CN LEO,,STD,,,,
2455306.78501,13.297,0.014,,V,EEY,U,148,147,2084ayi,"""12\""SCT, ST-7E, Schuler-V, 60sec X5""",0,,Z,14.828,14.675,,CN LEO,,STD,,,,
2455319.686296,13.847,0.026,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.178,Z,,13.980,,CN LEO,,STD,,,,
2455319.687847,13.818,0.026,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.178,Z,,13.987,,CN LEO,,STD,,,,
2455319.689491,12.156,0.016,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.179,Z,,13.508,,CN LEO,,STD,,,,
2455319.691053,12.054,0.016,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.180,Z,,13.518,,CN LEO,,STD,,,,
2455319.75102,13.634,0.013,,V,EEY,,148,147,2084ayi,"""12\""SCT, ST-7E, Schuler-V, 60sec X 5""",0,,Z,14.828,14.713,,CN LEO,,STD,,,,
2455320.686331,13.900,0.026,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.179,Z,,14.025,,CN LEO,,STD,,,,
2455320.687940,13.872,0.025,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.180,Z,,14.029,,CN LEO,,STD,,,,
2455320.689583,12.119,0.012,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.181,Z,,13.493,,CN LEO,,STD,,,,
2455320.691146,12.177,0.012,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.182,Z,,13.488,,CN LEO,,STD,,,,
2455321.55794,13.623,0.055,,V,MZK,,ENSEMBLE,147,100507,,0,1.237,Z,,14.540,,CN LEO,,STD,,,,
2455321.712685,13.777,0.017,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.214,Z,,13.952,,CN LEO,,STD,,,,
2455321.714236,13.765,0.017,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.217,Z,,13.963,,CN LEO,,STD,,,,
2455321.715903,12.136,0.012,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.220,Z,,13.489,,CN LEO,,STD,,,,
2455321.717454,12.139,0.012,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.224,Z,,13.494,,CN LEO,,STD,,,,
2455322.694514,13.792,0.018,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.191,Z,,13.937,,CN LEO,,STD,,,,
2455322.696076,13.819,0.018,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.193,Z,,13.947,,CN LEO,,STD,,,,
2455322.697766,12.047,0.013,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.195,Z,,13.476,,CN LEO,,STD,,,,
2455322.699329,12.040,0.013,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.197,Z,,13.473,,CN LEO,,STD,,,,
2455323.689514,13.756,0.017,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.188,Z,,13.952,,CN LEO,,STD,,,,
2455323.691053,13.852,0.017,,V,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.190,Z,,13.970,,CN LEO,,STD,,,,
2455323.692685,12.053,0.012,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.192,Z,,13.497,,CN LEO,,STD,,,,
2455323.694236,12.144,0.012,,R,GFB,,ENSEMBLE,UCAC2 34110788,1428BLV,,0,1.194,Z,,13.492,,CN LEO,,STD,,,,
2455325.75472,13.657,0.03,,V,EEY,U,148,147,2084ayi,"""12\"" SCT, ST-7E, Schuler-V, 60 sec X 5""",0,,Z,14.828,14.739,,CN LEO,,STD,,,,
2455327.60733,13.617,0.060,,V,MZK,,ENSEMBLE,147,100512,,1,1.415,Z,,14.645,,CN LEO,,STD,,,,
2455327.61044,11.715,0.069,,R,MZK,,ENSEMBLE,147,100512,,1,1.431,Z,,14.287,,CN LEO,,STD,,,,
2455327.61285,9.351,0.119,,I,MZK,,ENSEMBLE,147,100512,,1,1.444,Z,,14.033,,CN LEO,,STD,,,,
