JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455842.58472,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455847.49514,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455849.50069,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455850.52431,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455851.51042,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455856.55069,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455858.64028,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455862.51042,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455867.53403,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455870.51458,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455877.50139,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455883.50139,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455889.45903,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2455896.54236,1.3,,,Vis.,SYO,,08,20,5646myk,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2457655.73472,1.3,,,Vis.,DMID,,12,,X1689OCR,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2457693.64727,1.3,,,Vis.,DMID,,12,,X16899MZ,,,,Z,,,,ALF CYG,AAVSO,STD,,,,
2458717.600,1.1,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458745.600,1.1,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458746.500,1.2,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458770.500,1.3,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458773.450,1.2,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458778.400,1.2,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458785.300,1.1,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458786.500,1.2,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458798.400,1.2,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458822.300,1.2,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458828.400,1.1,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458834.300,1.2,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458870.200,1.3,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458975.600,1.1,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458976.500,1.0,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2458986.500,1.0,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2459067.325,1.0,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
2459095.600,1.2,,,Vis.,SUS,,NA,,NA,,,,Z,,,,ALF CYG,BAV,STD,,,,
