JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2448235.8771,9.6,,,Vis.,GFG,C,,,,,,,V,,,,EQ PEG,,STD,,,,
2449630.0,9.2,,,Vis.,AJU,,,,,,,,V,,,,EQ PEG,,STD,,,,
2451439.38,8.6,,,Vis.,RMQ,,,,,EP 17.88,,,V,,,,EQ PEG,,STD,,,,
2454252.91953,10.166,0.02,,V,NMR,T,10.06,10.82,Not AAVSO,"""MaximDL 10.036,10.844""",0,,Z,,,,EQ PEG,,STD,,,,
2454256.91994,10.181,0.02,,V,NMR,T,10.06,10.82,Not AAVSO,"""MaximDL 10.032,10.848""",0,,Z,,,,EQ PEG,,STD,,,,
2454259.94662,10.196,0.02,,V,NMR,T,10.06,10.82,Not AAVSO,"""MaximDL 10.030,10.850""",0,,Z,,,,EQ PEG,,STD,,,,
2454269.91471,10.147,0.02,,V,NMR,T,10.06,10.82,Not AAVSO,"""MaximDL 10.032,10.848""",0,,Z,,,,EQ PEG,,STD,,,,
2454269.94766,10.175,0.02,,V,NMR,T,10.06,10.82,Not AAVSO,"""MaximDL 10.036,10.844""",0,,Z,,,,EQ PEG,,STD,,,,
2454270.90902,10.163,0.02,,V,NMR,T,10.06,10.82,Not AAVSO,"""MaximDL 10.034,10.846""",0,,Z,,,,EQ PEG,,STD,,,,
2455890.240938,9.913,0.564,,V,LSA,B,93,90,5994rin, 	Nikon D3100 G channel ,0,,Z,9.295,8.965,,EQ PEG A,URSA,STD,,,,
2459381.861146,11.8396,0.0057,,B,WGR,,108,103,X26664R,,0,2.707,Z,17.7303,17.3677,,EQ PEG,AAVSO,STD,,,,
2459381.862292,11.7642,0.0031,,B,WGR,,108,103,X26664R,,0,2.670,Z,17.1163,16.7939,,EQ PEG,AAVSO,STD,,,,
2459381.863426,11.8736,0.0040,,B,WGR,,108,103,X26664R,,0,2.633,Z,17.3112,17.1945,,EQ PEG,AAVSO,STD,,,,
2459381.864572,11.7535,0.0030,,B,WGR,,108,103,X26664R,,0,2.597,Z,17.0650,16.7142,,EQ PEG,AAVSO,STD,,,,
2459381.865706,11.7794,0.0034,,B,WGR,,108,103,X26664R,,0,2.563,Z,17.1844,16.8118,,EQ PEG,AAVSO,STD,,,,
2459381.866852,11.9145,0.0058,,B,WGR,,108,103,X26664R,,0,2.529,Z,17.7203,17.7163,,EQ PEG,AAVSO,STD,,,,
2459381.868102,11.7830,0.0197,,B,WGR,,108,103,X26664R,,0,2.503,Z,18.3016,18.0818,,EQ PEG,AAVSO,STD,,,,
2459381.868553,11.4442,0.0109,,B,WGR,,108,103,X26664R,,0,2.490,Z,17.7828,17.0916,,EQ PEG,AAVSO,STD,,,,
2459381.869005,11.6040,0.0071,,B,WGR,,108,103,X26664R,,0,2.478,Z,17.2589,16.8498,,EQ PEG,AAVSO,STD,,,,
2459381.869456,11.6232,0.0064,,B,WGR,,108,103,X26664R,,0,2.465,Z,17.1463,16.6229,,EQ PEG,AAVSO,STD,,,,
2459381.869907,11.6585,0.0038,,B,WGR,,108,103,X26664R,,0,2.453,Z,16.5671,16.2164,,EQ PEG,AAVSO,STD,,,,
2459381.870272,11.8298,0.0077,,B,WGR,,108,103,X26664R,,0,2.445,Z,16.6730,16.5182,,EQ PEG,AAVSO,STD,,,,
2459381.87055,11.7887,0.0073,,B,WGR,,108,103,X26664R,,0,2.438,Z,16.6354,16.5540,,EQ PEG,AAVSO,STD,,,,
2459381.870828,11.8723,0.0076,,B,WGR,,108,103,X26664R,,0,2.430,Z,16.6291,16.6095,,EQ PEG,AAVSO,STD,,,,
2459381.871105,11.8440,0.0128,,B,WGR,,108,103,X26664R,,0,2.423,Z,17.2158,17.2209,,EQ PEG,AAVSO,STD,,,,
2459381.871395,11.6958,0.0221,,B,WGR,,108,103,X26664R,,0,2.415,Z,17.8867,17.6788,,EQ PEG,AAVSO,STD,,,,
2459381.871672,11.6371,0.0244,,B,WGR,,108,103,X26664R,,0,2.408,Z,18.0136,17.7791,,EQ PEG,AAVSO,STD,,,,
2459816.40744,11.764,0.006,,B,TFUA,,000-BNZ-811,000-BNZ-808,X28175LO,STANDARD MAG: C = 11.796  K = 13.077,1,1.340,Z,16.257,17.569,,EQ PEG,AAVSO,STD,1,,,
2459816.40793,10.184,0.004,,V,TFUA,,000-BNZ-811,000-BNZ-808,X28175LO,STANDARD MAG: C = 10.824  K = 11.968,1,1.337,Z,15.677,16.825,,EQ PEG,AAVSO,STD,1,,,
2459816.40815,9.021,0.005,,R,TFUA,,000-BNZ-811,000-BNZ-808,X28175LO,STANDARD MAG: C = 10.270  K = 11.193,1,1.336,Z,15.966,17.118,,EQ PEG,AAVSO,STD,1,,,
2459816.40829,7.498,0.008,,I,TFUA,,000-BNZ-811,000-BNZ-808,X28175LO,STANDARD MAG: C =  9.754  K = 10.474,1,1.336,Z,17.163,18.329,,EQ PEG,AAVSO,STD,1,,,
2459816.40876,11.761,0.006,,B,TFUA,,000-BNZ-811,000-BNZ-808,X28175LO,STANDARD MAG: C = 11.796  K = 13.077,1,1.333,Z,16.251,17.571,,EQ PEG,AAVSO,STD,2,,,
2459816.40927,10.175,0.004,,V,TFUA,,000-BNZ-811,000-BNZ-808,X28175LO,STANDARD MAG: C = 10.824  K = 11.968,1,1.331,Z,15.671,16.844,,EQ PEG,AAVSO,STD,2,,,
