JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2441541.769,8.9,,,Vis.,CR,,,,,,,,V,,,,V1216 SGR,,STD,,,,
2442329.672,9.6,,,Vis.,CR,,,,,,,,V,,,,V1216 SGR,,STD,,,,
2442984.72,10.5,,,Vis.,TMR,,,,,,,,V,,,,V1216 SGR,,STD,,,,
2457921.58200,10.414,0.004,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.58,Z,16.747,18.155,,V1216 SGR,VVS,STD,,,,
2457921.58238,10.413,0.004,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.58,Z,16.718,18.120,,V1216 SGR,VVS,STD,,,,
2457922.57914,10.423,0.004,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.59,Z,16.704,18.123,,V1216 SGR,VVS,STD,,,,
2457922.57953,10.432,0.004,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.58,Z,16.693,18.118,,V1216 SGR,VVS,STD,,,,
2457922.59073,10.429,0.004,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.47,Z,16.687,18.098,,V1216 SGR,VVS,STD,,,,
2457922.59493,10.425,0.004,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.43,Z,16.676,18.092,,V1216 SGR,VVS,STD,,,,
2457922.59911,10.429,0.004,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.40,Z,16.662,18.081,,V1216 SGR,VVS,STD,,,,
2457922.60354,10.419,0.004,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.37,Z,16.660,18.065,,V1216 SGR,VVS,STD,,,,
2457922.60795,10.425,0.004,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.34,Z,16.646,18.065,,V1216 SGR,VVS,STD,,,,
2457922.61240,10.422,0.003,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.31,Z,16.635,18.043,,V1216 SGR,VVS,STD,,,,
2457922.61684,10.417,0.003,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.28,Z,16.639,18.045,,V1216 SGR,VVS,STD,,,,
2457922.62122,10.423,0.003,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.26,Z,16.637,18.050,,V1216 SGR,VVS,STD,,,,
2457922.62560,10.436,0.003,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.23,Z,16.627,18.044,,V1216 SGR,VVS,STD,,,,
2457922.63000,10.434,0.003,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.21,Z,16.623,18.030,,V1216 SGR,VVS,STD,,,,
2457922.63439,10.432,0.003,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.19,Z,16.624,18.040,,V1216 SGR,VVS,STD,,,,
2457922.63875,10.429,0.003,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.17,Z,16.618,18.027,,V1216 SGR,VVS,STD,,,,
2457922.64315,10.425,0.003,,V,HMB,,UCAC4 331-182794,UCAC4 332-182284,X19283W,STANDARD MAG: C = 10.345  K = 11.778,0,1.15,Z,16.622,18.043,,V1216 SGR,VVS,STD,,,,
