JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458308.72300,8.381,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.36,Z,15.940,18.716,,NSV 14420,VVS,STD,,,,
2458308.72575,8.459,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.35,Z,15.929,18.716,,NSV 14420,VVS,STD,,,,
2458308.72849,8.476,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.33,Z,15.927,18.727,,NSV 14420,VVS,STD,,,,
2458308.73124,8.439,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.31,Z,15.917,18.711,,NSV 14420,VVS,STD,,,,
2458308.73400,8.391,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.30,Z,15.926,18.708,,NSV 14420,VVS,STD,,,,
2458308.73673,8.397,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.28,Z,15.922,18.716,,NSV 14420,VVS,STD,,,,
2458308.73947,8.384,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.27,Z,15.919,18.716,,NSV 14420,VVS,STD,,,,
2458308.74222,8.460,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.26,Z,15.915,18.693,,NSV 14420,VVS,STD,,,,
2458308.74496,8.414,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.24,Z,15.908,18.704,,NSV 14420,VVS,STD,,,,
2458308.74769,8.403,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.23,Z,15.907,18.722,,NSV 14420,VVS,STD,,,,
2458308.75042,8.410,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.22,Z,15.913,18.694,,NSV 14420,VVS,STD,,,,
2458308.75317,8.384,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.21,Z,15.913,18.709,,NSV 14420,VVS,STD,,,,
2458308.75592,8.433,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.20,Z,15.900,18.703,,NSV 14420,VVS,STD,,,,
2458308.75866,8.433,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.19,Z,15.896,18.691,,NSV 14420,VVS,STD,,,,
2458308.76142,8.384,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.18,Z,15.906,18.700,,NSV 14420,VVS,STD,,,,
2458308.76417,8.417,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.17,Z,15.897,18.702,,NSV 14420,VVS,STD,,,,
2458308.76690,8.405,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.16,Z,15.901,18.677,,NSV 14420,VVS,STD,,,,
2458308.76965,8.385,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.15,Z,15.900,18.720,,NSV 14420,VVS,STD,,,,
2458308.77241,8.395,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.14,Z,15.897,18.692,,NSV 14420,VVS,STD,,,,
2458308.77516,8.393,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.13,Z,15.900,18.680,,NSV 14420,VVS,STD,,,,
2458308.77789,8.401,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.12,Z,15.890,18.670,,NSV 14420,VVS,STD,,,,
2458308.78064,8.410,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.12,Z,15.882,18.709,,NSV 14420,VVS,STD,,,,
2458308.78340,8.394,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.11,Z,15.893,18.692,,NSV 14420,VVS,STD,,,,
2458308.78613,8.415,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.10,Z,15.886,18.680,,NSV 14420,VVS,STD,,,,
2458308.78887,8.407,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.10,Z,15.891,18.665,,NSV 14420,VVS,STD,,,,
2458308.79160,8.397,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.09,Z,15.887,18.671,,NSV 14420,VVS,STD,,,,
2458308.79437,8.395,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.08,Z,15.885,18.687,,NSV 14420,VVS,STD,,,,
2458308.79711,8.432,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.08,Z,15.879,18.666,,NSV 14420,VVS,STD,,,,
2458308.80858,8.435,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.06,Z,15.883,18.685,,NSV 14420,VVS,STD,,,,
2458308.81055,8.451,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.06,Z,15.878,18.679,,NSV 14420,VVS,STD,,,,
2458308.81252,8.475,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.05,Z,15.871,18.665,,NSV 14420,VVS,STD,,,,
2458308.81447,8.444,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.05,Z,15.877,18.657,,NSV 14420,VVS,STD,,,,
2458308.81643,8.401,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.05,Z,15.881,18.688,,NSV 14420,VVS,STD,,,,
2458308.81840,8.466,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.05,Z,15.880,18.647,,NSV 14420,VVS,STD,,,,
2458308.83240,8.450,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.878,18.667,,NSV 14420,VVS,STD,,,,
2458308.83461,8.475,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.869,18.665,,NSV 14420,VVS,STD,,,,
2458308.83671,8.449,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.871,18.654,,NSV 14420,VVS,STD,,,,
2458308.83891,8.464,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.882,18.671,,NSV 14420,VVS,STD,,,,
2458308.84109,8.469,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.871,18.663,,NSV 14420,VVS,STD,,,,
2458308.84329,8.414,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.882,18.664,,NSV 14420,VVS,STD,,,,
2458308.84550,8.448,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.871,18.651,,NSV 14420,VVS,STD,,,,
2458308.84770,8.490,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.877,18.647,,NSV 14420,VVS,STD,,,,
2458308.84990,8.445,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.866,18.660,,NSV 14420,VVS,STD,,,,
2458308.85214,8.443,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.878,18.661,,NSV 14420,VVS,STD,,,,
2458308.85433,8.523,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.876,18.661,,NSV 14420,VVS,STD,,,,
2458308.85652,8.512,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.871,18.646,,NSV 14420,VVS,STD,,,,
2458308.85873,8.433,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.873,18.676,,NSV 14420,VVS,STD,,,,
2458308.86093,8.479,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.866,18.667,,NSV 14420,VVS,STD,,,,
2458308.86313,8.483,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.870,18.653,,NSV 14420,VVS,STD,,,,
2458308.86422,8.357,0.004,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,16.691,19.475,,NSV 14420,VVS,STD,,,,
2458308.86661,8.433,0.037,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,17.013,19.854,,NSV 14420,VVS,STD,,,,
2458308.86960,8.448,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.874,18.678,,NSV 14420,VVS,STD,,,,
2458308.87260,8.451,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.878,18.658,,NSV 14420,VVS,STD,,,,
2458308.87557,8.543,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.877,18.660,,NSV 14420,VVS,STD,,,,
2458308.87857,8.446,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.03,Z,15.875,18.692,,NSV 14420,VVS,STD,,,,
2458308.88158,8.562,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.04,Z,15.869,18.663,,NSV 14420,VVS,STD,,,,
2458308.88458,8.552,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.04,Z,15.865,18.669,,NSV 14420,VVS,STD,,,,
2458308.88758,8.592,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.04,Z,15.868,18.650,,NSV 14420,VVS,STD,,,,
2458308.89056,8.589,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.05,Z,15.873,18.652,,NSV 14420,VVS,STD,,,,
2458308.89355,8.542,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.05,Z,15.869,18.674,,NSV 14420,VVS,STD,,,,
2458308.89655,8.495,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.05,Z,15.877,18.660,,NSV 14420,VVS,STD,,,,
2458308.89954,8.485,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.06,Z,15.874,18.663,,NSV 14420,VVS,STD,,,,
2458308.90255,8.404,0.003,,V,HMB,,UCAC4 270-198746,UCAC4 271-197750,,STANDARD MAG: C =  9.280  K = 11.041,0,1.06,Z,15.887,18.663,,NSV 14420,VVS,STD,,,,
