JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2445927.7,8.2,,,Vis.,KRS,,,,,,,,Z,,,,LW DRA,AAVSO,STD,,,MQE,
2454946.39493,10.951,0.027,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.536,Z,17.796,20.480,,LW DRA,,STD,,,,
2454946.39745,10.980,0.027,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.528,Z,17.776,20.451,,LW DRA,,STD,,,,
2454946.39999,10.982,0.028,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.520,Z,17.794,20.492,,LW DRA,,STD,,,,
2454946.40251,11.003,0.028,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.511,Z,17.787,20.473,,LW DRA,,STD,,,,
2454946.40505,11.007,0.029,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.503,Z,17.802,20.500,,LW DRA,,STD,,,,
2454946.40757,11.019,0.028,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.495,Z,17.761,20.448,,LW DRA,,STD,,,,
2454946.41010,10.977,0.028,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.487,Z,17.800,20.461,,LW DRA,,STD,,,,
2454946.41265,11.021,0.028,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.480,Z,17.774,20.455,,LW DRA,,STD,,,,
2454946.41517,11.016,0.028,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.472,Z,17.791,20.520,,LW DRA,,STD,,,,
2454946.41771,11.033,0.028,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.464,Z,17.775,20.505,,LW DRA,,STD,,,,
2454946.42024,11.026,0.028,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.456,Z,17.774,20.513,,LW DRA,,STD,,,,
2454946.42278,11.016,0.028,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.449,Z,17.771,20.459,,LW DRA,,STD,,,,
2454946.42532,11.049,0.028,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.441,Z,17.755,20.446,,LW DRA,,STD,,,,
2454946.42786,11.021,0.027,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.433,Z,17.750,20.446,,LW DRA,,STD,,,,
2454946.43038,11.016,0.027,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.426,Z,17.737,20.459,,LW DRA,,STD,,,,
2454946.43292,11.008,0.027,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.418,Z,17.744,20.455,,LW DRA,,STD,,,,
2454946.43546,10.995,0.026,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.411,Z,17.724,20.441,,LW DRA,,STD,,,,
2454946.43800,10.984,0.026,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.404,Z,17.733,20.430,,LW DRA,,STD,,,,
2454946.44052,10.961,0.025,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.397,Z,17.721,20.407,,LW DRA,,STD,,,,
2454946.44307,10.916,0.025,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.389,Z,17.737,20.424,,LW DRA,,STD,,,,
2454946.44560,10.883,0.024,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.382,Z,17.705,20.406,,LW DRA,,STD,,,,
2454946.44813,10.857,0.023,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.375,Z,17.705,20.455,,LW DRA,,STD,,,,
2454946.45066,10.823,0.023,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.369,Z,17.699,20.401,,LW DRA,,STD,,,,
2454946.45319,10.794,0.022,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.362,Z,17.697,20.392,,LW DRA,,STD,,,,
2454946.45573,10.774,0.021,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.355,Z,17.686,20.386,,LW DRA,,STD,,,,
2454946.45825,10.744,0.021,,V,VWS,,HD179525,TYC4431-01469-1,1180BDY,SCHULLER V FILTER,0,1.348,Z,17.679,20.378,,LW DRA,,STD,,,,
