JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2439674.6,10.6,,,Vis.,BMA,,,,,,,,V,,,,V645 CEN,,STD,,,,
2439686.6,10.4,,,Vis.,BMA,,,,,,,,V,,,,V645 CEN,,STD,,,,
2443025.911,13.3,,,Vis.,CR,,,,,,,,V,,,,V645 CEN,,STD,,,,
2443960.042,11.4,,,Vis.,CR,,,,,,,,V,,,,V645 CEN,,STD,,,,
2446912.008,11.5,,,Vis.,CR,,,,,,,,V,,,,V645 CEN,,STD,,,,
2453042.6576,11.5,,,Vis.,AAX,MT,110,118,-,,,,V,,,,V645 CEN,,STD,,,,
2453064.6514,<11.8,,,Vis.,AAX,T,118,118,-,TYCHO,,,V,,,,V645 CEN,,STD,,,,
2453213.4007,<12.4,,,Vis.,AAX,MT,124,118,-,,,,Z,,,,V645 CEN,,STD,,,,
2453518.0,13.01,0.03,,B,DSI,K,8816,,AUTOSTAR,VARIABLE V645 CEN COMP HD 140850 ERR: 0.03,,,Z,,,,V645 CEN,,STD,,,,
2453569.0,12.99,0.03,,B,DSI,K,8816,,AUTOSTAR,VARIABLE V645 CEN COMP HD140850 ERR: 0.03,,,Z,,,,V645 CEN,,STD,,,,
2453827.0521,12.95,0.02,,B,DSI,K,7835,,AUTOSTAR,VARIABLE V645 CEN COMP SA 101 333 ERR: 0.02,,,Z,,,,V645 CEN,,STD,,,,
2453833.1215,12.98,0.02,,B,DSI,K,8309,,AUTOSTAR,VARIABLE V645 CEN COMP SA 105 405 ERR: 0.02,,,Z,,,,V645 CEN,,STD,,,,
2453841.025,12.88,0.025,,B,DSI,K,8309,,AUTOSTAR,VARIABLE V645 CEN COMP SA105 405 ERR: 0.025,,,Z,,,,V645 CEN,,STD,,,,
2453842.0576,12.94,0.02,,B,DSI,K,8309,,AUTOSTAR,VARIABLE V645 CEN COMP SA 105 405 ERR: 0.02,,,Z,,,,V645 CEN,,STD,,,,
2453844.041,12.95,0.02,,B,DSI,K,8309,,AUTOSTAR,VARIABLE V645 CEN COMP SA 105 405 ERR: 0.02,,,Z,,,,V645 CEN,,STD,,,,
2453846.1028,12.98,0.02,,B,DSI,K,8309,,AUTOSTAR,VARIABLE V645 CEN COMP SA 105 405 ERR: 0.02,,,Z,,,,V645 CEN,,STD,,,,
2454155.1222,7.38,,,I,DSI,K,888,,AUTOSTAR,COMP E532 Err: 0.02 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454155.1222,9.39,,,R,DSI,K,888,,AUTOSTAR,COMP E532 Err: 0.04 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454155.1222,11.03,,,V,DSI,K,888,,AUTOSTAR,COMP E532 Err: 0.02 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454155.1222,12.98,,,B,DSI,K,888,,AUTOSTAR,COMP E532 Err: 0.05 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454163.1049,7.38,,,I,DSI,K,888,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454163.1049,9.43,,,R,DSI,K,888,,AUTOSTAR,COMP E637 Err: 0.03 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454163.1049,11.02,,,V,DSI,K,888,,AUTOSTAR,COMP E637 Err: 0.03 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454163.1049,12.93,,,B,DSI,K,888,,AUTOSTAR,COMP E637 Err: 0.03 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454175.0958,7.39,,,I,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.03 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454175.0958,9.39,,,R,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.03 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454175.0958,11.05,,,V,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454175.0958,12.96,,,B,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,,,Z,,,,V645 CEN,,STD,,,,
2454183.1625,7.40,0.03,,I,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.03 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454183.1625,9.39,0.03,,R,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.03 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454183.1625,11.04,0.04,,V,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.04 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454183.1625,12.96,0.04,,B,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.04 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454191.2028,7.39,0.02,,I,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454191.2028,9.42,0.02,,R,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454191.2028,11.07,0.02,,V,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454191.2028,12.97,0.02,,B,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454200.0694,7.41,0.02,,I,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454200.0694,9.43,0.03,,R,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.03 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454200.0694,11.09,0.02,,V,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454200.0694,13.01,0.02,,B,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454201.0701,7.41,0.02,,I,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454201.0701,9.44,0.02,,R,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454201.0701,11.09,0.02,,V,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454201.0701,13.02,0.02,,B,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454223.0826,7.42,0.02,,I,DSI,K,924,,,COMP E532 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454223.0826,9.46,0.02,,R,DSI,K,924,,,COMP E532 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454223.0826,11.10,0.02,,V,DSI,K,924,,,COMP E532 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454223.0826,13.04,0.02,,B,DSI,K,924,,,COMP E532 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454237.0681,7.41,0.02,,I,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454237.0681,11.04,0.02,,V,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454237.0681,12.92,0.02,,B,DSI,K,882,,AUTOSTAR,COMP E637 Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
2454238.9660,7.41,0.02,,I,DSI,K,882,,AUTOSTAR,CAMERA ST402ME Err: 0.02 TRANSFORM: YES,1,,Z,,,,V645 CEN,,STD,,,,
