JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2454498.263,12.0,,,Vis.,SDAV,,,,PRE 2009 SPA CHART,Meade LX200 123053048,,,Z,,,,NSV 2294,AAVSO,STD,,,,BAAVSS
2457708.97662,5.338,0.033,,B,SRIC,,ENSEMBLE,106,X16950LT,BSM_NM,1,1.659,Z,,11.241,,NSV 2294,AAVSO,STD,,,,
2457708.97890,5.230,0.014,,V,SRIC,,ENSEMBLE,106,X16950LT,BSM_NM,1,1.675,Z,,10.569,,NSV 2294,AAVSO,STD,,,,
2460544.97045,8.803,0.011,,B,MEMC,,106,100A,X37711CU,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.69580555555556|CMAGINS=-7.604|CRA=82.5055416666667|CREFERR=0.047|CREFMAG=11.025|KDEC=-5.363907|KMAGINS=-8.232|KMAGSTD=10.397|KRA=82.192021|KREFERR=0.031|KREFMAG=10.397|VMAGINS=-9.826,0,1.818,Z,-7.604,-8.232,,NSV 2294,CASP,STD,,,,
2460544.97737,7.719,0.013,,V,MEMC,,102,100A,240823,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.70031|CMAGINS=-8.657|CRA=82.243642|CREFERR=0.015|CREFMAG=10.233|KDEC=-5.363907|KMAGINS=-8.895|KMAGSTD=9.994|KRA=82.192021|KREFERR=0.088|KREFMAG=9.994|VMAGINS=-11.171,0,1.741,Z,-8.657,-8.895,,NSV 2294,CASP,STD,,,,
2460544.98218,7.546,0.013,,R,MEMC,,101A_2,100A,240823,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.684831|CMAGINS=-8.722|CRA=83.825111|CREFERR=0.065|CREFMAG=9.862|KDEC=-5.363611|KMAGINS=-8.980|KMAGSTD=9.604|KRA=82.192709|KREFERR=0.173|KREFMAG=9.604|VMAGINS=-11.038,0,1.689,Z,-8.722,-8.980,,NSV 2294,CASP,STD,,,,
2460544.98703,6.206,0.005,,I,MEMC,,102A,100A,240823,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.272214|CMAGINS=-8.845|CRA=82.94049|CREFERR=0.139|CREFMAG=8.216|KDEC=-5.363611|KMAGINS=-7.823|KMAGSTD=9.238|KRA=82.192709|KREFERR=0.221|KREFMAG=9.238|VMAGINS=-10.855,0,1.641,Z,-8.845,-7.823,,NSV 2294,CASP,STD,,,,
2460548.97164,9.715,0.017,,B,MEMC,,99A_1,100A,240828,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.240612|CMAGINS=-7.955|CRA=82.207593|CREFERR=0.024|CREFMAG=10.433|KDEC=-5.363611|KMAGINS=-7.991|KMAGSTD=10.397|KRA=82.192709|KREFERR=0.031|KREFMAG=10.397|VMAGINS=-8.673,0,1.678,Z,-7.955,-7.991,,NSV 2294,CASP,STD,,,,
2460548.97855,8.266,0.013,,V,MEMC,,117_1,100A,240828,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.698754|CMAGINS=-6.956|CRA=84.026732|CREFERR=0.036|CREFMAG=11.706|KDEC=-5.363611|KMAGINS=-8.669|KMAGSTD=9.994|KRA=82.192709|KREFERR=0.088|KREFMAG=9.994|VMAGINS=-10.396,0,1.618,Z,-6.956,-8.669,,NSV 2294,CASP,STD,,,,
2460548.98332,8.579,0.019,,R,MEMC,,99A_1,100A,240828,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.240612|CMAGINS=-8.528|CRA=82.207593|CREFERR=0.188|CREFMAG=9.439|KDEC=-5.363611|KMAGINS=-8.363|KMAGSTD=9.604|KRA=82.192709|KREFERR=0.173|KREFMAG=9.604|VMAGINS=-9.388,0,1.577,Z,-8.528,-8.363,,NSV 2294,CASP,STD,,,,
2460548.98813,5.989,0.006,,I,MEMC,,102,100A,240828,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.700223|CMAGINS=-7.092|CRA=82.243714|CREFERR=0.079|CREFMAG=9.477|KDEC=-5.363611|KMAGINS=-7.331|KMAGSTD=9.238|KRA=82.192709|KREFERR=0.221|KREFMAG=9.238|VMAGINS=-10.581,0,1.539,Z,-7.092,-7.331,,NSV 2294,CASP,STD,,,,
2460552.97274,8.265,0.008,,B,MEMC,,101A_2,100A,240831,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.684831|CMAGINS=-8.347|CRA=83.825111|CREFERR=0.039|CREFMAG=10.354|KDEC=-5.363611|KMAGINS=-8.304|KMAGSTD=10.397|KRA=82.192709|KREFERR=0.031|KREFMAG=10.397|VMAGINS=-10.436,0,1.569,Z,-8.347,-8.304,,NSV 2294,CASP,STD,,,,
2460552.97964,7.601,0.011,,V,MEMC,,101A,100A,240831,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.156008|CMAGINS=-8.814|CRA=83.221247|CREFERR=0.083|CREFMAG=10.065|KDEC=-5.363611|KMAGINS=-8.885|KMAGSTD=9.994|KRA=82.192709|KREFERR=0.088|KREFMAG=9.994|VMAGINS=-11.278,0,1.521,Z,-8.814,-8.885,,NSV 2294,CASP,STD,,,,
2460552.98441,7.474,0.011,,R,MEMC,,94A_2,100A,240831,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.061341|CMAGINS=-9.353|CRA=84.046671|CREFERR=0.148|CREFMAG=9.132|KDEC=-5.363611|KMAGINS=-8.881|KMAGSTD=9.604|KRA=82.192709|KREFERR=0.173|KREFMAG=9.604|VMAGINS=-11.011,0,1.488,Z,-9.353,-8.881,,NSV 2294,CASP,STD,,,,
2460552.98920,5.968,0.003,,I,MEMC,,75A_2,100A,240831,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.254427|CMAGINS=-9.484|CRA=82.721148|CREFERR=0.025|CREFMAG=7.363|KDEC=-5.363611|KMAGINS=-7.609|KMAGSTD=9.238|KRA=82.192709|KREFERR=0.221|KREFMAG=9.238|VMAGINS=-10.879,0,1.458,Z,-9.484,-7.609,,NSV 2294,CASP,STD,,,,
2460564.97770,9.450,0.015,,B,MEMC,,101A_1,100A,240912,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.647226|CMAGINS=-8.266|CRA=83.480753|CREFERR=0.021|CREFMAG=10.464|KDEC=-5.363611|KMAGINS=-8.333|KMAGSTD=10.397|KRA=82.192709|KREFERR=0.031|KREFMAG=10.397|VMAGINS=-9.280,0,1.349,Z,-8.266,-8.333,,NSV 2294,CASP,STD,,,,
2460564.98461,7.567,0.011,,V,MEMC,,102,100A,240912,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.700223|CMAGINS=-8.751|CRA=82.243714|CREFERR=0.015|CREFMAG=10.233|KDEC=-5.363611|KMAGINS=-8.990|KMAGSTD=9.994|KRA=82.192709|KREFERR=0.088|KREFMAG=9.994|VMAGINS=-11.417,0,1.326,Z,-8.751,-8.990,,NSV 2294,CASP,STD,,,,
2460564.98939,7.092,0.012,,R,MEMC,,94,100A,240912,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.061342|CMAGINS=-9.547|CRA=84.04667|CREFERR=0.036|CREFMAG=9.075|KDEC=-5.363611|KMAGINS=-9.019|KMAGSTD=9.604|KRA=82.192709|KREFERR=0.173|KREFMAG=9.604|VMAGINS=-11.530,0,1.310,Z,-9.547,-9.019,,NSV 2294,CASP,STD,,,,
2460564.99419,6.081,0.005,,I,MEMC,,102,100A,240912,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.700223|CMAGINS=-7.548|CRA=82.243714|CREFERR=0.079|CREFMAG=9.477|KDEC=-5.363611|KMAGINS=-7.787|KMAGSTD=9.238|KRA=82.192709|KREFERR=0.221|KREFMAG=9.238|VMAGINS=-10.944,0,1.295,Z,-7.548,-7.787,,NSV 2294,CASP,STD,,,,
2460566.98006,9.119,0.013,,B,MEMC,,101A_2,100A,240914,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.684831|CMAGINS=-8.374|CRA=83.825111|CREFERR=0.039|CREFMAG=10.354|KDEC=-5.363611|KMAGINS=-8.331|KMAGSTD=10.397|KRA=82.192709|KREFERR=0.031|KREFMAG=10.397|VMAGINS=-9.609,0,1.320,Z,-8.374,-8.331,,NSV 2294,CASP,STD,,,,
2460566.98699,7.867,0.015,,V,MEMC,,112,100A,240914,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.336962|CMAGINS=-7.756|CRA=83.931381|CREFERR=0.016|CREFMAG=11.197|KDEC=-5.363611|KMAGINS=-8.959|KMAGSTD=9.994|KRA=82.192709|KREFERR=0.088|KREFMAG=9.994|VMAGINS=-11.086,0,1.300,Z,-7.756,-8.959,,NSV 2294,CASP,STD,,,,
2460566.99181,7.628,0.011,,R,MEMC,,93A,100A,240914,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.714496|CMAGINS=-9.276|CRA=83.640238|CREFERR=0.088|CREFMAG=9.232|KDEC=-5.363611|KMAGINS=-8.904|KMAGSTD=9.604|KRA=82.192709|KREFERR=0.173|KREFMAG=9.604|VMAGINS=-10.880,0,1.287,Z,-9.276,-8.904,,NSV 2294,CASP,STD,,,,
2460566.99662,6.230,0.005,,I,MEMC,,102A_1,100A,240914,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.105947|CMAGINS=-8.266|CRA=82.398204|CREFERR=0.200|CREFMAG=8.764|KDEC=-5.363611|KMAGINS=-7.792|KMAGSTD=9.238|KRA=82.192709|KREFERR=0.221|KREFMAG=9.238|VMAGINS=-10.800,0,1.275,Z,-8.266,-7.792,,NSV 2294,CASP,STD,,,,
2460572.98205,8.477,0.009,,B,MEMC,,98A_2,100A,240923,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-5.552177|CMAGINS=-8.305|CRA=83.881359|CREFERR=0.036|CREFMAG=10.279|KDEC=-5.363611|KMAGINS=-8.187|KMAGSTD=10.397|KRA=82.192709|KREFERR=0.031|KREFMAG=10.397|VMAGINS=-10.108,0,1.269,Z,-8.305,-8.187,,NSV 2294,CASP,STD,,,,
2460572.98898,7.733,0.013,,V,MEMC,,99A,100A,240923,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.343814|CMAGINS=-9.129|CRA=83.730775|CREFERR=0.104|CREFMAG=9.870|KDEC=-5.363611|KMAGINS=-9.005|KMAGSTD=9.994|KRA=82.192709|KREFERR=0.088|KREFMAG=9.994|VMAGINS=-11.265,0,1.257,Z,-9.129,-9.005,,NSV 2294,CASP,STD,,,,
2460572.99377,6.605,0.013,,R,MEMC,,73A,100A,240923,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.391715|CMAGINS=-10.256|CRA=83.680569|CREFERR=0.206|CREFMAG=7.342|KDEC=-5.363611|KMAGINS=-8.994|KMAGSTD=8.604|KRA=82.192709|KREFERR=0.173|KREFMAG=9.604|VMAGINS=-10.994,0,1.249,Z,-10.256,-8.994,,NSV 2294,CASP,STD,,,,
2460572.99860,6.182,0.005,,I,MEMC,,98A_1,100A,240923,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.949592|CMAGINS=-8.702|CRA=81.788192|CREFERR=0.310|CREFMAG=8.362|KDEC=-5.363611|KMAGINS=-7.826|KMAGSTD=9.238|KRA=82.192709|KREFERR=0.221|KREFMAG=9.238|VMAGINS=-10.881,0,1.242,Z,-8.702,-7.826,,NSV 2294,CASP,STD,,,,
2460579.98413,8.514,0.010,,B,MEMC,,90_1,100A,240930,|OBSERVAT=BSM_TX|PROJNAME=AAVSO_P542_MEMC_AUTO|CDEC=-4.279652|CMAGINS=-8.976|CRA=81.837727|CREFERR=0.052|CREFMAG=9.723|KDEC=-5.363611|KMAGINS=-8.302|KMAGSTD=10.397|KRA=82.192709|KREFERR=0.031|KREFMAG=10.397|VMAGINS=-10.185,0,1.236,Z,-8.976,-8.302,,NSV 2294,CASP,STD,,,,
