JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2454728.31774,10.394,0.010,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.23,Z,11.251,9.975,,TYC 3637-01152-1,,STD,,,,
2454728.31868,10.378,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.23,Z,11.251,9.953,,TYC 3637-01152-1,,STD,,,,
2454728.31962,10.385,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.23,Z,11.251,9.955,,TYC 3637-01152-1,,STD,,,,
2454728.32056,10.391,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.22,Z,11.251,9.957,,TYC 3637-01152-1,,STD,,,,
2454728.32148,10.402,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.22,Z,11.251,9.967,,TYC 3637-01152-1,,STD,,,,
2454728.32241,10.409,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.22,Z,11.251,9.956,,TYC 3637-01152-1,,STD,,,,
2454728.32333,10.393,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.21,Z,11.251,9.945,,TYC 3637-01152-1,,STD,,,,
2454728.32427,10.405,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.21,Z,11.251,9.950,,TYC 3637-01152-1,,STD,,,,
2454728.32522,10.406,0.013,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.21,Z,11.251,9.940,,TYC 3637-01152-1,,STD,,,,
2454728.32686,10.414,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.20,Z,11.251,9.942,,TYC 3637-01152-1,,STD,,,,
2454728.32781,10.422,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.20,Z,11.251,9.946,,TYC 3637-01152-1,,STD,,,,
2454728.32874,10.427,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.20,Z,11.251,9.941,,TYC 3637-01152-1,,STD,,,,
2454728.32966,10.446,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.19,Z,11.251,9.965,,TYC 3637-01152-1,,STD,,,,
2454728.33060,10.457,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.19,Z,11.251,9.957,,TYC 3637-01152-1,,STD,,,,
2454728.33153,10.466,0.010,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.19,Z,11.251,9.960,,TYC 3637-01152-1,,STD,,,,
2454728.33247,10.461,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.19,Z,11.251,9.956,,TYC 3637-01152-1,,STD,,,,
2454728.33339,10.467,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.18,Z,11.251,9.967,,TYC 3637-01152-1,,STD,,,,
2454728.33433,10.458,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.18,Z,11.251,9.970,,TYC 3637-01152-1,,STD,,,,
2454728.33525,10.460,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.18,Z,11.251,9.971,,TYC 3637-01152-1,,STD,,,,
2454728.33618,10.458,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.18,Z,11.251,9.955,,TYC 3637-01152-1,,STD,,,,
2454728.33712,10.458,0.010,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.17,Z,11.251,9.961,,TYC 3637-01152-1,,STD,,,,
2454728.33804,10.485,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.17,Z,11.251,9.967,,TYC 3637-01152-1,,STD,,,,
2454728.33897,10.466,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.17,Z,11.251,9.964,,TYC 3637-01152-1,,STD,,,,
2454728.33990,10.473,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.17,Z,11.251,9.969,,TYC 3637-01152-1,,STD,,,,
2454728.34083,10.470,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.16,Z,11.251,9.960,,TYC 3637-01152-1,,STD,,,,
2454728.34176,10.481,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.16,Z,11.251,9.956,,TYC 3637-01152-1,,STD,,,,
2454728.34270,10.472,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.16,Z,11.251,9.939,,TYC 3637-01152-1,,STD,,,,
2454728.34362,10.477,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.16,Z,11.251,9.944,,TYC 3637-01152-1,,STD,,,,
2454728.34456,10.486,0.010,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.15,Z,11.251,9.963,,TYC 3637-01152-1,,STD,,,,
2454728.34549,10.494,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.15,Z,11.251,9.962,,TYC 3637-01152-1,,STD,,,,
2454728.34642,10.486,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.15,Z,11.251,9.959,,TYC 3637-01152-1,,STD,,,,
2454728.34735,10.475,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.15,Z,11.251,9.960,,TYC 3637-01152-1,,STD,,,,
2454728.34829,10.486,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.14,Z,11.251,9.960,,TYC 3637-01152-1,,STD,,,,
2454728.34922,10.486,0.010,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.14,Z,11.251,9.941,,TYC 3637-01152-1,,STD,,,,
2454728.35016,10.475,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.14,Z,11.251,9.943,,TYC 3637-01152-1,,STD,,,,
2454728.35109,10.473,0.010,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.14,Z,11.251,9.946,,TYC 3637-01152-1,,STD,,,,
2454728.35203,10.486,0.010,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.13,Z,11.251,9.947,,TYC 3637-01152-1,,STD,,,,
2454728.35299,10.465,0.010,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.13,Z,11.251,9.940,,TYC 3637-01152-1,,STD,,,,
2454728.35392,10.491,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.13,Z,11.251,9.956,,TYC 3637-01152-1,,STD,,,,
2454728.35493,10.474,0.010,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.13,Z,11.251,9.949,,TYC 3637-01152-1,,STD,,,,
2454728.35587,10.464,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.13,Z,11.251,9.941,,TYC 3637-01152-1,,STD,,,,
2454728.35679,10.481,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.12,Z,11.251,9.955,,TYC 3637-01152-1,,STD,,,,
2454728.35773,10.455,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.12,Z,11.251,9.938,,TYC 3637-01152-1,,STD,,,,
2454728.35866,10.465,0.011,,V,HMB,,GSC 3637-1247,GSC 3637-1310,GSC,,0,1.12,Z,11.251,9.952,,TYC 3637-01152-1,,STD,,,,
