JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455486.32267,11.743,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.380,Z,10.596,10.941,,V0376 CAM,VVS,STD,,,,
2455486.32411,11.760,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.378,Z,10.600,10.939,,V0376 CAM,VVS,STD,,,,
2455486.32553,11.773,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.376,Z,10.593,10.941,,V0376 CAM,VVS,STD,,,,
2455486.32697,11.778,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.374,Z,10.592,10.932,,V0376 CAM,VVS,STD,,,,
2455486.32840,11.789,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.372,Z,10.598,10.935,,V0376 CAM,VVS,STD,,,,
2455486.32983,11.795,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.370,Z,10.593,10.922,,V0376 CAM,VVS,STD,,,,
2455486.33126,11.820,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.369,Z,10.586,10.925,,V0376 CAM,VVS,STD,,,,
2455486.33270,11.819,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.367,Z,10.592,10.915,,V0376 CAM,VVS,STD,,,,
2455486.33413,11.830,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.365,Z,10.589,10.917,,V0376 CAM,VVS,STD,,,,
2455486.33557,11.835,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.363,Z,10.587,10.918,,V0376 CAM,VVS,STD,,,,
2455486.33699,11.848,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.361,Z,10.587,10.909,,V0376 CAM,VVS,STD,,,,
2455486.33843,11.855,0.005,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.359,Z,10.581,10.914,,V0376 CAM,VVS,STD,,,,
2455486.33986,11.864,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.357,Z,10.585,10.912,,V0376 CAM,VVS,STD,,,,
2455486.34130,11.867,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.355,Z,10.584,10.910,,V0376 CAM,VVS,STD,,,,
2455486.34272,11.871,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.354,Z,10.588,10.913,,V0376 CAM,VVS,STD,,,,
2455486.34416,11.883,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.352,Z,10.588,10.912,,V0376 CAM,VVS,STD,,,,
2455486.34559,11.884,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.350,Z,10.590,10.918,,V0376 CAM,VVS,STD,,,,
2455486.34703,11.890,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.348,Z,10.590,10.922,,V0376 CAM,VVS,STD,,,,
2455486.34845,11.892,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.346,Z,10.588,10.922,,V0376 CAM,VVS,STD,,,,
2455486.34988,11.903,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.344,Z,10.585,10.918,,V0376 CAM,VVS,STD,,,,
2455486.35132,11.901,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.342,Z,10.584,10.923,,V0376 CAM,VVS,STD,,,,
2455486.35274,11.900,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.341,Z,10.584,10.924,,V0376 CAM,VVS,STD,,,,
2455486.35418,11.912,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.339,Z,10.580,10.923,,V0376 CAM,VVS,STD,,,,
2455486.35561,11.911,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.337,Z,10.577,10.918,,V0376 CAM,VVS,STD,,,,
2455486.35705,11.926,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.335,Z,10.575,10.924,,V0376 CAM,VVS,STD,,,,
2455486.35847,11.917,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.333,Z,10.578,10.919,,V0376 CAM,VVS,STD,,,,
2455486.35991,11.929,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.331,Z,10.572,10.927,,V0376 CAM,VVS,STD,,,,
2455486.36134,11.949,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.329,Z,10.575,10.919,,V0376 CAM,VVS,STD,,,,
2455486.36278,11.936,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.328,Z,10.579,10.924,,V0376 CAM,VVS,STD,,,,
2455486.36421,11.947,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.326,Z,10.578,10.925,,V0376 CAM,VVS,STD,,,,
2455486.36564,11.961,0.006,,V,VWS,,GSC 4519 1077,GSC 4519 0312,4357GQ,SCHULER V FILTER(N/A->V),0,1.324,Z,10.572,10.920,,V0376 CAM,VVS,STD,,,,
