JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2454640.7222,11.4,,,Vis.,KRS,,11.2,11.5,B,,,,Z,,,,V2306 OPH,,STD,,,,
2460140.99727,9.771,0.020,,V,YBA,,ENSEMBLE,124A,230717,|OBSERVAT=PERTH OBSERVATORY|KMAGINS=-7.942|KMAGSTD=12.727|KREFERR=0.081|KREFMAG=12.432|VMAGINS=-10.898,0,1.115,Z,,12.727,,V2306 OPH,AAVSO,STD,,,,
2460147.97308,10.059,0.003,,V,YBA,,ENSEMBLE,124A,230724,|OBSERVAT=PERTH OBSERVATORY|KMAGINS=-8.700|KMAGSTD=12.506|KREFERR=0.081|KREFMAG=12.432|VMAGINS=-11.147,0,1.127,Z,,12.506,,V2306 OPH,AAVSO,STD,,,,
2460161.10341,10.184,0.003,,V,YBA,,125A,124A,230804,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-8.646|CREFERR=0.076|CREFMAG=12.509|KMAGINS=-8.709|KMAGSTD=12.445|KREFERR=0.081|KREFMAG=12.432|VMAGINS=-10.971,0,1.309,Z,-8.646,-8.709,,V2306 OPH,AAVSO,STD,,,,
2460174.04669,10.178,0.003,,V,YBA,,125A,124A,230818,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-8.652|CREFERR=0.076|CREFMAG=12.509|KMAGINS=-8.702|KMAGSTD=12.459|KREFERR=0.081|KREFMAG=12.432|VMAGINS=-10.983,0,1.209,Z,-8.652,-8.702,,V2306 OPH,AAVSO,STD,,,,
2460179.00914,10.196,0.004,,V,YBA,,125A,124A,230823,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-8.050|CREFERR=0.076|CREFMAG=12.509|KMAGINS=-8.079|KMAGSTD=12.479|KREFERR=0.081|KREFMAG=12.432|VMAGINS=-10.363,0,1.133,Z,-8.050,-8.079,,V2306 OPH,AAVSO,STD,,,,
2460194.01652,10.102,0.003,,V,YBA,,125A,124A,230908,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-8.561|CREFERR=0.076|CREFMAG=12.509|KMAGINS=-8.586|KMAGSTD=12.484|KREFERR=0.081|KREFMAG=12.432|VMAGINS=-10.968,0,1.327,Z,-8.561,-8.586,,V2306 OPH,AAVSO,STD,,,,
2460205.00666,10.142,0.004,,V,YBA,,125A,124A,230921,|OBSERVAT=PERTH OBSERVATORY|CMAGINS=-8.178|CREFERR=0.076|CREFMAG=12.509|KMAGINS=-8.085|KMAGSTD=12.602|KREFERR=0.081|KREFMAG=12.432|VMAGINS=-10.545,0,1.467,Z,-8.178,-8.085,,V2306 OPH,AAVSO,STD,,,,
2460356.28051,10.014,0.014,,V,YBA,,ENSEMBLE,124A,240218,|OBSERVAT=PERTH OBSERVATORY|KDEC=-12.57857|KMAGINS=-6.859|KMAGSTD=12.350|KRA=247.50225|KREFERR=0.081|KREFMAG=12.432|VMAGINS=-9.194,0,2.158,Z,,12.350,,V2306 OPH,AAVSO,STD,,,,
