JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2449485.538,4.2,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2449530.495,4.4,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2449531.524,4.4,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2449535.495,4.4,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2449545.496,4.4,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2449569.531,4.2,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2449570.512,4.2,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2449579.509,4.1,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2449582.504,4.2,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2449590.479,4.3,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2449591.506,4.2,,,Vis.,DZS,,,,,,,,V,,,,ZET OPH,,STD,,,,
2452809.5201,2.6,,,Vis.,RJG,L,26,34,SA1986,,,,V,,,,ZET OPH,,STD,,,,
2452809.5208,2.6,,,Vis.,CAI,L,26,34,SA1986,,,,V,,,,ZET OPH,,STD,,,,
2452827.4313,3.0,,,Vis.,RJG,,26,36,SA1986,,,,V,,,,ZET OPH,,STD,,,,
2452827.434,3.0,,,Vis.,CAI,,26,36,SA1986,,,,V,,,,ZET OPH,,STD,,,,
2452842.4694,2.7,,,Vis.,RJG,,26,26,SA1986 &,,,,V,,,,ZET OPH,,STD,,,,
2452842.4701,2.7,,,Vis.,CAI,,26,26,SA1986 &,,,,V,,,,ZET OPH,,STD,,,,
2452907.309,2.6,,,Vis.,RJG,L,26,28,SA1986,,,,Z,,,,ZET OPH,,STD,,,,
2452907.3097,2.6,,,Vis.,CAI,L,26,28,SA1986,,,,Z,,,,ZET OPH,,STD,,,,
2453156.4771,2.6,,,Vis.,RJG,,26,28,SA1986,,,,Z,,,,ZET OPH,,STD,,,,
2453156.4792,2.6,,,Vis.,CAI,,26,28,SA1986,,,,Z,,,,ZET OPH,,STD,,,,
2453170.4708,2.6,,,Vis.,RJG,,26,28,SA1986,,,,Z,,,,ZET OPH,,STD,,,,
2453170.4736,2.6,,,Vis.,CAI,,26,28,SA1986,,,,Z,,,,ZET OPH,,STD,,,,
2453198.5118,2.8,,,Vis.,RJG,,26,28,PA2000,,,,Z,,,,ZET OPH,,STD,,,,
2453198.5139,2.7,,,Vis.,CAI,,26,28,PA2000,,,,Z,,,,ZET OPH,,STD,,,,
2453223.4083,2.5,,,Vis.,RJG,,10,28,PA2000,,,,Z,,,,ZET OPH,,STD,,,,
2453223.4104,2.4,,,Vis.,CAI,,10,28,PA2000,,,,Z,,,,ZET OPH,,STD,,,,
2453257.3424,2.6,,,Vis.,RJG,,26,26,SA1986,,,,Z,,,,ZET OPH,,STD,,,,
2453257.3438,2.6,,,Vis.,CAI,,26,26,SA1986,,,,Z,,,,ZET OPH,,STD,,,,
2453495.5243,2.6,,,Vis.,RJG,,24,28,SA1986,,,,Z,,,,ZET OPH,,STD,,,,
2453495.5257,2.6,,,Vis.,CAI,,24,28,SA1986,,,,Z,,,,ZET OPH,,STD,,,,
2453525.4521,2.6,,,Vis.,RJG,,23,28,SA1994,,,,Z,,,,ZET OPH,,STD,,,,
2453525.4535,2.6,,,Vis.,CAI,,23,28,SA1994,,,,Z,,,,ZET OPH,,STD,,,,
2453555.4632,2.7,,,Vis.,RJG,,23,28,SA1994,,,,Z,,,,ZET OPH,,STD,,,,
2453555.4653,2.6,,,Vis.,CAI,,23,28,SA1994,,,,Z,,,,ZET OPH,,STD,,,,
2453584.3819,2.6,,,Vis.,RJG,,23,28,SA1994,,,,Z,,,,ZET OPH,,STD,,,,
2453584.3833,2.6,,,Vis.,CAI,,23,28,SA1994,,,,Z,,,,ZET OPH,,STD,,,,
2453615.3389,2.5,,,Vis.,RJG,,,,,,,,Z,,,,ZET OPH,,STD,,,,
