JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2427894.7,13.5,,,Vis.,BR,,,,,,,,V,,,,S LMI,,STD,,,,
2427931.6,<10.9,,,Vis.,W,,,,,,,,V,,,,S LMI,,STD,,,,
2427943.7,12.7,,,Vis.,FA,,,,,,,,V,,,,S LMI,,STD,,,,
2427944.6,13.0,,,Vis.,WA,,,,,,,,V,,,,S LMI,,STD,,,,
2427944.6,13.0,,,Vis.,WO,,,,,,,,V,,,,S LMI,,STD,,,,
2427946.6,12.5,,,Vis.,PRF,,,,,,,,V,,,,S LMI,,STD,,,,
2427947.6,12.9,,,Vis.,B,,,,,,,,V,,,,S LMI,,STD,,,,
2427948.7,12.5,,,Vis.,HIA,,,,,,,,V,,,,S LMI,,STD,,,,
2427949.6,12.5,,,Vis.,H,,,,,,,,V,,,,S LMI,,STD,,,,
2427949.8,12.5,,,Vis.,MDB,,,,,,,,V,,,,S LMI,,STD,,,,
2427953.6,12.7,,,Vis.,B,,,,,,,,V,,,,S LMI,,STD,,,,
2427954.6,12.4,,,Vis.,PRF,,,,,,,,V,,,,S LMI,,STD,,,,
2427954.6,13.0,,,Vis.,WO,,,,,,,,V,,,,S LMI,,STD,,,,
2427954.7,12.8,,,Vis.,HIA,,,,,,,,V,,,,S LMI,,STD,,,,
2427955.6,12.4,,,Vis.,B,,,,,,,,V,,,,S LMI,,STD,,,,
2427955.6,<12.1,,,Vis.,J,,,,,,,,V,,,,S LMI,,STD,,,,
2427955.9,<11.7,,,Vis.,SZM,,,,,,,,V,,,,S LMI,,STD,,,,
2427960.7,12.0,,,Vis.,ES,,,,,,,,V,,,,S LMI,,STD,,,,
2427960.7,12.2,,,Vis.,MDB,,,,,,,,V,,,,S LMI,,STD,,,,
2427964.7,11.7,,,Vis.,MDB,,,,,,,,V,,,,S LMI,,STD,,,,
2427965.35,11.8,,,Vis.,FC,M,,,,,,,V,,,,S LMI,,STD,,,,
2427966.7,11.7,,,Vis.,HIA,,,,,,,,V,,,,S LMI,,STD,,,,
2427967.6,11.3,,,Vis.,WO,,,,,,,,V,,,,S LMI,,STD,,,,
2427971.30,11.2,,,Vis.,FC,M,,,,,,,V,,,,S LMI,,STD,,,,
2427973.33,11.3,,,Vis.,FC,M,,,,,,,V,,,,S LMI,,STD,,,,
2427976.6,9.9,,,Vis.,B,,,,,,,,V,,,,S LMI,,STD,,,,
2427978.6,9.6,,,Vis.,B,,,,,,,,V,,,,S LMI,,STD,,,,
2427978.7,10.2,,,Vis.,HIA,,,,,,,,V,,,,S LMI,,STD,,,,
2427979.7,10.1,,,Vis.,R,,,,,,,,V,,,,S LMI,,STD,,,,
2427980.32,10.9,,,Vis.,FC,,,,,,,,V,,,,S LMI,,STD,,,,
2427981.6,9.6,,,Vis.,B,,,,,,,,V,,,,S LMI,,STD,,,,
2427986.7,9.2,,,Vis.,ME,,,,,,,,V,,,,S LMI,,STD,,,,
2427987.35,10.0,,,Vis.,FC,,,,,,,,V,,,,S LMI,,STD,,,,
2427994.32,8.9,,,Vis.,FC,M,,,,,,,V,,,,S LMI,,STD,,,,
2428191.31,13.7,,,Vis.,KSD,,,,,,,,V,,,,S LMI,,STD,,,,
2428193.0,13.7,,,Vis.,ER,,,,,,,,V,,,,S LMI,,STD,,,,
2428210.0,12.6,,,Vis.,ER,,,,,,,,V,,,,S LMI,,STD,,,,
2428214.0,12.0,,,Vis.,ER,,,,,,,,V,,,,S LMI,,STD,,,,
2428218.0,11.4,,,Vis.,ER,,,,,,,,V,,,,S LMI,,STD,,,,
2428218.8,11.8,,,Vis.,CY,,,,,,,,V,,,,S LMI,,STD,,,,
2428221.5,11.5,,,Vis.,RB,,,,,,,,V,,,,S LMI,,STD,,,,
2428222.6,11.1,,,Vis.,H,,,,,,,,V,,,,S LMI,,STD,,,,
2428228.1,10.8,,,Vis.,CH,,,,,,,,V,,,,S LMI,,STD,,,,
2428231.8,10.4,,,Vis.,MDB,,,,,,,,V,,,,S LMI,,STD,,,,
2428243.0,9.9,,,Vis.,ER,,,,,,,,V,,,,S LMI,,STD,,,,
2428244.6,10.4,,,Vis.,HK,,,,,,,,V,,,,S LMI,,STD,,,,
2428246.7,10.0,,,Vis.,ES,,,,,,,,V,,,,S LMI,,STD,,,,
2428247.6,9.9,,,Vis.,B,,,,,,,,V,,,,S LMI,,STD,,,,
2428251.37,10.0,,,Vis.,KSD,,,,,,,,V,,,,S LMI,,STD,,,,
2428251.4,10.2,,,Vis.,LT,,,,,,,,V,,,,S LMI,,STD,,,,
2428254.7,10.2,,,Vis.,HIA,,,,,,,,V,,,,S LMI,,STD,,,,
2428263.7,10.0,,,Vis.,ES,,,,,,,,V,,,,S LMI,,STD,,,,
2428267.7,9.9,,,Vis.,ES,,,,,,,,V,,,,S LMI,,STD,,,,
2428267.7,10.0,,,Vis.,H,,,,,,,,V,,,,S LMI,,STD,,,,
2428270.7,10.1,,,Vis.,HK,,,,,,,,V,,,,S LMI,,STD,,,,
2428270.7,10.4,,,Vis.,MDB,,,,,,,,V,,,,S LMI,,STD,,,,
2428270.8,9.9,,,Vis.,ES,,,,,,,,V,,,,S LMI,,STD,,,,
