JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
"	2459974.88235",14.90,0.025,,V,KCHE,,ensemble,,X28486FX,,0,1.315,Z,,,,SU UMa,AAVSO,STD,,,,
2424789.4,<13.4,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424820.47,<13.4,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424822.75,12.1,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424826.6,<13.4,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424850.75,13.7,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424856.5,<13.4,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424907.38,<12.7,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424908.35,12.9,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424910.3,<13.2,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424911.36,<13.4,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424914.31,<13.2,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424917.31,<13.2,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424918.33,<13.2,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424922.33,<12.1,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424934.36,<13.4,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424937.5,<13.2,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424940.53,<13.2,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
2424941.46,<13.2,,,Vis.,LWM,,,,,G140,,,V,,,,SU UMA,BAA-VSS,STD,,,,BAAVSS
