JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2410997.0,6.3,,,Vis.,MWK,,,,,,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411001.0,6.0,,,Vis.,MWK,,,,,,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411032.0,6.4,,,Vis.,MWK,,,,,,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411054.0,6.8,,,Vis.,MWK,,,,,,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411412.0,6.3,,,Vis.,MWK,,,,,,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411419.0,6.2,,,Vis.,MWK,,,,,,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411443.0,7.4,,,Vis.,MWK,,,,,,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411775.5,6.8,,,Vis.,MWK,,,,,JD corrected from 2414697.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411793.5,8.2,,,Vis.,MWK,,,,,JD corrected from 2414715.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411801.5,8.3,,,Vis.,MWK,,,,,JD corrected from 2414723.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411806.5,7.7,,,Vis.,MWK,,,,,JD corrected from 2414728.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2411818.5,7.6,,,Vis.,MWK,,,,,JD corrected from 2414740.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2412100.5,7.3,,,Vis.,MWK,,,,,JD corrected from 2414657.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2412152.5,7.0,,,Vis.,MWK,,,,,JD corrected from 2414709.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2412154.5,6.9,,,Vis.,MWK,,,,,JD corrected from 2414711.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2412172.5,8.5,,,Vis.,MWK,,,,,JD corrected from 2414729.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2412179.5,8.0,,,Vis.,MWK,,,,,JD corrected from 2414736.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2412185.5,6.9,,,Vis.,MWK,,,,,JD corrected from 2414742.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2412186.5,7.3,,,Vis.,MWK,,,,,JD corrected from 2414743.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2412187.5,7.1,,,Vis.,MWK,,,,,JD corrected from 2414744.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413218.5,6.0,,,Vis.,PJM,,,,,JD corrected from 2414679.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413539.5,6.0,,,Vis.,PJM,,,,,JD corrected from 2415000.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413541.5,6.2,,,Vis.,PJM,,,,,JD corrected from 2415002.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413562.5,6.8,,,Vis.,PJM,,,,,JD corrected from 2414658.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413563.5,7.0,,,Vis.,PJM,,,,,JD corrected from 2414659.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413565.5,7.1,,,Vis.,PJM,,,,,JD corrected from 2414661.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413566.5,7.2,,,Vis.,PJM,,,,,JD corrected from 2414662.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413596.5,6.2,,,Vis.,MWK,,,,,JD corrected from 2414692.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413597.5,6.4,,,Vis.,MWK,,,,,JD corrected from 2414693.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413609.5,6.2,,,Vis.,MWK,,,,,JD corrected from 2414705.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413611.5,6.4,,,Vis.,MWK,,,,,JD corrected from 2414707.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413627.5,6.1,,,Vis.,MWK,,,,,JD corrected from 2414723.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413628.5,6.3,,,Vis.,MWK,,,,,JD corrected from 2414724.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413630.5,6.1,,,Vis.,MWK,,,,,JD corrected from 2414726.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413634.5,6.4,,,Vis.,MWK,,,,,JD corrected from 2414730.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413635.5,6.2,,,Vis.,MWK,,,,,JD corrected from 2414731.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413637.5,6.4,,,Vis.,MWK,,,,,JD corrected from 2414733.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413638.5,6.3,,,Vis.,MWK,,,,,JD corrected from 2414734.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413651.5,7.0,,,Vis.,MWK,,,,,JD corrected from 2414747.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413652.5,7.1,,,Vis.,MWK,,,,,JD corrected from 2414748.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2413658.5,7.2,,,Vis.,MWK,,,,,JD corrected from 2414754.500000; not rec.,,,Z,,,,U MON,BAA-VSS,STD,,,,BAAVSS
2425223.99,6.3,,,Vis.,FUR,,,,,,,,V,,,,U MON,,STD,,,,
2425246.03,5.8,,,Vis.,FUR,,,,,,,,V,,,,U MON,,STD,,,,
2425260.93,6.2,,,Vis.,FUR,,,,,,,,V,,,,U MON,,STD,,,,
2425266.04,6.6,,,Vis.,FUR,,,,,,,,V,,,,U MON,,STD,,,,
2425283.92,6.2,,,Vis.,FUR,,,,,,,,V,,,,U MON,,STD,,,,
2425296.94,6.0,,,Vis.,FUR,,,,,,,,V,,,,U MON,,STD,,,,
2431469.0,6.2,,,Vis.,HKK,K,,,,,,,V,,,,U MON,,STD,,,,
2431470.1,6.2,,,Vis.,HKK,K,,,,,,,V,,,,U MON,,STD,,,,
2431472.1,6.3,,,Vis.,HKK,K,,,,,,,V,,,,U MON,,STD,,,,
2431494.9,6.9,,,Vis.,HKK,K,,,,,,,V,,,,U MON,,STD,,,,
2431504.0,6.7,,,Vis.,HKK,K,,,,,,,V,,,,U MON,,STD,,,,
2431891.2,5.4,,,Vis.,BP,X,,,,,,,V,,,,U MON,,STD,,,,
2431902.1,6.2,,,Vis.,BP,X,,,,,,,V,,,,U MON,,STD,,,,
2431931.1,5.4,,,Vis.,BP,,,,,,,,V,,,,U MON,,STD,,,,
2431931.1,5.5,,,Vis.,BPV,,,,,,,,V,,,,U MON,,STD,,,,
2431938.1,5.3,,,Vis.,BPV,,,,,,,,V,,,,U MON,,STD,,,,
2431938.2,5.6,,,Vis.,BP,,,,,,,,V,,,,U MON,,STD,,,,
2431941.1,5.5,,,Vis.,BPV,,,,,,,,V,,,,U MON,,STD,,,,
