JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2416769.7,10.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416792.7,9.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416806.6,9.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416822.6,8.7,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416862.6,7.8,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416879.5,8.8,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416902.6,10.2,,,Vis.,CN,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416915.7,11.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416944.6,12.8,,,Vis.,CN,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416958.6,12.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2416975.6,<13.1,,,Vis.,CN,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417154.7,9.8,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417207.6,13.2,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417238.6,12.6,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
2417270.6,13.4,,,Vis.,C,,NA,,NA,1912ANHAR-63-39.  SUBMITTED BY PKV.,,,Z,,,,X GEM,AAVSO,STD,,1912AnHar..63....1C,PKV,
