JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
2445077.1,11.5,,,Vis.,CR,,,,,,,,V,,,,V3795 SGR,,STD,,,,
2445252.6,12.0,,,Vis.,TMR,C,,,,,,,V,,,,V3795 SGR,,STD,,,,
2446597.91,11.2,,,Vis.,DRY,,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447107.2,11.5,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447234.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447236.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447237.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447239.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447240.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447241.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447243.5,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447245.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447246.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447247.4,11.5,,,Vis.,PEX,         ,,,,,,,Z,,,,V3795 SGR,,STD,,,,
2447248.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447249.5,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447250.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447251.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447252.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447255.5,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447277.5,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447278.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447279.6,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447280.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447290.1,11.5,,,Vis.,PEX,         ,,,,,,,Z,,,,V3795 SGR,,STD,,,,
2447290.5,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447291.4,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447292.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447293.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447294.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447295.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447296.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447297.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447298.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447299.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447300.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447301.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447302.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447303.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447304.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447305.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447306.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447307.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447309.4,10.3,,,Vis.,PEX,         ,,,,,,,Z,,,,V3795 SGR,,STD,,,,
2447310.5,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447316.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447318.3,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447321.4,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447322.5,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447323.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447324.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447325.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447326.6,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447327.6,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447329.6,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447330.6,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447332.6,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447334.3,11.4,,,Vis.,PEX,         ,,,,,,,Z,,,,V3795 SGR,,STD,,,,
2447334.6,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447335.4,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447336.6,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447346.3,11.0,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447347.3,11.0,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447348.3,11.0,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447349.3,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447350.2,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447351.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447352.2,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447354.4,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447355.2,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447362.2,11.2,,,Vis.,OB,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V3795 SGR,,STD,,,,RASNZ
2447362.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447363.2,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447364.2,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447364.3,11.5,,,Vis.,PEX,         ,,,,,,,Z,,,,V3795 SGR,,STD,,,,
2447365.2,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447373.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447374.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447375.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447376.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447377.3,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447378.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447379.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447380.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447381.0,11.3,,,Vis.,PEX,         ,,,,,,,Z,,,,V3795 SGR,,STD,,,,
2447381.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447382.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447385.5,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447386.3,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447387.3,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447388.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447389.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447390.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447391.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447393.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447394.2,11.4,,,Vis.,PEX,         ,,,,,,,Z,,,,V3795 SGR,,STD,,,,
2447394.3,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447405.0,11.3,,,Vis.,PEX,         ,,,,,,,Z,,,,V3795 SGR,,STD,,,,
2447407.1,11.5,,,Vis.,PEX,         ,,,,,,,Z,,,,V3795 SGR,,STD,,,,
2447410.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447411.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447412.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447413.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447414.3,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447415.3,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447418.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447420.0,11.4,,,Vis.,PEX,         ,,,,,,,Z,,,,V3795 SGR,,STD,,,,
2447421.3,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447422.3,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447434.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447435.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447436.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447437.2,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447438.2,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447439.2,11.4,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447440.2,11.4,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447442.2,11.4,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447469.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447475.2,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447558.6,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447576.5,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447585.6,11.3,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447592.6,11.2,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447593.6,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447594.6,11.1,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447595.6,11.0,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447597.6,11.0,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
2447601.6,11.0,,,Vis.,OB,         ,,,,,,,V,,,,V3795 SGR,,STD,,,,
