JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
2456150.0868,12.9,,,Vis.,PEX,B,125,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456155.0799,13.6,,,Vis.,PEX,B,136,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456157.1049,13.5,,,Vis.,PEX,B,131,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456166.0813,13.5,,,Vis.,PEX,B,136,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456169.0486,13.4,,,Vis.,PEX,B,131,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456170.0486,13.7,,,Vis.,PEX,B,136,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456177.0403,13.5,,,Vis.,PEX,B,131,136,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456187.0188,13.7,,,Vis.,PEX,B,136,,,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456339.3375,12.5,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456341.3431,12.7,,,Vis.,PEX,,128,,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456355.3222,12.2,,,Vis.,PEX,,115,123,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456357.3146,12.2,,,Vis.,PEX,,115,123,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456358.3549,12.4,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456364.3188,12.5,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456375.3028,12.0,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456381.2785,12.5,,,Vis.,PEX,B,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456384.3042,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456387.00198,13.548,0.035,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0,1.951,Z,,,,GV OPH,AAVSO,STD,,,,
2456387.00439,12.145,0.018,,V,SXN,,ENSEMBLE,,12658MT,OC61,0,1.920,Z,,,,GV OPH,AAVSO,STD,,,,
2456393.3146,12.5,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV Oph,RASNZ-VSS,STD,,,,
2456426.10038,13.487,0.047,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0,1.047,Z,,,,GV OPH,AAVSO,STD,,,,
2456426.10301,12.121,0.034,,V,SXN,,ENSEMBLE,,12658MT,OC61,0,1.047,Z,,,,GV OPH,AAVSO,STD,,,,
2456433.3319,12.7,,,Vis.,PEX,,128,,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456436.3125,12.0,,,Vis.,PEX,B,115,121,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456436.98167,13.513,0.041,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0,1.150,Z,,,,GV OPH,AAVSO,STD,,,,
2456436.98428,12.11,0.037,,V,SXN,,ENSEMBLE,,12658MP,OC61,0,1.144,Z,,,,GV OPH,AAVSO,STD,,,,
2456456.1507,12.2,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456458.1208,12.0,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456479.0993,12.3,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456545.0194,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456700.14681,12.107,0.023,,V,SXN,,ENSEMBLE,,12658MT,OC61,0,1.927,Z,,,,GV OPH,AAVSO,STD,,,,
2456753.2569,12.0,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456761.2743,12.4,,,Vis.,PEX,B,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456779.3757,12.1,,,Vis.,PEX,,121,,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456814.2889,12.5,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456824.1194,12.4,,,Vis.,PEX,B,115,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456834.0611,11.9,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456842.1236,12.1,,,Vis.,PEX,,121,,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456867.88947,13.463,0.035,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0,1.046,Z,,,,GV OPH,AAVSO,STD,,,,
2456867.89215,12.159,0.032,,V,SXN,,ENSEMBLE,,12658MT,OC61,0,1.046,Z,,,,GV OPH,AAVSO,STD,,,,
2456872.0958,12.7,,,Vis.,PEX,,128,,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456874.0944,12.6,,,Vis.,PEX,B,128,,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2456896.0486,12.5,,,Vis.,PEX,,121,128,9216AG,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2457073.3611,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,VSS,STD,,,,
2457076.3486,12.3,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,VSS,STD,,,,
2457086.3063,12.5,,,Vis.,PEX,B,115,128,9216AG,,,,Z,,,,GV OPH,VSS,STD,,,,
2457101.16303,13.412,0.025,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0,1.153,Z,,,,GV OPH,AAVSO,STD,,,,
2457101.16566,12.039,0.028,,V,SXN,,ENSEMBLE,,12658MT,OC61,0,1.147,Z,,,,GV OPH,AAVSO,STD,,,,
2457105.2806,12.1,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,VSS,STD,,,,
2457110.3326,12.3,,,Vis.,PEX,,125,,9216AG,,,,Z,,,,GV OPH,VSS,STD,,,,
2457113.2792,12.1,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,VSS,STD,,,,
2457115.3194,12.2,,,Vis.,PEX,B,115,128,9216AG,,,,Z,,,,GV OPH,VSS,STD,,,,
2457127.3368,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,VSS,STD,,,,
2457130.3056,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,VSS,STD,,,,
2457133.2910,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457136.2813,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457142.13740,13.346,0.041,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0,1.046,Z,,,,GV OPH,AAVSO,STD,,,,
2457142.14003,12.003,0.038,,V,SXN,,ENSEMBLE,,12658MT,OC61,0,1.047,Z,,,,GV OPH,AAVSO,STD,,,,
2457145.13000,13.3,0.023,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0,1.046,Z,,,,GV OPH,AAVSO,STD,,,,
2457145.13262,11.94,0.033,,V,SXN,,ENSEMBLE,,12658MT,OC61,0,1.047,Z,,,,GV OPH,AAVSO,STD,,,,
2457150.98471,13.316,0.095,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0,1.305,Z,,,,GV OPH,AAVSO,STD,,,,
2457150.98733,11.908,0.054,,V,SXN,,ENSEMBLE,,12658MT,OC61,0,1.294,Z,,,,GV OPH,AAVSO,STD,,,,
2457151.3229,12.0,,,Vis.,PEX,B,115,121,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457154.3000,12.1,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457155.2840,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457157.2972,12.3,,,Vis.,PEX,U,118,125,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457159.10666,13.402,0.016,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0,1.051,Z,,,,GV OPH,AAVSO,STD,,,,
2457159.10928,12.03,0.012,,V,SXN,,ENSEMBLE,,12658MT,OC61,0,1.052,Z,,,,GV OPH,AAVSO,STD,,,,
2457162.3007,12.5,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457164.3347,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457168.3014,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457172.2701,12.6,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457173.3132,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457184.2479,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457186.02293,13.28,0.056,,B,SXN,,ENSEMBLE,,15143AEM,,0,1.047,Z,,,,GV OPH,AAVSO,STD,,,,
2457186.02554,11.94,0.037,,V,SXN,,ENSEMBLE,,15143AEL,,0,1.048,Z,,,,GV OPH,AAVSO,STD,,,,
2457188.2736,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457198.0917,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457200.2264,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457218.91861,13.48,0.093,,B,SXN,,ENSEMBLE,,12658MQ,OC61,0,1.047,Z,,,,GV OPH,AAVSO,STD,,,,
2457218.92124,12.085,0.046,,V,SXN,,ENSEMBLE,,12658MT,OC61,0,1.046,Z,,,,GV OPH,AAVSO,STD,,,,
2457219.0486,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457225.88015,13.457,0.005,,B,SXN,,ENSEMBLE,135,12658MQ,OC61,0,1.055,Z,,14.323,,GV OPH,AAVSO,STD,0,,,
2457225.88306,12.122,0.004,,V,SXN,,ENSEMBLE,135,12658MT,OC61,0,1.053,Z,,13.612,,GV OPH,AAVSO,STD,0,,,
2457232.87999,13.43,0.011,,B,SXN,,ENSEMBLE,135,12658MQ,OC61,0,1.047,Z,,14.336,,GV OPH,AAVSO,STD,0,,,
2457232.88289,12.106,0.010,,V,SXN,,ENSEMBLE,135,12658MT,OC61,0,1.046,Z,,13.602,,GV OPH,AAVSO,STD,0,,,
2457253.0618,12.5,,,Vis.,PEX,U,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457262.0542,12.5,,,Vis.,PEX,B,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457269.0389,12.4,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457287.9924,12.4,,,Vis.,PEX,B,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457425.3583,12.3,,,Vis.,PEX,,117,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457433.3479,12.0,,,Vis.,PEX,W,115,121,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457434.3285,12.1,,,Vis.,PEX,W,121,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457438.3326,12.3,,,Vis.,PEX,W,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457439.3382,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457450.22186,13.551,0.035,,B,SXN,,ENSEMBLE,135,12658MQ,OC61,0,1.116,Z,,14.285,,GV OPH,AAVSO,STD,,,,
2457450.22450,12.194,0.049,,V,SXN,,ENSEMBLE,135,12658MT,OC61,0,1.111,Z,,13.564,,GV OPH,AAVSO,STD,,,,
2457451.3222,12.3,,,Vis.,PEX,,118,125,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457454.3500,12.3,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457458.3229,12.0,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457460.3111,12.0,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457465.2833,12.3,,,Vis.,PEX,,121,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457468.3340,12.3,,,Vis.,PEX,,115,125,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457481.2681,12.0,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457485.3167,12.4,,,Vis.,PEX,U,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457493.2882,12.5,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457499.3861,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457517.3056,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457520.2535,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457539.1160,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457542.0694,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457555.0972,12.4,,,Vis.,PEX,B,115,128,9216AG,U,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457572.0632,12.2,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457573.1125,12.1,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457632.0146,12.4,,,Vis.,PEX,,118,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457636.0382,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457659.86944,12.2,,,Vis.,HSP,,120,128,8841EZM,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2457790.3389,14.4,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457808.3354,14.700000000000001,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457810.3431,15.200000000000001,,,Vis.,PEX,,148,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457818.3354,15.1,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457820.3306,15.1,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457823.3188,14.9,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457841.2958,15.200000000000001,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457843.2903,15.1,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457872.3076,15.200000000000001,,,Vis.,PEX,,148,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457873.319,15.1,,,Vis.,PEX,,148,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457875.2944,15.200000000000001,,,Vis.,PEX,,148,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457880.3104,15.1,,,Vis.,PEX,,148,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457902.2424,15.0,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457903.0868,15.1,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457905.2257,15.2,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457908.2736,14.8,,,Vis.,PEX,,148,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457909.2743,14.9,,,Vis.,PEX,,148,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457921.1125,14.5,,,Vis.,PEX,,145,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457932.0681,14.3,,,Vis.,PEX,,135,145,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457989.0472,13.2,,,Vis.,PEX,,128,135,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2457994.0521,13.2,,,Vis.,PEX,,128,135,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458159.3556,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458162.3396,12.0,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458163.3417,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458164.3500,12.0,,,Vis.,PEX,W,115,121,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458174.3465,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458179.3514,12.3,,,Vis.,PEX,B,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458188.3222,12.4,,,Vis.,PEX,B,115,128,9216AG,W,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458189.3160,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458190.3097,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458205.3139,12.5,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458223.3750,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458233.2840,12.0,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458234.3479,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458236.3833,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458237.3576,12.3,,,Vis.,PEX,B,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458248.3111,12.2,,,Vis.,PEX,W,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458249.3229,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458250.3639,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458252.3160,12.5,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458257.2806,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458258.3167,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458260.3313,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458262.2861,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458310.0826,12.3,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458311.1146,12.2,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458341.96736,12.0,,,Vis.,HSP,,115,121,8841EZM,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2458371.0118,11.9,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458519.3514,12.6,,,Vis.,PEX,,119,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458526.3458,12.6,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458558.3139,12.6,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458560.3194,12.8,,,Vis.,PEX,,128,,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458581.2806,12.6,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458583.3382,12.6,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458723.89931,12.5,,,Vis.,HSP,,125,,8841EZM,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2458941.17153,12.3,,,Vis.,HSP,,121,125,X25356EI,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2458942.3056,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458955.2917,12.4,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458970.3493,11.9,,,Vis.,PEX,,115,121,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458986.3125,12.5,,,Vis.,PEX,,115,128,9216AG,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458988.2972,12.5,,,Vis.,PEX,,115,128,X25371ADP,,,,Z,,,,GV OPH,AAVSO,STD,,,,
2458991.17361,12.6,,,Vis.,HSP,,125,128,8841EZO,,,,Z,,,,GV OPH,RASNZ-VSS,STD,,,,
2458991.2882,12.4,,,Vis.,PEX,,115,128,X25371ADP,,,,Z,,,,GV OPH,AAVSO,STD,,,,
