JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
2456149.0917,11.3,,,Vis.,PEX,B,114,,,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456150.0625,11.3,,,Vis.,PEX,B,114,,,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456155.0611,11.6,,,Vis.,PEX,B,114,119,,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456330.3319,11.9,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456331.3333,11.8,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456339.3153,11.7,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456341.3257,11.8,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456353.3451,11.7,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456355.2597,11.4,,,Vis.,PEX,,112,,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456357.2778,11.7,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456358.3375,11.4,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456364.2903,11.7,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456375.2819,11.9,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456381.2597,11.7,,,Vis.,PEX,B,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456384.2819,11.4,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456393.2854,11.6,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO Nor,RASNZ-VSS,STD,,,,
2456456.1382,11.7,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456458.1035,11.6,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456479.0799,11.7,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456552.90069,11.3,,,Vis.,KCD,BL,10.9,12.0,10954FZ,,,,Z,,,,IO NOR,BAA-VSS,STD,,,,
2456567.92292,11.5,,,Vis.,HSP,,112,120,12342AXW,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456688.3396,11.1,,,Vis.,PEX,,109,112,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456694.3229,11.5,,,Vis.,PEX,,112,,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456699.3417,11.2,,,Vis.,PEX,,112,,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456753.2389,11.6,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456761.2618,11.2,,,Vis.,PEX,B,112,,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456824.0507,11.1,,,Vis.,PEX,B,112,,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456834.0472,11.1,,,Vis.,PEX,,109,112,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456842.1167,11.4,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456872.0771,11.4,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456894.03958,11.5,,,Vis.,HSP,,112,120,12342AXW,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456896.0340,11.5,,,Vis.,PEX,,112,120,9216P,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2456944.90833,11.7,,,Vis.,HSP,,112,120,12342AXW,,,,Z,,,,IO NOR,RASNZ-VSS,STD,,,,
2457071.3375,12.4,,,Vis.,PEX,,120,132,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457073.3604,12.4,,,Vis.,PEX,,120,126,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457076.3354,12.4,,,Vis.,PEX,,120,132,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457086.2931,12.5,,,Vis.,PEX,B,120,126,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457105.2625,13.2,,,Vis.,PEX,,132,,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457107.2653,13.3,,,Vis.,PEX,W,132,135,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457109.3444,13.4,,,Vis.,PEX,,132,135,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457110.2271,13.4,,,Vis.,PEX,,132,135,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457113.2646,13.4,,,Vis.,PEX,,132,135,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457114.3118,13.4,,,Vis.,PEX,,132,135,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457115.3028,13.4,,,Vis.,PEX,B,132,135,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
2457125.2750,13.3,,,Vis.,PEX,,132,135,9216P,,,,Z,,,,IO NOR,VSS,STD,,,,
