JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
2457646.3632,14.69,0.05,,CV,OCN,,144,159,X16519ABZ,iT7. NOT Unfiltered BUT Luminance filter with neutral colored comps.,0,1.13,Z,14.403,15.934,,NSV 11664,AAVSO,STD,,,,
2457646.3660,15.26,0.08,,V,OCN,,144,151,X16519ABZ,iT7. Active.,0,1.13,Z,14.403,15.058,,NSV 11664,AAVSO,STD,,,,
2457965.74700,18.937,0.131,,V,SPP,,ENSEMBLE,,X20483WK,,0,1.109,Z,,,,NSV 11664,AAVSO,STD,,,,
2457991.68549,18.45,0.081,,V,SPP,,ENSEMBLE,151,X20522BN,,1,1.100,Z,,15.014,,NSV 11664,AAVSO,STD,,,,
2457991.69588,14.786,0.093,,I,SPP,,ENSEMBLE,151,X20522BN,,1,1.093,Z,,12.948,,NSV 11664,AAVSO,STD,,,,
2458366.89236,13.3,,,Vis.,HSP,,130,136,X15267CL,,,,Z,,,,NSV 11664,RASNZ-VSS,STD,,,,
2458720.6611,15.0,,,Vis.,BTY,,15.1,,X23976BY,,,,Z,,,,NSV 11664,AAVSO,STD,,,,
2458745.5396,15.0,,,Vis.,BTY,,15.1,,X23976BY,,,,Z,,,,NSV 11664,AAVSO,STD,,,,
2458784.5153,14.3,,,Vis.,BTY,,14.4,,X23976BY,,,,Z,,,,NSV 11664,AAVSO,STD,,,,
2458962.54,14.1,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2458985.46,14.0,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459043.46,14.7,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459056.40,14.8,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459073.40,15.0,,,Vis.,KTZ,,151,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459074.88681,15.0,,,Vis.,HSP,U,151,,X25615JT,,,,Z,,,,NSV 11664,RASNZ-VSS,STD,,,,
2459346.43,15.0,,,Vis.,KTZ,,151,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459374.45,14.3,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459383.12014,15.5,,,Vis.,HSP,,152,156,X25615JT,,,,Z,,,,NSV 11664,RASNZ-VSS,STD,,,,
2459403.41,14.8,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459426.39,14.7,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459434.42,14.7,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459438.40,14.7,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459441.41,14.6,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459462.32,14.3,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459466.33,14.3,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459467.32,14.2,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459469.86667,14.3,,,Vis.,HSP,,141,144,X25615JT,,,,Z,,,,NSV 11664,RASNZ-VSS,STD,,,,
2459472.34,14.2,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459484.6194,14.4,,,Vis.,BTY,,13.0,14.4,X23976BY,,,,Z,,,,NSV 11664,AAVSO,STD,,,,
2459485.31,14.0,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459490.34,14.0,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459495.27,14.0,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459497.26,14.0,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459513.30,14.0,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459518.32,14.1,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459519.27,14.0,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459523.28,14.0,,,Vis.,KTZ,,144,,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459529.23,14.0,,,Vis.,KTZ,,130,144,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459551.20,13.9,,,Vis.,KTZ,,130,144,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459667.58,13.7,,,Vis.,KTZ,,130,144,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459701.34,13.9,,,Vis.,KTZ,,130,144,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459704.50,13.9,,,Vis.,KTZ,,130,144,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459708.47,13.9,,,Vis.,KTZ,B,130,144,X25433AB,MOON,,,Z,,,,NSV 11664,,STD,,,,
2459718.43,14.0,,,Vis.,KTZ,,130,144,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459721.42,14.0,,,Vis.,KTZ,,130,144,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459723.45,14.0,,,Vis.,KTZ,,130,144,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
2459727.47,14.0,,,Vis.,KTZ,,130,144,X25433AB,,,,Z,,,,NSV 11664,,STD,,,,
