JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
2457460.3292,15.1,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457481.2875,14.9,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457517.3250,14.9,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457539.1250,14.9,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457542.0799,14.700000000000001,,,Vis.,PEX,,148,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457573.1201,15.1,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457632.0222,14.9,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457820.3465,15.200000000000001,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457841.3049,15.200000000000001,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457843.3007,15.1,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457872.3139,15.1,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457873.331,14.9,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457875.3153,15.1,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457880.3382,15.1,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457902.2556,14.4,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457905.2417,15.1,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457909.2896,15.1,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2457932.0799,14.9,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458205.3424,14.0,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458234.3576,15.200000000000001,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458257.2889,15.200000000000001,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458258.3292,15.200000000000001,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458262.2924,15.200000000000001,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458371.0229,15.1,,,Vis.,PEX,,145,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458581.2938,15.200000000000001,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
2458726.87847,15.5,,,Vis.,HSP,,156,,X24313WR,,,,Z,,,,EROS2-CG RCB-11,RASNZ-VSS,STD,,,,
2459042.0361,14.9,,,Vis.,PEX,,150,,X15646AVD,,,,Z,,,,EROS2-CG RCB-11,AAVSO,STD,,,,
