JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
2457460.3250,14.8,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457481.2778,14.9,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457517.3146,15.1,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457539.1222,14.8,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457542.0771,14.8,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457573.1174,15.1,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457820.3424,15.1,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457841.3028,15.3,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457843.2979,15.1,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457873.328,15.1,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457875.3028,15.200000000000001,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457880.3201,15.200000000000001,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457902.2493,15.1,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457905.2340,15.200000000000001,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457909.2826,15.3,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2457932.0778,15.1,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2458234.3556,15.200000000000001,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2458257.2875,15.200000000000001,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2458258.3278,15.1,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2458262.2910,15.3,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2458371.0201,15.200000000000001,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2458560.3243,14.8,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2458581.2868,15.200000000000001,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
2458726.85486,15.5,,,Vis.,HSP,U,156,,X24293AK,,,,Z,,,,NSV 22773,RASNZ-VSS,STD,,,,
2459042.0347,15.0,,,Vis.,PEX,,149,,X15646AVW,,,,Z,,,,NSV 22773,AAVSO,STD,,,,
