JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
2457430.914,14.87,0.05,,R,OCN,,152,156,X15973U,iT31,0,1.65,Z,14.79,15.066,,Gaia16aau,AAVSO,STD,,,,
2457430.915,14.5,0.06,,I,OCN,,140,145,X15973U,iT31,0,,Z,13.155,13.573,,Gaia16aau,AAVSO,STD,,,,
2458141.984,15,,,Vis.,HSP,U,145,152,X15973IB,,,,Z,,,,GAIA16AAU,RASNZ-VSS,STD,,,,
2458196.883,14.8,,,Vis.,HSP,,145,149,X15973IB,,,,Z,,,,GAIA16AAU,RASNZ-VSS,STD,,,,
2458460.045,14.7,,,Vis.,HSP,,145,149,X15973IB,,,,Z,,,,GAIA16AAU,RASNZ-VSS,STD,,,,
2458512.942,14.7,,,Vis.,HSP,,145,149,X15973IB,,,,Z,,,,GAIA16AAU,RASNZ-VSS,STD,,,,
2458814.008,14.8,,,Vis.,HSP,,145,149,X15973IB,,,,Z,,,,GAIA16AAU,RASNZ-VSS,STD,,,,
2459100.232,14.8,,,Vis.,HSP,B,145,149,X25506ALS,,,,Z,,,,Gaia16aau,RASNZ-VSS,STD,,,,
2459200.958,14.7,,,Vis.,HSP,,145,149,X25506ALS,,,,Z,,,,Gaia16aau,RASNZ-VSS,STD,,,,
2460264.018,14.3,,,Vis.,HSP,,140,145,X25506ALS,,,,Z,,,,Gaia16aau,RASNZ-VSS,STD,,,,
