Date,JD (TCB),avg Mag
Gaia18acn,,
2014-08-26 05:48:47,2330705.7932706513,
2014-11-09 12:38:11,2330777.2108625523,
2014-11-09 14:24:55,2330777.281175635,
2015-01-11 01:18:16,2330836.527166911,
2015-02-01 17:26:16,2330857.0862683156,
2015-03-11 00:12:55,2330892.4537868374,
2015-03-11 04:26:41,2330892.620965393,
2015-06-08 09:24:13,2330977.2457960118,
2015-06-08 11:10:58,2330977.3161185803,
2015-07-11 21:05:51,2331009.013079795,
2015-08-16 16:31:44,2331042.983481537,
2015-09-17 08:32:20,2331073.0241010278,
2015-09-17 10:19:05,2331073.0944235963,
2015-11-22 15:25:42,2331135.906555544,
2015-12-18 01:26:37,2331160.0183838736,
2015-12-18 03:13:22,2331160.0887064426,
2016-01-23 06:31:04,2331194.3699295763,
2016-01-23 08:17:49,2331194.4402616327,
2016-02-13 12:26:09,2331214.5252619945,
2016-02-13 14:12:54,2331214.595584564,
2016-03-22 01:14:45,2331250.1312207924,
2016-05-21 00:30:30,2331307.020376733,
2016-05-21 04:44:15,2331307.1875458015,
2016-06-21 10:28:30,2331336.8221195727,
2016-06-21 12:14:41,2331336.8920721724,
2016-07-24 05:59:15,2331367.949812333,
2016-07-24 10:13:00,2331368.1169719165,
2016-08-29 09:51:46,2331402.253973545,
2016-08-29 11:38:31,2331402.3242961145,
2016-09-30 03:36:31,2331432.3631985686,
2016-09-30 05:23:16,2331432.4335211385,
2016-10-31 15:16:50,2331462.2323421715,
2016-10-31 17:03:35,2331462.30266474,
2016-12-04 14:39:09,2331494.461223943,
2016-12-04 16:25:53,2331494.5315370257,
2017-02-03 09:16:56,2331552.115902661,
2017-02-24 16:35:36,2331572.3262940547,
2017-04-03 01:53:18,2331607.7933152644,
2017-04-03 03:40:03,2331607.8636378325,
2017-04-28 09:31:54,2331631.8113896544,
2017-06-02 19:13:03,2331665.396587264,
2017-06-02 20:59:13,2331665.4665303784,
2017-07-05 18:56:04,2331696.690471997,
2017-08-07 00:42:53,2331727.2753728037,
2017-08-07 02:29:03,2331727.345315917,
2017-10-14 00:02:52,2331791.7564254203,
2017-11-12 17:44:18,2331819.966191656,
2017-11-12 19:30:28,2331820.036125283,
2017-12-17 11:01:42,2331852.9033079287,
2018-01-09 10:52:50,2331874.716158382,16.620145819199998
2018-01-09 12:39:24,2331874.7863576286,16.667577742200002
2018-02-15 09:52:58,2331909.7763370154,17.521352356199998
2018-02-15 11:39:32,2331909.8465457475,17.511865971600002
2018-03-08 23:35:11,2331930.23940775,17.5687842792
2018-04-15 04:43:25,2331965.542086832,19.0486602768
2018-05-11 22:33:28,2331990.911610545,
2018-06-15 16:06:14,2332023.858858277,
2018-07-19 20:01:21,2332056.267450118,
2018-07-19 21:48:06,2332056.3377726874,
2018-08-20 19:49:09,2332086.615845871,
2018-08-20 21:35:54,2332086.686168439,
2018-09-25 01:28:10,2332120.0415299227,
2018-09-25 03:14:20,2332120.1114635505,
2018-10-27 13:05:15,2332150.857177549,
2018-11-24 18:48:22,2332177.6450960017,
2018-11-24 20:35:07,2332177.7154185697,
2018-12-30 00:01:00,2332211.0533915116,
2019-02-27 10:53:53,2332267.4531733287,
2019-03-21 12:35:23,2332288.390079487,
2019-04-27 10:01:15,2332323.3881602464,
2019-04-27 11:48:00,2332323.4584923014,
2019-05-25 15:49:24,2332350.179398933,
2019-05-25 17:36:09,2332350.2497215024,
2019-06-28 21:26:52,2332382.6554199965,
2019-07-24 18:54:40,2332407.219748871,
2019-09-02 01:20:44,2332444.4709787825,
2019-09-02 03:07:29,2332444.5413108375,
2019-09-24 20:08:11,2332466.083770871,
2019-09-24 21:54:56,2332466.1540934397,
