Date,JD (TCB),avg Mag
Gaia20bns,,
2014-08-24 19:40:21,2456894.31969,18.31
2014-08-24 21:27:00,2456894.39375,
2014-09-30 06:14:04,2456930.75977,untrusted
2014-11-27 09:06:23,2456988.87943,18.03
2015-01-30 15:33:02,2457053.14794,17.98
2015-03-01 13:29:55,2457083.06244,
2015-03-01 15:16:05,2457083.13617,
2015-04-12 14:50:42,2457125.11854,
2015-04-12 19:04:07,2457125.29453,untrusted
2015-04-12 20:51:12,2457125.36889,
2015-05-07 13:11:31,2457150.04966,
2015-05-07 14:58:16,2457150.1238,
2015-06-18 02:36:24,2457191.60861,18.27
2015-06-18 06:50:03,2457191.78476,
2015-07-21 02:18:51,2457224.59642,18.95
2015-08-16 18:24:28,2457251.26699,
2015-08-16 20:11:13,2457251.34112,
2015-09-25 23:21:29,2457291.47325,18.20
2015-09-26 01:08:33,2457291.5476,
2015-10-11 17:26:11,2457307.22652,18.11
2015-12-09 23:49:03,2457366.4924,18.27
2016-01-14 22:54:37,2457402.45459,17.92
2016-02-13 14:46:57,2457432.11594,18.22
2016-02-13 16:33:31,2457432.18994,18.35
2016-03-12 20:38:03,2457460.35976,18.06
2016-03-12 22:24:37,2457460.43376,18.18
2016-04-26 04:00:40,2457504.66713,17.68
2016-04-26 08:14:32,2457504.84343,
2016-04-26 10:00:54,2457504.91729,17.74
2016-05-22 02:20:12,2457530.59736,18.20
2016-05-22 04:06:46,2457530.67137,18.18
2016-06-29 19:59:52,2457569.33324,
2016-08-03 09:19:44,2457603.8887,17.84
2016-08-27 09:15:35,2457627.88582,17.95
2016-10-07 12:18:38,2457669.01294,17.93
2016-10-07 14:05:37,2457669.08723,
2016-10-22 06:23:33,2457683.76635,18.13
2016-12-01 23:02:48,2457724.46028,
2016-12-02 00:48:57,2457724.53399,18.76
2016-12-21 22:59:07,2457744.45772,18.21
2017-01-25 10:13:53,2457778.92631,18.55
2017-02-27 00:58:20,2457811.54051,18.14
2017-03-25 17:09:46,2457838.21512,17.73
2017-03-25 18:56:20,2457838.28912,untrusted
2017-03-25 23:10:00,2457838.46528,17.88
2017-05-10 04:47:22,2457883.69956,17.90
2017-05-10 06:33:57,2457883.77358,17.88
2017-07-12 04:31:24,2457946.68847,17.85
2017-08-17 09:55:36,2457982.91361,18.04
2017-08-17 11:42:11,2457982.98763,18.10
2017-09-07 21:54:50,2458004.41308,18.18
2017-09-07 23:41:24,2458004.48708,18.18
2017-10-19 10:24:26,2458045.93363,17.69
2017-11-03 02:42:43,2458060.613,17.82
2017-12-12 21:12:31,2458100.38369,17.55
2018-01-04 01:18:38,2458122.55461,17.85
2018-03-13 20:03:00,2458191.33542,17.77
2018-03-14 00:16:39,2458191.51156,17.73
2018-04-08 06:19:36,2458216.76361,17.71
2018-04-08 08:06:10,2458216.83762,17.71
2018-04-08 12:19:50,2458217.01377,17.55
2018-04-08 14:06:24,2458217.08778,17.65
2018-05-23 13:44:28,2458262.07255,untrusted
2018-05-23 17:58:08,2458262.2487,17.99
2018-06-21 23:55:28,2458291.49685,17.79
2018-07-24 05:39:35,2458323.73582,17.86
2018-07-24 07:26:09,2458323.80983,17.85
2018-08-31 00:40:59,2458361.52846,17.62
2018-09-19 04:56:50,2458380.70613,
2018-09-19 06:43:01,2458380.77987,
2018-10-31 03:35:07,2458422.64939,17.65
2018-11-15 03:39:12,2458437.65222,
2018-11-15 05:25:27,2458437.72601,untrusted
2018-12-23 20:28:25,2458476.35307,17.78
2018-12-23 22:14:59,2458476.42707,17.73
2019-01-17 08:16:22,2458500.8447,17.49
2019-01-17 10:02:56,2458500.9187,17.49
2019-03-28 21:10:03,2458571.38198,17.96
2019-03-29 01:23:43,2458571.55814,18.03
2019-04-22 19:29:57,2458596.31247,17.94
2019-04-22 21:16:32,2458596.38648,17.93
2019-06-05 14:54:55,2458640.12147,17.72
2019-06-05 19:08:36,2458640.29764,17.78
2019-07-06 18:58:56,2458671.29093,17.93
2019-07-06 20:45:59,2458671.36527,
2019-07-20 20:38:16,2458685.35991,17.82
2019-07-20 22:24:50,2458685.43391,17.84
2019-08-22 23:51:27,2458718.49406,17.71
2019-10-02 11:47:12,2458758.99111,17.86
2019-10-02 13:33:46,2458759.06512,17.93
2019-10-27 00:27:28,2458783.51907,17.99
2019-10-27 02:14:02,2458783.59308,18.00
2019-12-08 02:10:12,2458825.59042,17.82
2019-12-08 03:56:46,2458825.66442,17.82
2020-01-06 09:17:43,2458854.8873,17.74
2020-02-02 18:09:43,2458882.25675,18.42
2020-03-11 06:30:51,2458919.77142,18.73
2020-03-11 08:17:25,2458919.84543,18.69
2020-03-28 00:59:12,2458936.54111,19.27
2020-03-28 02:45:46,2458936.61512,19.33
2020-05-09 11:29:26,2458978.97877,
2020-05-09 15:42:44,2458979.15468,18.87
2020-05-26 16:12:11,2458996.17513,18.77
2020-05-26 17:58:45,2458996.24913,18.84
2020-07-05 12:27:44,2459036.01926,17.83
2020-08-31 16:52:13,2459093.20293,18.02
2020-08-31 18:38:48,2459093.27694,18.00
2020-09-19 18:40:51,2459112.27837,17.76
2020-10-31 15:32:46,2459154.14775,18.12
2020-10-31 17:19:20,2459154.22176,18.08
2020-11-15 17:22:55,2459169.22425,18.04
2020-11-15 21:36:35,2459169.40041,18.31
2020-12-24 08:26:38,2459207.85183,17.78
2020-12-24 10:13:12,2459207.92583,17.84
2021-01-18 02:14:09,2459232.59316,18.74
2021-01-18 04:00:43,2459232.66716,18.71
2021-02-18 07:48:47,2459263.82554,18.98
2021-02-18 09:35:20,2459263.89954,
2021-03-29 19:22:17,2459303.30714,18.07
2021-03-29 21:08:51,2459303.38115,18.08
2021-04-23 13:28:44,2459328.06162,18.02
2021-04-23 15:15:18,2459328.13563,18.10
2021-06-06 08:53:53,2459371.87075,18.14
2021-08-05 20:31:59,2459432.35554,18.07
2021-09-13 23:50:19,2459471.49328,17.79
2021-09-14 01:36:54,2459471.56729,17.78
