jds,mags
2458423.811,12.90184698
2458424.799,12.82059467
2458425.809,12.93579315
2458426.797,12.96589954
2458428.804,13.02695582
2458430.902,12.94707084
2458431.8,13.02978838
2458432.784,12.87954568
2458433.891,12.75298304
2458434.804,12.95704195
2458435.771,12.82624566
2458437.773,12.89771953
2458439.754,12.82506539
2458441.749,12.72312698
2458443.78,12.69509826
2458447.812,12.581981
2458449.747,12.62486656
2458450.759,12.48092177
2458451.724,12.59776767
2458457.703,12.61525332
2458462.706,12.69500627
2458464.689,12.53585892
2458465.687,12.51296951
2458466.71,12.51238206
2458468.675,12.60587849
2458469.672,12.63356151
2458471.683,12.60929301
2458472.69,12.57778324
2458475.693,12.55844795
2458479.679,12.45874785
2458481.676,12.50566065
2458482.673,12.41483502
2458483.671,12.45840938
2458486.662,12.47149088
2458487.699,12.37642742
2458488.721,12.4545416
2458490.648,12.45456411
2458494.681,12.35444307
2458506.682,12.09048696
2458508.692,12.02204149
2458509.711,11.9742117
2458510.678,11.99133917
2458511.691,11.94682097
2458512.658,11.91994514
2458514.65,11.84573942
2458534.629,11.52478022
2458540.673,11.40334353
2458597.999,12.18061756
2458636.894,14.09833884
2458675.974,14.0387985
2458686.976,14.38486536
2458717.993,14.11273093
2458730.993,13.86707873
2458733.953,14.0206896
2458737.977,14.19704154
2458743.01,13.70807369
2458778.862,13.87836272
2458780.84,14.12147997
2458782.841,13.8812393
2458783.894,13.97019904
2458784.886,14.0877165
2458785.919,13.94452034
2458786.852,13.75447944
2458787.808,13.94047616
2458788.823,13.7246823
2458789.833,13.59967352
2458790.819,13.64430594
2458791.812,13.57013796
2458792.822,13.72175734
2458793.785,13.59752037
2458794.79,13.68062152
2458795.796,13.64073065
2458796.78,13.7295337
2458797.815,13.65311543
2458798.838,13.58777563
2458799.789,13.70578255
2458800.803,13.46173994
2458801.791,13.57652958
2458804.837,13.63779802
2458805.788,13.86281569
2458812.747,14.002251
2458827.748,14.06782955
2458830.803,13.74845263
2458833.754,13.80569861
2458837.704,13.93487236
2458846.676,13.85725837
2458849.726,13.6853227
2458851.681,13.46017569
2458854.689,13.96873589
2458855.71,14.11949641
2458856.726,14.1559443
2458859.659,14.25296708
2458876.659,14.28647609
2458877.665,14.09911485
2458878.657,14.21208422
2458882.656,14.0034136
2458886.661,14.14732166
2458887.646,13.87662298
2458891.651,14.08954544
2458893.676,13.96454605
2458894.65,13.95869497
2458895.659,13.98368394
2458896.655,13.97855407
2458897.647,13.73834696
2458898.638,13.64743337
2458899.643,13.6415184
2458900.637,14.01597973
2458906.627,13.71318368
2458909.625,13.80494701
2458912.635,13.55106281
2458913.649,13.74616715
2458915.619,13.81742027
2458957.01,13.43728119
