Date,JD (TCB),avg Mag
Gaia23bmd,,
2014-09-12 23:10:23,2456913.46554,untrusted
2014-09-13 00:56:57,2456913.53955,untrusted
2014-10-17 02:19:28,2456947.59685,untrusted
2014-10-17 04:06:01,2456947.67084,untrusted
2015-02-27 03:09:20,2457080.63148,9.86
2015-02-27 04:56:14,2457080.70572,
2015-03-23 09:06:02,2457104.87919,9.87
2015-03-23 10:52:41,2457104.95325,
2015-04-19 08:58:07,2457131.87369,10.05
2015-09-05 15:52:18,2457271.16132,
2015-09-05 17:38:39,2457271.23517,9.88
2015-10-02 21:36:17,2457298.4002,9.98
2015-10-02 23:22:51,2457298.4742,untrusted
2015-10-27 03:26:42,2457322.64354,9.90
2015-10-27 05:13:15,2457322.71753,9.86
2016-03-08 06:05:47,2457455.75402,10.12
2016-04-06 10:04:51,2457484.92003,9.99
2016-04-06 11:51:26,2457484.99405,10.00
2016-04-28 10:07:31,2457506.92189,10.08
2016-09-15 05:00:08,2457646.70843,10.07
2016-09-15 06:46:42,2457646.78243,10.06
2016-10-17 00:17:32,2457678.51218,10.04
2016-11-04 16:32:42,2457697.18938,
2016-11-04 18:18:56,2457697.26315,9.99
2017-03-18 18:52:53,2457831.28672,9.90
2017-04-22 00:27:14,2457865.51891,9.85
2017-04-22 02:13:48,2457865.59292,9.84
2017-05-07 06:36:20,2457880.77523,untrusted
2017-05-07 08:22:55,2457880.84925,9.94
2017-09-26 01:31:16,2458022.56338,10.02
2017-09-26 03:17:49,2458022.63737,10.02
2017-11-02 02:36:45,2458059.60885,10.07
2017-11-02 06:50:24,2458059.785,10.08
2017-11-12 00:56:18,2458069.5391,10.25
2017-11-12 02:42:52,2458069.6131,10.24
2017-11-12 06:56:31,2458069.78925,10.24
2017-11-12 08:43:05,2458069.86325,10.24
2018-02-10 10:13:15,2458159.92587,10.21
2018-02-10 14:26:56,2458160.10204,10.21
2018-02-10 16:13:31,2458160.17605,10.21
2018-03-29 09:50:52,2458206.91032,10.09
2018-08-17 15:09:00,2458348.13125,10.00
2018-08-17 16:55:34,2458348.20525,10.00
2018-08-17 21:09:13,2458348.3814,10.01
2018-08-17 22:55:46,2458348.45539,10.01
2018-09-02 09:14:33,2458363.8851,9.99
2018-09-02 11:01:06,2458363.9591,10.00
2018-10-06 20:39:52,2458398.36102,10.16
2019-02-18 03:30:14,2458532.646,10.17
2019-03-08 15:35:48,2458551.14986,9.99
2019-03-08 17:22:22,2458551.22387,9.98
2019-04-09 03:15:53,2458582.63603,9.86
2019-08-23 02:25:10,2458718.60081,9.89
2019-08-23 04:11:57,2458718.67497,
2019-09-11 22:43:17,2458738.44672,10.08
2019-10-13 06:01:35,2458769.7511,10.08
2020-02-23 01:35:59,2458902.56666,10.15
2020-02-23 03:22:50,2458902.64086,
2020-03-16 02:22:28,2458924.59894,9.87
2020-03-16 04:09:14,2458924.67308,
2020-04-13 21:38:31,2458953.40175,9.93
2020-04-13 23:25:06,2458953.47576,9.93
2020-08-17 21:07:12,2459079.38,10.10
2020-08-17 22:53:46,2459079.454,10.10
2020-08-18 03:07:25,2459079.63015,10.11
2020-09-03 09:12:12,2459095.88347,9.96
2020-09-03 10:58:46,2459095.95748,9.97
2020-10-07 08:38:38,2459129.86016,9.99
2021-02-18 09:28:45,2459263.89497,10.03
2021-02-18 11:15:18,2459263.96896,
2021-03-09 15:33:49,2459283.14848,10.23
2021-03-09 17:20:24,2459283.2225,10.23
2021-04-09 15:14:55,2459314.13536,10.20
2021-08-27 04:12:12,2459453.67514,9.99
2021-08-27 05:58:45,2459453.74913,
2021-09-18 23:54:18,2459476.49604,10.12
2022-02-27 18:23:16,2459638.26616,10.25
2022-02-27 22:36:57,2459638.44233,10.25
2022-03-24 12:19:01,2459663.01321,10.09
2022-04-20 00:12:04,2459689.50838,10.11
2022-09-06 11:19:28,2459828.97185,untrusted
2022-10-04 00:48:53,2459856.53395,12.03
2022-10-27 22:54:04,2459880.45421,12.62
2022-10-28 00:40:38,2459880.52822,12.61
2023-03-09 23:46:57,2460013.49094,untrusted
2023-04-08 11:31:18,2460042.98007,12.21
2023-04-08 13:17:53,2460043.05409,12.21
2023-04-29 23:35:08,2460064.48273,
2023-04-30 01:21:23,2460064.55652,11.98
2023-09-17 00:27:38,2460204.51919,11.74
2023-09-17 02:14:11,2460204.59318,11.74
